train/ent_coef,time/episodes,train/n_updates,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,time/time_elapsed
0.10000000149011612,4,189,0,35.5235045,200,50.0,0.00067214,-2.9069483280181885,0.0031319763511419296,598
0.10000000149011612,8,389,0,35.65376775,400,50.0,0.00064414,-5.778188228607178,0.003978530876338482,1211
0.10000000149011612,12,589,0,35.8441885,600,50.0,0.0006161399999999999,-8.793344497680664,0.002834317972883582,1811
0.10000000149011612,16,789,0,35.995574000000005,800,50.0,0.00058814,-11.862142562866211,0.0029249265789985657,2413
0.10000000149011612,20,989,0,36.06195230000001,1000,50.0,0.00056014,-14.897591590881348,0.003244815394282341,3016
0.10000000149011612,24,1189,0,36.106885125,1200,50.0,0.00053214,-17.97543716430664,0.0036198869347572327,3616
0.10000000149011612,28,1389,0,36.118884428571434,1400,50.0,0.0005041399999999999,-21.02342987060547,0.002357043791562319,4221
0.10000000149011612,32,1589,0,36.13750921875,1600,50.0,0.00047614,-24.0612735748291,0.004403820261359215,4818
0.10000000149011612,36,1789,0,36.15299230555556,1800,50.0,0.00044814,-27.095191955566406,0.006137743126600981,5423
0.10000000149011612,40,1989,0,36.170492625,2000,50.0,0.00042014000000000005,-30.162452697753906,0.004354696720838547,6033
0.10000000149011612,44,2189,0,36.176272113636365,2200,50.0,0.00039214,-33.17247772216797,0.004576318897306919,6648
0.10000000149011612,48,2389,0,36.1682859375,2400,50.0,0.00036414,-36.1984977722168,0.006837067194283009,7266
0.10000000149011612,52,2589,0,36.1848481923077,2600,50.0,0.00033613999999999996,-39.198184967041016,0.005390366073697805,7883
0.10000000149011612,56,2789,0,36.192274285714284,2800,50.0,0.00030814000000000004,-42.19752883911133,0.007204302586615086,8506
0.10000000149011612,60,2989,0,36.175436183333325,3000,50.0,0.00028014,-45.159576416015625,0.005427494645118713,9120
0.10000000149011612,64,3189,0,36.174190531250005,3200,50.0,0.00025214,-48.150413513183594,0.005244765430688858,9734
0.10000000149011612,68,3389,0,36.17884520588237,3400,50.0,0.00022414000000000003,-51.10565185546875,0.0053845299407839775,10446
0.10000000149011612,72,3589,0,36.18867061111111,3600,50.0,0.00019614,-54.04286193847656,0.0058665103279054165,11048
0.10000000149011612,76,3789,0,36.18740302631578,3800,50.0,0.00016813999999999997,-56.95701599121094,0.005497651174664497,11660
0.10000000149011612,80,3989,0,36.187097949999995,4000,50.0,0.00014014000000000002,-59.88344955444336,0.0038115568459033966,12269
0.10000000149011612,84,4189,0,36.178547940476186,4200,50.0,0.00011214000000000001,-62.79564666748047,0.0050819264724850655,12887
0.10000000149011612,88,4389,0,36.17572231818181,4400,50.0,8.413999999999998e-05,-65.67953491210938,0.005078409798443317,13501
0.10000000149011612,92,4589,0,36.16670934782608,4600,50.0,5.6140000000000035e-05,-68.5528793334961,0.005469147115945816,14117
0.10000000149011612,96,4789,0,36.15074460416667,4800,50.0,2.814000000000001e-05,-71.39189147949219,0.008718734607100487,14740
