rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/actor_loss,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,train/ent_coef
50.0,0.0003,439,-3.1074323654174805,45.71530025,0,-1.4804270267486572,4,189,200,0.006717902608215809,0.09499242156744003
50.0,0.0003,878,-3.3135929107666016,46.11471175,0,-2.1092865467071533,8,389,400,0.0009158339817076921,0.0897664949297905
50.0,0.0003,1318,-3.5509276390075684,46.19583791666667,0,-2.821153163909912,12,589,600,0.0008401050581596792,0.08445882797241211
50.0,0.0003,1757,-3.370683193206787,46.091388625,0,-3.594531297683716,16,789,800,0.0006642560474574566,0.07955192029476166
50.0,0.0003,2198,-3.3166263103485107,46.0123285,0,-4.389211654663086,20,989,1000,0.0006480492884293199,0.07493295520544052
50.0,0.0003,2638,-3.5670793056488037,46.004641791666664,0,-5.212059020996094,24,1189,1200,0.0006752846529707313,0.07071556150913239
50.0,0.0003,3078,-3.6815314292907715,45.98075864285714,0,-6.039389133453369,28,1389,1400,0.0006317129591479897,0.06678758561611176
50.0,0.0003,3518,-3.689223051071167,46.122055499999995,0,-6.9123077392578125,32,1589,1600,0.002703688107430935,0.06312428414821625
50.0,0.0003,3958,-3.3088607788085938,46.31084280555555,0,-7.736357688903809,36,1789,1800,0.0015548539813607931,0.05973273143172264
50.0,0.0003,4399,-2.971113920211792,46.4628562,0,-8.575125694274902,40,1989,2000,0.001494136406108737,0.05658408999443054
50.0,0.0003,4839,-2.9029009342193604,46.554008272727266,0,-9.389837265014648,44,2189,2200,0.0010764298494905233,0.05357837304472923
50.0,0.0003,5279,-3.4760987758636475,46.63183510416667,0,-10.241803169250488,48,2389,2400,0.0007714011589996517,0.050764624029397964
50.0,0.0003,5719,-2.7661452293395996,46.69654038461538,0,-11.046236038208008,52,2589,2600,0.0016547130653634667,0.04814499616622925
50.0,0.0003,6159,-2.9446606636047363,46.784350214285716,0,-11.872539520263672,56,2789,2800,0.0012974939309060574,0.04570034146308899
50.0,0.0003,6601,-3.3227832317352295,46.849791683333336,0,-12.671249389648438,60,2989,3000,0.002062638755887747,0.04336777329444885
50.0,0.0003,7039,-2.763643741607666,46.90206715625,0,-13.478707313537598,64,3189,3200,0.0011323306243866682,0.04118027165532112
50.0,0.0003,7479,-3.073291540145874,46.9584696617647,0,-14.236806869506836,68,3389,3400,0.0025507216341793537,0.03911905363202095
50.0,0.0003,7920,-2.9292500019073486,46.99728220833333,0,-15.048157691955566,72,3589,3600,0.001936865970492363,0.037187136709690094
50.0,0.0003,8361,-3.21938419342041,47.03783932894737,0,-15.846731185913086,76,3789,3800,0.0017135528614744544,0.0353604294359684
50.0,0.0003,8802,-3.0861854553222656,47.0548557625,0,-16.5815486907959,80,3989,4000,0.0014981110580265522,0.03364183381199837
50.0,0.0003,9241,-2.1377599239349365,47.06637405952381,0,-17.373809814453125,84,4189,4200,0.0023247937206178904,0.031971126794815063
50.0,0.0003,9682,-2.9526634216308594,47.100556386363635,0,-18.12911605834961,88,4389,4400,0.0015186695381999016,0.030411021783947945
50.0,0.0003,10121,-2.5062952041625977,47.13423782608695,0,-18.88828468322754,92,4589,4600,0.0019725507590919733,0.028904549777507782
50.0,0.0003,10561,-2.4460489749908447,47.166310208333336,0,-19.661388397216797,96,4789,4800,0.001998430583626032,0.027432510629296303
