rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/learning_rate,time/time_elapsed,train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,train/std
32.6450305,128,50.0,0.9417561050504446,-2.1292956648394465,0.0007,593,0.39873282599728554,200,-0.09871186228701845,0,4,0.367633581161499
34.296733625,320,50.0,0.8238629847764969,-5.2021404430270195,0.0007,1237,0.2580398163991049,400,-0.3184820094611496,0,8,0.3676149249076843
33.75660525,512,50.0,0.7201762292534113,-8.807711876928806,0.0007,1894,0.501839307602495,600,-0.5314252837561071,0,12,0.3675767779350281
34.884747875,704,50.0,0.6297138212248683,-12.142991095781326,0.0007,2544,0.6744039510376751,800,-0.773655204102397,0,16,0.3675435483455658
36.44896485,896,50.0,0.5511140711605549,-15.042821824550629,0.0007,3202,0.7010936045553535,1000,-0.9856403153389692,0,20,0.3674900531768799
36.48200454166667,1088,50.0,0.48330674041062593,-17.55131232738495,0.0007,3853,0.6932169296778738,1200,-1.2242380380630493,0,24,0.36750882863998413
36.344385,1280,50.0,0.4231146280653775,-19.55728304386139,0.0007,4487,0.6337211104109883,1400,-1.4449545610696077,0,28,0.36748433113098145
36.86751290625,1472,50.0,0.3702530385926366,-21.26942852139473,0.0007,5119,0.6373510956764221,1600,-1.6537477560341358,0,32,0.3675735294818878
36.807498805555554,1728,50.0,0.3103207787498832,-23.04140529036522,0.0007,5851,0.5203305007889867,1800,-1.9450935386121273,0,36,0.36755332350730896
37.270224924999994,1920,50.0,0.27170079573988914,-24.34198197722435,0.0007,6491,0.42165586329065263,2000,-2.1743650436401367,0,40,0.3675183057785034
37.61581138636364,2112,50.0,0.23842829489149153,-25.359695851802826,0.0007,7126,0.3342583142220974,2200,-2.36581277102232,0,44,0.3675430417060852
37.967162583333334,2304,50.0,0.20896115573123097,-26.239980906248093,0.0007,7753,0.33494095900096,2400,-2.5640933625400066,0,48,0.36749032139778137
37.7951824423077,2496,50.0,0.18298123101703823,-27.037798285484314,0.0007,8377,0.3409038446843624,2600,-2.8241130928508937,0,52,0.3674631714820862
37.954822,2688,50.0,0.1603328709024936,-27.709817677736282,0.0007,9013,0.3342711061704904,2800,-2.8784761298447847,0,56,0.3673340082168579
38.08138406666667,2880,50.0,0.14109878311865032,-28.27604141831398,0.0007,9649,0.2600370036670938,3000,-3.050146944820881,0,60,0.3672812581062317
38.03874221875,3072,50.0,0.12421606725547463,-28.779237031936646,0.0007,10303,0.237877101986669,3200,-3.1729155145585537,0,64,0.36717745661735535
38.17152739705882,3328,50.0,0.1053224359638989,-29.330433040857315,0.0007,11055,0.2400155884679407,3400,-3.3888518754392862,0,68,0.3669385612010956
37.97807805555556,3520,50.0,0.09365835215430707,-29.705806583166122,0.0007,11737,0.24793980864342302,3600,-3.184514280408621,0,72,0.36661073565483093
38.00870614473685,3712,50.0,0.08350554411299527,-30.061756819486618,0.0007,12378,0.28837852203287184,3800,-3.139459315687418,0,76,0.3663351535797119
38.03787235,3904,50.0,0.07483312662225217,-30.438920736312866,0.0007,13024,0.2578725746134296,4000,-3.3088622465729713,0,80,0.36598896980285645
38.168167630952375,4096,50.0,0.06701547396369278,-30.74144685268402,0.0007,13672,0.2656342228874564,4200,-2.9605955313891172,0,84,0.36556538939476013
38.15692078409091,4288,50.0,0.06067962269298732,-31.110369116067886,0.0007,14306,0.2761336958501488,4400,-2.83378529548645,0,88,0.3651847541332245
38.24286635869565,4480,50.0,0.05564361473079771,-31.57591611146927,0.0007,14964,0.26475889899302274,4600,-2.330103915417567,0,92,0.3648645281791687
38.2169665,4672,50.0,0.05147160304477438,-31.843118399381638,0.0007,15652,0.2634409519378096,4800,-2.432448778534308,0,96,0.3643873333930969
