rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/time_elapsed,time/episodes,train/learning_rate,time/fps,rollout/ep_len_mean
40.70362425,200,189,-1.4225205183029175,0.0027039514388889074,0.09483937919139862,-3.3832366466522217,440,4,0.0003,0,50.0
41.380131750000004,400,389,-2.065236806869507,0.0014389986172318459,0.08958783745765686,-3.1522622108459473,881,8,0.0003,0,50.0
41.71522233333334,600,589,-2.737562894821167,0.00035375216975808144,0.08452512323856354,-3.2039763927459717,1321,12,0.0003,0,50.0
41.87657018749999,800,789,-3.4498276710510254,0.0007761675515212119,0.07977963984012604,-3.43030047416687,1762,16,0.0003,0,50.0
41.946446949999995,1000,989,-4.178471565246582,0.0006868357886560261,0.07530596107244492,-3.6429431438446045,2203,20,0.0003,0,50.0
42.090874083333325,1200,1189,-4.933225631713867,0.0005962708382867277,0.07109139114618301,-3.4321985244750977,2643,24,0.0003,0,50.0
42.226673428571424,1400,1389,-5.698067665100098,0.000816041836515069,0.06717684864997864,-3.4205644130706787,3084,28,0.0003,0,50.0
42.2847659375,1600,1589,-6.451794624328613,0.0006870230427011847,0.06352625042200089,-3.343742609024048,3524,32,0.0003,0,50.0
42.35122838888889,1800,1789,-7.203835487365723,0.0004763304314110428,0.060111336410045624,-3.0242700576782227,3965,36,0.0003,0,50.0
42.4268024,2000,1989,-7.964356422424316,0.0005491467891260982,0.05691928416490555,-3.4886693954467773,4405,40,0.0003,0,50.0
42.49713686363636,2200,2189,-8.690049171447754,0.0003944376949220896,0.0539315864443779,-3.1335091590881348,4847,44,0.0003,0,50.0
42.56143372916666,2400,2389,-9.44430160522461,0.0003705901326611638,0.051141154021024704,-3.3514697551727295,5286,48,0.0003,0,50.0
42.548776903846154,2600,2589,-10.201147079467773,0.0004048068658448756,0.048503272235393524,-3.1436574459075928,5726,52,0.0003,0,50.0
42.595622999999996,2800,2789,-10.937705039978027,0.0005601102020591497,0.04599861428141594,-2.838259696960449,6166,56,0.0003,0,50.0
42.65218206666667,3000,2989,-11.657907485961914,0.0006172907305881381,0.04366178438067436,-3.2526965141296387,6607,60,0.0003,0,50.0
42.703591578125,3200,3189,-12.411072731018066,0.0008751941495575011,0.04146081581711769,-2.9870238304138184,7046,64,0.0003,0,50.0
42.751826823529406,3400,3389,-13.141629219055176,0.0009473145473748446,0.03938187286257744,-2.954397678375244,7485,68,0.0003,0,50.0
42.80250998611112,3600,3589,-13.840030670166016,0.0006675190525129437,0.037409164011478424,-2.7053632736206055,7924,72,0.0003,0,50.0
42.849138381578946,3800,3789,-14.539352416992188,0.0015314442571252584,0.03556906804442406,-2.8635644912719727,8363,76,0.0003,0,50.0
42.8907740375,4000,3989,-15.266193389892578,0.0008945895824581385,0.03383120894432068,-2.719496488571167,8803,80,0.0003,0,50.0
42.94503651190477,4200,4189,-15.946076393127441,0.0008121161954477429,0.03218912333250046,-2.362208843231201,9242,84,0.0003,0,50.0
42.98797540909091,4400,4389,-16.639110565185547,0.0008988762274384499,0.03064538724720478,-2.543668270111084,9682,88,0.0003,0,50.0
43.002781597826086,4600,4589,-17.352766036987305,0.0026124310679733753,0.02920803800225258,-2.8702948093414307,10130,92,0.0003,0,50.0
43.024688833333336,4800,4789,-18.01995086669922,0.0008930657058954239,0.02782716043293476,-2.2811644077301025,10571,96,0.0003,0,50.0
