step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
22,3,1,0.3992343,0.0,0.0,0.0,0.03717041,0.03717041,-0.026428223,0.02551111,0.0,0.03972071,0.019421319,0.0,2.7730088,0.0,0.0,0.2,0.2,0.1501825554872816,0.05,0.075,0.075
23,3,1,0.66720295,0.0,0.0,0.0,0.044174194,0.044174194,0.007003784,0.029366666,0.0,0.03991434,0.019016124,8.040885,7.9784384,0.8703180174809626,0.13057963340031584,0.195404052734375,0.2,0.14433433134627172,0.05,0.075,0.075
24,3,1,0.23124981,0.0,0.0021097045,0.0,0.036346436,0.036346436,-0.007827759,0.0368,0.0,0.039765675,0.018629387,2.817528,2.862876,0.7698845876319935,0.0559431567689985,0.2,0.2,0.1345171778250204,0.03258881,0.075,0.07183544303797468
25,3,1,0.114937544,0.0,0.020044543,0.0,0.064453125,0.064453125,0.02810669,0.039066665,0.0,0.040753175,0.018883208,0.0,4.4045277,0.0,0.0,0.16435775756835938,0.2,0.13180420345309643,0.040608240000000004,0.075,0.04493318485523385
26,3,1,0.163252,0.0,0.0024390244,0.0,0.06295776,0.06295776,-0.0014953613,0.026033333,0.0,0.041607197,0.019002499,9.990311,9.955032,0.8930788852475913,0.15257300400389445,0.19481353759765627,0.2,0.14935088023140647,0.05,0.075,0.07134146341463414
27,3,1,0.8869951,0.0,0.0,0.002469136,0.04399109,0.04399109,-0.018966675,0.029655555,0.0,0.04169549,0.018652715,0.0,7.078947,0.0,0.0,0.2,0.2,0.14392069108049843,0.016698966666666672,0.0,0.075
28,3,1,0.16453826,0.0,0.0035810205,0.0,0.04837036,0.04837036,0.0043792725,0.03461111,0.0,0.041933876,0.01835844,9.855703,9.724659,0.8793535071037243,0.15112970742892326,0.19634704589843752,0.2,0.13724828466266617,0.05,0.075,0.0696284691136974
29,3,1,-0.6469318,0.0,0.025957974,0.0,0.044326782,0.044326782,-0.004043579,0.032277778,0.0,0.04201639,0.018044421,0.0,7.5272665,0.0,0.0,0.2,0.2,0.14029703152736503,0.017147653333333335,0.075,0.03606304079110013
30,4,1,-0.7239144,0.0,0.04643963,0.0,0.06454468,0.06454468,0.020217896,0.035344444,0.0,0.042767335,0.01819619,2.477611,2.4763708,0.6884146177988958,0.04996731582663408,0.1717864990234375,0.2,0.13632024567328238,0.05,0.075,0.005340557275541791
31,4,1,-0.21096969,0.0,0.0,0.00754717,0.063964844,0.063964844,-0.000579834,0.031833332,0.0,0.043451123,0.018287912,3.538261,3.532027,0.0,0.06805233884920749,0.1940940856933594,0.2,0.14089557264186267,0.05,0.0,0.075
32,4,1,0.6573105,0.0,0.0,0.0,0.047286987,0.047286987,-0.016677856,0.031688888,0.0,0.043570995,0.018012265,12.175025,12.117313,0.8869516946801107,0.17464950010510943,0.2,0.2,0.1410914079083346,0.021210786666666672,0.075,0.075
33,4,1,0.24083042,0.0,0.009195402,0.0,0.06355286,0.06355286,0.01626587,0.033177778,0.0,0.044176508,0.018064957,9.665944,9.695509,0.8440019833367632,0.14907717314227498,0.177978515625,0.2,0.1391030013510974,0.041636396666666665,0.075,0.061206896551724135
34,4,1,0.79380965,0.0,0.018164435,0.0,0.047668457,0.047668457,-0.0158844,0.031166667,0.0,0.04427921,0.01780709,13.454427,13.4111395,0.8884598871605225,0.18652989199433723,0.2,0.2,0.14180492575254616,0.03737172333333333,0.075,0.04775334608030592
35,4,1,0.41916776,0.0,0.011937558,0.0018365473,0.06376648,0.06376648,0.016098022,0.038266666,0.0,0.04483599,0.017848607,0.0,11.885647,0.0,0.0,0.1795745849609375,0.2,0.1327492255311014,0.005151909999999999,0.0,0.05709366391184573
36,4,1,0.28734946,0.0,0.0,0.0,0.06259155,0.06259155,-0.0011749268,0.028255556,0.0,0.0453292,0.017839212,4e-06,9.682567,0.0,9.164167652391137e-08,0.19740066528320313,0.2,0.14595475146797005,0.05,0.075,0.075
37,4,1,-0.8130598,0.0,0.0,0.0,0.06391907,0.06391907,0.0013275146,0.0291,0.0,0.04583163,0.017852847,0.0,1.367176,0.0,0.0,0.1942161560058594,0.2,0.144718900155659,0.05,0.075,0.075
38,4,1,0.8560593,0.0,0.0,0.0,0.046432495,0.046432495,-0.017486572,0.035211112,0.0,0.045847442,0.017616637,10.768522,10.5829115,0.8972070517978855,0.1607190804048965,0.2,0.2,0.13648797139298904,0.05,0.075,0.075
39,4,1,0.097334385,0.0,0.0,0.0,0.06391907,0.06391907,0.017486572,0.027655555,0.0,0.046310816,0.01762236,6.915735,6.842102,0.8296544323374176,0.11669013547483081,0.17895660400390626,0.2,0.14685031619201402,0.037157376666666665,0.075,0.075
40,5,1,-0.8400076,0.0,0.0,0.0,0.045455933,0.045455933,-0.018463135,0.028977778,0.0,0.046289444,0.017401198,0.0,0.562079,0.0,0.0,0.2,0.2,0.1448960578139418,0.02694755,0.075,0.075
41,5,1,-0.50449437,0.0,0.0,0.0,0.06355286,0.06355286,0.018096924,0.026855556,0.0,0.046710502,0.017392755,3.0741382,3.09134,0.7869619962954224,0.06033904030104753,0.17855453491210938,0.2,0.14806842108226548,0.05,0.075,0.075
42,5,1,0.88361835,0.0,0.0,0.0,0.038330078,0.038330078,-0.025222778,0.028722223,0.0,0.04651097,0.01723188,8.944175,8.728302,0.8667734251541448,0.14107188382554162,0.2,0.2,0.14526833132860323,0.030433210000000002,0.075,0.075
43,5,1,-0.9959553,0.0,0.022116903,0.0,0.06311035,0.06311035,0.024780273,0.025166666,0.0,0.046897,0.017213106,0.034337,0.034262,0.6602731010734029,0.0007851321421477553,0.1716239929199219,0.2,0.15073879146157024,0.020300540000000002,0.075,0.04182464454976303
44,5,1,-0.8610282,0.0,0.19354838,0.0,0.035736084,0.035736084,-0.027374268,0.024733333,0.0,0.046643343,0.01709748,0.522008,0.523652,0.6880631222635019,0.011615499479590239,0.2,0.2,0.15144762278391166,0.05,0.075,0.0
45,5,1,-0.33328652,0.0,0.0,0.0,0.037857056,0.037857056,0.0021209717,0.027588889,0.0,0.046448093,0.016955977,1e-06,3.592605,0.0,2.2910423045428472e-08,0.2,0.2,0.146950756629126,0.05,0.075,0.075
46,5,1,-0.40481412,0.0,0.0,0.0040816325,0.066329956,0.066329956,0.0284729,0.026988888,0.0,0.04688031,0.017019445,2e-06,4.1969967,0.0,4.582084351082873e-08,0.1644073486328125,0.2,0.14786342721062093,0.05,0.0,0.075
47,5,1,0.08903301,0.0,0.0,0.0,0.044052124,0.044052124,-0.022277832,0.031666666,0.0,0.046820134,0.016842358,2e-06,5.19751,0.0,4.582084351082873e-08,0.2,0.2,0.141121594224481,0.05,0.075,0.075
48,5,1,0.45259547,0.0,0.0,0.0,0.064193726,0.064193726,0.020141602,0.025711112,0.0,0.047182083,0.01684971,7.57267,7.596342,0.8225369444497264,0.12491642389493565,0.17300033569335938,0.2,0.1498624115280982,0.02475777333333334,0.075,0.075
49,5,1,-0.8124838,0.0,0.0,0.0,0.06442261,0.06442261,0.00022888184,0.024688888,0.0,0.04753393,0.016854104,5.097419,5.0134454,0.8289373267423749,0.09198057795084519,0.19368667602539064,0.2,0.15152090943280577,0.04174916333333334,0.075,0.075
1,6,2,-0.38645947,0.0,0.006847556,0.00042797226,0.0,0.037857056,0.0,0.026255555,0.0,0.037857056,0.0,0.0,2.003217,0.0,0.0,0.2,0.2,0.1490010893362526,0.05,0.042902079945219544,0.06472866558247026
2,6,2,-0.79891646,0.0,0.0,0.0,0.0024261475,0.040283203,0.0024261475,0.024577778,0.0,0.03907013,0.0012130737,0.0,1.68136,0.0,0.0,0.19636077880859376,0.2,0.15170461259660045,0.05,0.075,0.075
3,6,2,-0.47271574,0.0,0.0,0.0,0.025726318,0.063583374,0.02330017,0.027988888,0.0,0.04724121,0.0115980245,0.0,2.209044,0.0,0.0,0.16444320678710939,0.2,0.1463509345633848,0.05,0.075,0.075
4,6,2,0.51186585,0.0,0.005,0.0,0.025848389,0.063705444,0.00012207031,0.042633332,0.0,0.05135727,0.01231712,6.0700784,6.218406,0.817463718125179,0.10557669929604033,0.19164581298828126,0.2,0.12774120584085744,0.05,0.075,0.0675
5,6,2,0.99232364,0.0,0.0148731405,0.0,0.0262146,0.064071655,0.00036621094,0.02731111,0.0,0.053900145,0.012134004,12.896696,13.107507,0.8770202081774156,0.18143739501014366,0.19327659606933595,0.2,0.14737132171735853,0.027244606666666667,0.075,0.05269028871391076
6,6,2,0.8205612,0.0,0.008143323,0.0016286644,0.025390625,0.06324768,-0.0008239746,0.029088888,0.0,0.05545807,0.01161166,0.0,16.462322,0.0,0.0,0.19615020751953127,0.2,0.14473498193049947,0.007011013333333333,0.0,0.06278501628664494
7,6,2,-0.6921062,0.0,0.030092593,0.0023148148,0.00088500977,0.038742065,-0.024505615,0.0342,0.0,0.05307007,0.012238644,10.263436,10.315634,0.0,0.15546994069300907,0.2,0.2,0.13777460325558383,0.05,0.0,0.02986111111111111
8,6,2,0.40147257,0.0,0.0,0.0,0.032684326,0.07054138,0.031799316,0.03571111,0.0,0.055253983,0.012823718,2e-06,6.2215137,0.0,4.582084351082873e-08,0.15946502685546876,0.2,0.1358612614890363,0.015788553333333333,0.075,0.075
9,6,2,0.7473421,0.0,0.011600928,0.0,0.00035095215,0.038208008,-0.032333374,0.031322222,0.0,0.053359985,0.013223977,4e-06,9.330361,0.0,9.164167652391137e-08,0.2,0.2,0.1415914770298413,0.05,0.075,0.05759860788863108
10,7,2,0.98305726,0.0,0.017621145,0.0,0.018432617,0.056289673,0.018081665,0.027133333,0.0,0.053652953,0.012576115,12.985281,13.726639,0.8406347266536328,0.18225495394722768,0.1804534912109375,0.2,0.14764225622380836,0.006715743333333329,0.075,0.048568281938325984
