step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
11,2,1,0.6317072,"[1.082438015937805, 1.4274329662323]",[0.08970439 0.         0.         0.         0.        ],[0.0013947  0.         0.         0.         0.00431034],[0. 0. 0. 0. 0.],"[0.02233378030359745, 0.0, 0.0, 0.02094268798828125, 0.0418853759765625]","[0.0340372733771801, 0.0117034912109375, 0.0117034912109375, 0.03264617919921875, 0.0535888671875]","[0.03888889029622078, 0.036133334040641785, 0.036133334040641785, 0.03609444573521614, 0.0360555537045002]",[0.11825769 0.11670495 0.11455122 0.11291023 0.11155638],0.09990115,0.10994291,"[8.675473976135255, 9.259317207336426, 9.406933403015136, 8.796587944030762, 9.705011940002441]","[9.46211280822754, 9.318276596069335, 9.164859390258789, 8.580356979370118, 9.580781173706054]",0.7822458702270743,0.09437047443867358,0.2,0.22757390417940876,0.0660065365760481,0.1,0.05,0.044294955032943784,
12,2,1,-0.994523,"[1.439900016784668, 1.6693089962005616]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0213165283203125, 0.0029296875, 0.00146484375, 0.0, 0.0]","[0.0235595703125, 0.0051727294921875, 0.0037078857421875, 0.0022430419921875, 0.0022430419921875]","[0.032999999821186066, 0.02732222154736519, 0.02779444493353367, 0.028266666457057, 0.028266666457057]",[0.11013836 0.11004517 0.10995787 0.10988639 0.10985783],0.09522267,0.10897879,"[1.423632025718689, 0.5109230041503906, 0.5828764975070954, 0.5754879951477051, 0.5829070031642913]","[1.2452475309371949, 0.4985489994287491, 0.581165999174118, 0.5697089970111847, 0.6057359993457794]",0.6376455347985227,0.0058259910886176115,0.2,0.25,0.0696684982237938,0.012151045486111112,0.05,0.05,
13,2,1,0.71480846,"[1.685314989089966, 1.9515719413757324]",[0. 0. 0. 0. 0.],[0.         0.         0.00467382 0.         0.00657895],[0. 0. 0. 0. 0.],"[0.0, 0.0040130615234375, 0.0040130615234375, 0.0040130615234375, 0.0040130615234375]","[0.0022430419921875, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625]","[0.028266666457057, 0.032144445925951004, 0.032144445925951004, 0.032144445925951004, 0.032144445925951004]",[0.10893166 0.10784787 0.10662875 0.10577284 0.10537206],0.090833895,0.10804067,"[6.030905723571777, 8.424132537841796, 8.86280860900879, 9.70952320098877, 8.49901123046875]","[6.131360244750977, 8.417505264282227, 9.205891609191895, 9.9639310836792, 8.405531883239746]",0.7182976357305321,0.08816773869156944,0.2,0.25,0.07023798095260039,0.02114467916666666,0.05,0.038747236919695664,
14,2,1,-0.93282884,"[1.969527006149292, 2.2791110038757325]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.015472412109375, 0.015472412109375, 0.0263214111328125, 0.03717041015625, 0.03717041015625]","[0.0177154541015625, 0.0177154541015625, 0.028564453125, 0.0394134521484375, 0.0394134521484375]","[0.033311109989881516, 0.033311109989881516, 0.031788889318704605, 0.030266666784882545, 0.030266666784882545]",[0.1048694  0.10471554 0.1045853  0.10448238 0.10441303],0.08781149,0.10640612,"[1.1238524675369264, 0.9403065085411072, 0.9459259867668152, 0.8399670004844666, 0.9967650055885315]","[1.1015214681625367, 0.922634506225586, 0.921184504032135, 0.816068983078003, 1.011683988571167]",0.6527527060490809,0.00970441664901079,0.2,0.25,0.06946404669173657,0.023584242708333328,0.05,0.05,
15,3,1,0.4593109,"[2.3066380500793455, 2.6534429550170895]",[0. 0. 0. 0. 0.],[0.         0.00600133 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.03717041015625, 0.0179595947265625, 0.0179595947265625, 0.0179595947265625, 0.0179595947265625]","[0.0394134521484375, 0.02020263671875, 0.02020263671875, 0.02020263671875, 0.02020263671875]","[0.030266666784882545, 0.025733333081007004, 0.025733333081007004, 0.025733333081007004, 0.025733333081007004]",[0.10326082 0.10245913 0.1018392  0.10128061 0.10088126],0.085382216,0.10501164,"[7.583622932434082, 7.076800727844239, 8.539574813842773, 8.238448143005371, 7.121384048461914]","[7.644361305236816, 6.726725959777832, 8.773271179199218, 7.828707885742188, 7.252959060668945]",0.7289617286411645,0.08367070940652815,0.2,0.25,0.0715277913279165,0.02976455416666667,0.05,0.043998673740053056,
16,3,1,-0.64868873,"[2.68301305770874, 3.45183687210083]",[0. 0. 0. 0. 0.],[0.         0.00280112 0.         0.         0.00833333],[0. 0. 0. 0. 0.],"[0.0037078857421875, 0.0288238525390625, 0.0288238525390625, 0.0288238525390625, 0.035247802734375]","[0.005950927734375, 0.03106689453125, 0.03106689453125, 0.03106689453125, 0.0374908447265625]","[0.037833333015441895, 0.04076666757464409, 0.04076666757464409, 0.04076666757464409, 0.028644444420933723]",[0.09818472 0.09724408 0.09684303 0.09656994 0.09627552],0.08164251,0.1027223,"[8.128708457946777, 4.853230571746827, 2.7269250392913817, 2.5016910076141357, 2.3752950191497804]","[8.03553409576416, 4.801601409912109, 2.7803094387054443, 2.5976974964141846, 2.5164684772491452]",0.717341083978907,0.051002190488880474,0.2,0.25,0.06491914102153902,0.06255420625000001,0.05,0.038865546218487396,
17,3,1,0.7263578,"[3.478505039215088, 4.020022869110107]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03839111328125, 0.03839111328125, 0.03878021240234375, 0.0391693115234375, 0.0391693115234375]","[0.0406341552734375, 0.0406341552734375, 0.04102325439453125, 0.041412353515625, 0.041412353515625]","[0.029588889330625534, 0.029588889330625534, 0.03309444338083267, 0.03660000115633011, 0.03660000115633011]",[0.09519477 0.09416273 0.09325289 0.0926039  0.09231405],0.08000567,0.1009537,"[6.544085121154786, 9.275168991088867, 9.693329238891602, 8.450954055786132, 9.274339866638183]","[6.164599037170411, 9.33345947265625, 9.879133224487305, 7.861856269836426, 9.526897811889649]",0.7608623613967832,0.09067309717404999,0.2,0.25,0.06738098713939981,0.052808277083333334,0.05,0.05,
18,3,1,0.08292246,"[4.0529509544372555, 4.365243053436279]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0382232666015625, 0.0305328369140625, 0.0228424072265625, 0.02740478515625, 0.02740478515625]","[0.04046630859375, 0.03277587890625, 0.02508544921875, 0.0296478271484375, 0.0296478271484375]","[0.037033334374427795, 0.03830000013113022, 0.03956666588783264, 0.04058888927102089, 0.04058888927102089]",[0.09082959 0.090316   0.08973926 0.08943689 0.08916836],0.078407735,0.09959643,"[8.475399780273438, 5.952762603759766, 9.133127784729004, 6.4009298324584964, 6.66876220703125]","[8.46605339050293, 5.879500389099121, 7.880661201477051, 6.234296989440918, 6.599575233459473]",0.7818906451087211,0.08063436764330743,0.2,0.25,0.06502064100708026,0.08623563645833335,0.05,0.05,
19,3,1,-0.40057623,"[4.422389125823975, 5.581222724914551]",[0.         0.         0.37692308 0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0160980224609375, 0.0160980224609375, 0.0225067138671875, 0.0225067138671875, 0.0225067138671875]","[0.018341064453125, 0.018341064453125, 0.024749755859375, 0.024749755859375, 0.024749755859375]","[0.02992222271859646, 0.02992222271859646, 0.030577776953577995, 0.030577776953577995, 0.030577776953577995]",[0.08647419 0.08626211 0.08702596 0.08675413 0.08662844],0.07707547,0.09878133,"[6.553453826904297, 7.468304824829102, 4.794518089294434, 4.544107055664063, 4.249508953094482]","[8.47209186553955, 6.977393913269043, 4.804606914520264, 4.250720024108887, 4.498633098602295]",0.6733495874721254,0.0650642062163611,0.2,0.15576923076923077,0.07131008694486665,0.08120606354166666,0.05,0.05,
20,4,1,-0.15462554,"[3.789614963531494, 4.433826065063477]",[0. 0. 0. 0. 0.],[0.0033557 0.        0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.0182952880859375, 0.0182952880859375, 0.012847900390625, 0.012847900390625, 0.012847900390625]","[0.020538330078125, 0.020538330078125, 0.0150909423828125, 0.0150909423828125, 0.0150909423828125]","[0.022644445300102234, 0.022644445300102234, 0.02281111106276512, 0.02281111106276512, 0.02281111106276512]",[0.08587091 0.08546081 0.08503802 0.08478582 0.08454771],0.07491069,0.097597,"[4.261427974700927, 6.050108337402344, 6.053625679016114, 5.041816902160645, 4.746706962585449]","[4.194691467285156, 5.950893783569336, 5.487934494018555, 4.822867965698243, 4.749650096893311]",0.7863139937922791,0.062306934285398574,0.2,0.25,0.07736276420486715,0.1,0.05,0.046644295302013423,
