time/episodes,train/critic_loss,train/n_updates,train/ent_coef_loss,train/std,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps
4,0.262496221694164,128,-0.09868055110564455,0.3676473796367645,0.0007,0.9412223510444164,-2.116592003032565,50.0,0,32.98272175,616,200
8,0.16970584506634623,320,-0.3310283978935331,0.36762842535972595,0.0007,0.8220660919323564,-5.404943406581879,50.0,0,33.958363625000004,1234,400
12,0.3728707628324628,512,-0.5442178010707721,0.36759644746780396,0.0007,0.7174891540780663,-8.820364512503147,50.0,0,33.596412,1856,600
16,0.2686087319161743,704,-0.7838853946886957,0.3676130175590515,0.0007,0.6273374455049634,-12.218356773257256,50.0,0,34.2457335,2487,800
20,0.34571579238399863,896,-0.9860881534405053,0.36761724948883057,0.0007,0.5481037786230445,-14.981370761990547,50.0,0,34.77216145,3109,1000
24,0.2652765039820224,1088,-1.222770824097097,0.3676232695579529,0.0007,0.47993194218724966,-17.316861003637314,50.0,0,34.51240775,3753,1200
28,0.3093337657628581,1280,-1.4134231426287442,0.3675697147846222,0.0007,0.4201176203787327,-19.28458485007286,50.0,0,34.21552610714286,4380,1400
32,0.2889359532855451,1472,-1.68134059663862,0.3676004111766815,0.0007,0.36846028408035636,-20.98260396718979,50.0,0,34.02629003125,5028,1600
36,0.26645283214747906,1728,-2.0168167108204216,0.36756256222724915,0.0007,0.30769342137500644,-22.877371072769165,50.0,0,33.77264247222222,5760,1800
40,0.2234285328304395,1920,-2.182156201452017,0.36751168966293335,0.0007,0.2691621412523091,-23.926808923482895,50.0,0,34.06962005,6382,2000
44,0.19974302442278713,2112,-2.3776540234684944,0.3674779236316681,0.0007,0.23596171336248517,-24.72486925125122,50.0,0,34.25438952272727,7007,2200
48,0.21417293406557292,2304,-2.8144152760505676,0.3675019443035126,0.0007,0.20681213773787022,-25.49922040104866,50.0,0,34.1353503125,7626,2400
52,0.17522565834224224,2496,-2.820971190929413,0.367401123046875,0.0007,0.18086182582192123,-26.0297050178051,50.0,0,34.23022357692308,8236,2600
56,0.18334925232920796,2688,-3.0411836244165897,0.36735233664512634,0.0007,0.15838185115717351,-26.551082581281662,50.0,0,34.33282939285714,8829,2800
60,0.1606616986100562,2880,-3.193686630576849,0.3673045039176941,0.0007,0.1390173037070781,-26.9952991604805,50.0,0,34.47354956666667,9458,3000
64,0.16163377929478884,3072,-3.3814082853496075,0.3672870993614197,0.0007,0.12213348539080471,-27.373527348041534,50.0,0,34.313228234375,10051,3200
68,0.18676591792609543,3328,-3.5043353140354156,0.367236852645874,0.0007,0.1030057321768254,-27.778164207935333,50.0,0,34.45291455882353,10704,3400
72,0.18914678797591478,3520,-3.7176580354571342,0.3669906258583069,0.0007,0.09074991720262915,-28.111725747585297,50.0,0,34.65189701388889,11306,3600
76,0.16771367727778852,3712,-3.6408296562731266,0.3667908012866974,0.0007,0.08042232447769493,-28.339011430740356,50.0,0,34.752229210526316,11904,3800
80,0.1813352268654853,3904,-3.574705650098622,0.36648598313331604,0.0007,0.07135480258148164,-28.551721692085266,50.0,0,34.8255016125,12524,4000
84,0.18614662543404847,4096,-3.498152799438685,0.36612170934677124,0.0007,0.06366712285671383,-28.917259842157364,50.0,0,34.87132117857143,13123,4200
88,0.16547053470276296,4288,-3.2684113206341863,0.3658033013343811,0.0007,0.05739745055325329,-29.132635563611984,50.0,0,35.008989988636365,13786,4400
92,0.16975010524038225,4480,-3.4856052678078413,0.3655471205711365,0.0007,0.0516308089136146,-29.400718420743942,50.0,0,34.934456239130434,14394,4600
96,0.1844919053837657,4672,-2.641983157489449,0.36531463265419006,0.0007,0.04662969766650349,-29.600844770669937,50.0,0,34.83088186458334,15033,4800
