train/ent_coef,train/critic_loss,train/actor_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate
0.004999999888241291,0.0017863557441160083,-3.640627145767212,565,189,4,50.0,0,200,47.114136,0.00268856
0.004999999888241291,0.015014460310339928,-7.20140266418457,1132,389,8,50.0,0,400,47.429942,0.00257656
0.004999999888241291,0.01521641667932272,-10.600881576538086,1700,589,12,50.0,0,600,47.56332975,0.0024645599999999998
0.004999999888241291,0.06053253263235092,-14.362041473388672,2265,789,16,50.0,0,800,47.643401374999996,0.00235256
0.004999999888241291,0.018968723714351654,-17.68747329711914,2833,989,20,50.0,0,1000,47.685565,0.00224056
0.004999999888241291,0.03467453271150589,-21.25481605529785,3401,1189,24,50.0,0,1200,47.71455791666667,0.00212856
0.004999999888241291,0.041236523538827896,-24.65199089050293,3975,1389,28,50.0,0,1400,47.73302985714285,0.0020165599999999997
0.004999999888241291,0.10710752755403519,-28.200244903564453,4543,1589,32,50.0,0,1600,47.74652284375,0.00190456
0.004999999888241291,0.07330397516489029,-31.846548080444336,5110,1789,36,50.0,0,1800,47.77228933333333,0.00179256
0.004999999888241291,0.04947001859545708,-35.48051071166992,5677,1989,40,50.0,0,2000,47.781353225,0.0016805600000000002
0.004999999888241291,0.049016766250133514,-39.01013946533203,6246,2189,44,50.0,0,2200,47.78179252272727,0.00156856
0.004999999888241291,0.04465227574110031,-42.57744598388672,6813,2389,48,50.0,0,2400,47.79042243749999,0.00145656
0.004999999888241291,0.09537874907255173,-46.14978790283203,7380,2589,52,50.0,0,2600,47.79122999999999,0.0013445599999999999
0.004999999888241291,0.1036309152841568,-49.549503326416016,7947,2789,56,50.0,0,2800,47.787964714285714,0.0012325600000000002
0.004999999888241291,0.04828185588121414,-52.903663635253906,8512,2989,60,50.0,0,3000,47.78871735,0.00112056
0.004999999888241291,0.05231495201587677,-56.42085266113281,9081,3189,64,50.0,0,3200,47.790398906250005,0.00100856
0.004999999888241291,0.05120673030614853,-59.90672302246094,9651,3389,68,50.0,0,3400,47.79742697058823,0.0008965600000000001
0.004999999888241291,0.027627982199192047,-63.33155059814453,10220,3589,72,50.0,0,3600,47.804548347222216,0.00078456
0.004999999888241291,0.03646676987409592,-66.82012939453125,10789,3789,76,50.0,0,3800,47.80742193421052,0.0006725599999999999
0.004999999888241291,0.03220663592219353,-70.23188781738281,11356,3989,80,50.0,0,4000,47.811782075,0.0005605600000000001
0.004999999888241291,0.03057088330388069,-73.64676666259766,11923,4189,84,50.0,0,4200,47.816281380952375,0.00044856000000000003
0.004999999888241291,0.023988835513591766,-77.02984619140625,12491,4389,88,50.0,0,4400,47.823941238636365,0.0003365599999999999
0.004999999888241291,0.02524489350616932,-80.4049072265625,13060,4589,92,50.0,0,4600,47.82664090217392,0.00022456000000000014
0.004999999888241291,0.03040817752480507,-83.78943634033203,13628,4789,96,50.0,0,4800,47.832256864583336,0.00011256000000000003
