train/critic_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/actor_loss
0.0021412577480077744,189,200,35.424831999999995,0,0.00067214,0.10000000149011612,4,50.0,614,-2.7827985286712646
0.0028367729391902685,389,400,35.405623875,0,0.00064414,0.10000000149011612,8,50.0,1216,-5.540780067443848
0.0018632393330335617,589,600,35.38044175,0,0.0006161399999999999,0.10000000149011612,12,50.0,1824,-8.490912437438965
0.002242674585431814,789,800,35.4156194375,0,0.00058814,0.10000000149011612,16,50.0,2429,-11.500663757324219
0.002763283671811223,989,1000,35.44842435,0,0.00056014,0.10000000149011612,20,50.0,3037,-14.438657760620117
0.006243982817977667,1189,1200,35.48435808333333,0,0.00053214,0.10000000149011612,24,50.0,3655,-17.450471878051758
0.00745000783354044,1389,1400,35.48714275,0,0.0005041399999999999,0.10000000149011612,28,50.0,4267,-20.374353408813477
0.013591291382908821,1589,1600,35.51199059375,0,0.00047614,0.10000000149011612,32,50.0,4875,-23.36721420288086
0.0035411296412348747,1789,1800,35.519522499999994,0,0.00044814,0.10000000149011612,36,50.0,5483,-26.352529525756836
0.007628032937645912,1989,2000,35.518675925000004,0,0.00042014000000000005,0.10000000149011612,40,50.0,6088,-29.337953567504883
0.008074009791016579,2189,2200,35.48590095454546,0,0.00039214,0.10000000149011612,44,50.0,6691,-32.29566192626953
0.0038653453812003136,2389,2400,35.48025239583333,0,0.00036414,0.10000000149011612,48,50.0,7304,-35.24802017211914
0.009876668453216553,2589,2600,35.483645788461544,0,0.00033613999999999996,0.10000000149011612,52,50.0,7909,-38.16477966308594
0.0050024231895804405,2789,2800,35.49617767857143,0,0.00030814000000000004,0.10000000149011612,56,50.0,8515,-41.068294525146484
0.007088994607329369,2989,3000,35.50755791666666,0,0.00028014,0.10000000149011612,60,50.0,9123,-43.91221237182617
0.004871976561844349,3189,3200,35.500006953124995,0,0.00025214,0.10000000149011612,64,50.0,9728,-46.83078384399414
0.005545036867260933,3389,3400,35.510200749999996,0,0.00022414000000000003,0.10000000149011612,68,50.0,10332,-49.719112396240234
0.008012560196220875,3589,3600,35.50772716666667,0,0.00019614,0.10000000149011612,72,50.0,10938,-52.570335388183594
0.00525954645127058,3789,3800,35.51051564473685,0,0.00016813999999999997,0.10000000149011612,76,50.0,11542,-55.44350051879883
0.00534331239759922,3989,4000,35.5063811125,0,0.00014014000000000002,0.10000000149011612,80,50.0,12150,-58.276371002197266
0.004507223144173622,4189,4200,35.50499423809524,0,0.00011214000000000001,0.10000000149011612,84,50.0,12754,-61.130126953125
0.007192669901996851,4389,4400,35.500802931818185,0,8.413999999999998e-05,0.10000000149011612,88,50.0,13384,-63.94529724121094
0.006057752761989832,4589,4600,35.49660576086956,0,5.6140000000000035e-05,0.10000000149011612,92,50.0,13992,-66.731201171875
0.006376381032168865,4789,4800,35.49975020833333,0,2.814000000000001e-05,0.10000000149011612,96,50.0,14596,-69.50696563720703
