time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/episodes,train/critic_loss,time/total_timesteps,train/ent_coef
0,0.00067214,42.56996275,-3.23742413520813,50.0,597,189,4,0.0019660682883113623,200,0.10000000149011612
0,0.00064414,42.673251,-6.5106048583984375,50.0,1197,389,8,0.0036569912917912006,400,0.10000000149011612
0,0.0006161399999999999,42.603557333333335,-9.94941520690918,50.0,1796,589,12,0.003096314612776041,600,0.10000000149011612
0,0.00058814,42.6203734375,-13.311697006225586,50.0,2393,789,16,0.0047574336640536785,800,0.10000000149011612
0,0.00056014,42.64810905,-16.779651641845703,50.0,3002,989,20,0.0032171178609132767,1000,0.10000000149011612
0,0.00053214,42.66916058333334,-20.267244338989258,50.0,3603,1189,24,0.0039672707207500935,1200,0.10000000149011612
0,0.0005041399999999999,42.67432614285714,-23.783390045166016,50.0,4205,1389,28,0.008024782873690128,1400,0.10000000149011612
0,0.00047614,42.727366062499996,-27.244752883911133,50.0,4804,1589,32,0.013681412674486637,1600,0.10000000149011612
0,0.00044814,42.75525583333333,-30.797439575195312,50.0,5398,1789,36,0.013967021368443966,1800,0.10000000149011612
0,0.00042014000000000005,42.747092275,-34.25334930419922,50.0,6000,1989,40,0.014267127960920334,2000,0.10000000149011612
0,0.00039214,42.76465784090909,-37.67068862915039,50.0,6601,2189,44,0.016572676599025726,2200,0.10000000149011612
0,0.00036414,42.765873,-41.14011764526367,50.0,7226,2389,48,0.017352096736431122,2400,0.10000000149011612
0,0.00033613999999999996,42.777867461538456,-44.59878158569336,50.0,7823,2589,52,0.014243867248296738,2600,0.10000000149011612
0,0.00030814000000000004,42.78848051785714,-47.993385314941406,50.0,8418,2789,56,0.010792499408125877,2800,0.10000000149011612
0,0.00028014,42.79255703333334,-51.41499710083008,50.0,9020,2989,60,0.011370306834578514,3000,0.10000000149011612
0,0.00025214,42.78313340625,-54.769683837890625,50.0,9618,3189,64,0.010323036462068558,3200,0.10000000149011612
0,0.00022414000000000003,42.77630438235295,-58.13665771484375,50.0,10220,3389,68,0.009965552017092705,3400,0.10000000149011612
0,0.00019614,42.77041249999999,-61.45530700683594,50.0,10830,3589,72,0.007738117594271898,3600,0.10000000149011612
0,0.00016813999999999997,42.79062460526316,-64.83124542236328,50.0,11429,3789,76,0.010080588050186634,3800,0.10000000149011612
0,0.00014014000000000002,42.8084908,-68.18560028076172,50.0,12027,3989,80,0.00942322053015232,4000,0.10000000149011612
0,0.00011214000000000001,42.79422085714286,-71.47368621826172,50.0,12626,4189,84,0.008217161521315575,4200,0.10000000149011612
0,8.413999999999998e-05,42.79143429545454,-74.7674560546875,50.0,13220,4389,88,0.008607765659689903,4400,0.10000000149011612
0,5.6140000000000035e-05,42.794485315217386,-78.04177856445312,50.0,13818,4589,92,0.010702559724450111,4600,0.10000000149011612
0,2.814000000000001e-05,42.80742273958333,-81.3047866821289,50.0,14415,4789,96,0.018090927973389626,4800,0.10000000149011612
