train/critic_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates
0.0067131407558918,4,0,45.02474025,0.09482777863740921,-3.3528616428375244,0.0003,456,200,50.0,-1.3385051488876343,189
0.001313276356086135,8,0,45.691399875,0.08983408659696579,-3.2182562351226807,0.0003,911,400,50.0,-1.9577873945236206,389
0.0009865276515483856,12,0,45.90256441666667,0.0847712829709053,-3.519137382507324,0.0003,1366,600,50.0,-2.653871536254883,589
0.0007635331712663174,16,0,45.9986378125,0.07996156811714172,-3.2997117042541504,0.0003,1822,800,50.0,-3.4202301502227783,789
0.0006463201716542244,20,0,46.04292875,0.07542624324560165,-3.3369781970977783,0.0003,2277,1000,50.0,-4.194238662719727,989
0.0008135967655107379,24,0,46.16084337499999,0.07121060788631439,-3.3889195919036865,0.0003,2731,1200,50.0,-5.016945838928223,1189
0.0009334434289485216,28,0,46.208988035714285,0.06729123741388321,-3.7612037658691406,0.0003,3186,1400,50.0,-5.826732635498047,1389
0.0012210183776915073,32,0,46.32388675,0.06363146007061005,-3.4680428504943848,0.0003,3641,1600,50.0,-6.68428373336792,1589
0.0008441013633273542,36,0,46.44587341666667,0.060253042727708817,-3.230455160140991,0.0003,4094,1800,50.0,-7.487921237945557,1789
0.001059686066582799,40,0,46.547551825,0.05710252374410629,-2.8802566528320312,0.0003,4548,2000,50.0,-8.285161018371582,1989
0.001006556674838066,44,0,46.622530409090906,0.054116882383823395,-2.8797221183776855,0.0003,5002,2200,50.0,-9.124149322509766,2189
0.0018203997751697898,48,0,46.698315145833334,0.05131447687745094,-3.3311710357666016,0.0003,5456,2400,50.0,-9.96843433380127,2389
0.0017021605744957924,52,0,46.76112257692307,0.04868967458605766,-2.5906822681427,0.0003,5911,2600,50.0,-10.793744087219238,2589
0.0014300639741122723,56,0,46.839493410714276,0.04623950645327568,-2.848548173904419,0.0003,6366,2800,50.0,-11.581372261047363,2789
0.0008792667649686337,60,0,46.91581973333332,0.043931663036346436,-3.1138205528259277,0.0003,6820,3000,50.0,-12.36673641204834,2989
0.0007171461475081742,64,0,46.97129460937499,0.04174705967307091,-2.808196783065796,0.0003,7272,3200,50.0,-13.20272159576416,3189
0.003748293500393629,68,0,47.026032617647054,0.039689481258392334,-3.0323469638824463,0.0003,7726,3400,50.0,-13.945277214050293,3389
0.0010037967003881931,72,0,47.074208166666665,0.03773760423064232,-2.645439624786377,0.0003,8179,3600,50.0,-14.755759239196777,3589
0.0022823973558843136,76,0,47.12892435526316,0.03592214733362198,-2.750363349914551,0.0003,8632,3800,50.0,-15.522317886352539,3789
0.0023000603541731834,80,0,47.18564568749999,0.034231703728437424,-2.4487600326538086,0.0003,9086,4000,50.0,-16.32434844970703,3989
0.0009427184704691172,84,0,47.23679824999999,0.03263019025325775,-1.8860152959823608,0.0003,9539,4200,50.0,-17.09662437438965,4189
0.0009121086914092302,88,0,47.282149431818176,0.03112528845667839,-2.490696907043457,0.0003,9992,4400,50.0,-17.883014678955078,4389
0.0013499206397682428,92,0,47.32840523913043,0.029726890847086906,-1.753403663635254,0.0003,10443,4600,50.0,-18.592676162719727,4589
0.0012976855505257845,96,0,47.36934794791667,0.028422320261597633,-1.5718867778778076,0.0003,10897,4800,50.0,-19.361522674560547,4789
