rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,time/episodes,train/ent_coef,time/fps,time/total_timesteps,rollout/ep_len_mean
38.1300095,631,0.0019135517068207264,0.00067214,-2.995058059692383,189,4,0.10000000149011612,0,200,50.0
38.203081625,1232,0.003466784954071045,0.00064414,-5.913724899291992,389,8,0.10000000149011612,0,400,50.0
38.27363591666667,1832,0.002548842690885067,0.0006161399999999999,-9.067315101623535,589,12,0.10000000149011612,0,600,50.0
38.313061312500004,2435,0.0029706016648560762,0.00058814,-12.183955192565918,789,16,0.10000000149011612,0,800,50.0
38.31639725,3041,0.008153787814080715,0.00056014,-15.280645370483398,989,20,0.10000000149011612,0,1000,50.0
38.332593374999995,3647,0.006896755658090115,0.00053214,-18.489948272705078,1189,24,0.10000000149011612,0,1200,50.0
38.337789678571426,4249,0.014905266463756561,0.0005041399999999999,-21.639598846435547,1389,28,0.10000000149011612,0,1400,50.0
38.367798625000006,4857,0.007504737935960293,0.00047614,-24.70808219909668,1589,32,0.10000000149011612,0,1600,50.0
38.37805866666667,5472,0.011706757359206676,0.00044814,-27.911794662475586,1789,36,0.10000000149011612,0,1800,50.0
38.374672700000005,6075,0.009406134486198425,0.00042014000000000005,-31.122350692749023,1989,40,0.10000000149011612,0,2000,50.0
38.380030272727275,6681,0.006160416174679995,0.00039214,-34.18254852294922,2189,44,0.10000000149011612,0,2200,50.0
38.37427683333333,7470,0.00606592558324337,0.00036414,-37.3856315612793,2389,48,0.10000000149011612,0,2400,50.0
38.36811965384615,8075,0.007189223077148199,0.00033613999999999996,-40.462284088134766,2589,52,0.10000000149011612,0,2600,50.0
38.38526948214285,8675,0.0056258561089634895,0.00030814000000000004,-43.56726837158203,2789,56,0.10000000149011612,0,2800,50.0
38.388328733333324,9277,0.008388398215174675,0.00028014,-46.62748718261719,2989,60,0.10000000149011612,0,3000,50.0
38.38486375,9876,0.00800415687263012,0.00025214,-49.700660705566406,3189,64,0.10000000149011612,0,3200,50.0
38.38847852941176,10484,0.005912101827561855,0.00022414000000000003,-52.78425216674805,3389,68,0.10000000149011612,0,3400,50.0
38.38758754166666,11094,0.009115882217884064,0.00019614,-55.81418228149414,3589,72,0.10000000149011612,0,3600,50.0
38.39804389473684,11698,0.007483906112611294,0.00016813999999999997,-58.888614654541016,3789,76,0.10000000149011612,0,3800,50.0
38.407852000000005,12300,0.00547520536929369,0.00014014000000000002,-61.905452728271484,3989,80,0.10000000149011612,0,4000,50.0
38.40861039285715,12904,0.006153985857963562,0.00011214000000000001,-64.95921325683594,4189,84,0.10000000149011612,0,4200,50.0
38.40192769318182,13508,0.00537674967199564,8.413999999999998e-05,-67.98346710205078,4389,88,0.10000000149011612,0,4400,50.0
38.40289857608696,14114,0.006020712666213512,5.6140000000000035e-05,-70.9493408203125,4589,92,0.10000000149011612,0,4600,50.0
38.407596364583334,14718,0.008877435699105263,2.814000000000001e-05,-73.92269897460938,4789,96,0.10000000149011612,0,4800,50.0
