train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/time_elapsed,train/ent_coef,train/n_updates,time/total_timesteps,time/fps,train/actor_loss
0.0031650876626372337,50.0,47.68235975,4,0.00067214,597,0.10000000149011612,189,200,0,-3.629331111907959
0.004046583082526922,50.0,47.57244775,8,0.00064414,1204,0.10000000149011612,389,400,0,-7.254230499267578
0.004305376671254635,50.0,47.49271216666667,12,0.0006161399999999999,1810,0.10000000149011612,589,600,0,-11.081802368164062
0.009311694651842117,50.0,47.502401937500004,16,0.00058814,2414,0.10000000149011612,789,800,0,-14.923232078552246
0.012679295614361763,50.0,47.53000005,20,0.00056014,3020,0.10000000149011612,989,1000,0,-18.800155639648438
0.004774265922605991,50.0,47.55142416666666,24,0.00053214,3620,0.10000000149011612,1189,1200,0,-22.730960845947266
0.0057546403259038925,50.0,47.561906,28,0.0005041399999999999,4225,0.10000000149011612,1389,1400,0,-26.64960479736328
0.010815723799169064,50.0,47.6000985,32,0.00047614,4826,0.10000000149011612,1589,1600,0,-30.628170013427734
0.0052502090111374855,50.0,47.60200627777778,36,0.00044814,5449,0.10000000149011612,1789,1800,0,-34.45254135131836
0.006720598787069321,50.0,47.596572775000006,40,0.00042014000000000005,6057,0.10000000149011612,1989,2000,0,-38.33549499511719
0.005710314027965069,50.0,47.58360331818182,44,0.00039214,6662,0.10000000149011612,2189,2200,0,-42.21719741821289
0.009312760084867477,50.0,47.55895079166667,48,0.00036414,7265,0.10000000149011612,2389,2400,0,-46.063804626464844
0.008431065827608109,50.0,47.551020673076934,52,0.00033613999999999996,7922,0.10000000149011612,2589,2600,0,-49.93547439575195
0.013938361778855324,50.0,47.554387035714285,56,0.00030814000000000004,8539,0.10000000149011612,2789,2800,0,-53.803462982177734
0.009165773168206215,50.0,47.55460071666666,60,0.00028014,9175,0.10000000149011612,2989,3000,0,-57.598838806152344
0.006848224438726902,50.0,47.562577203125,64,0.00025214,9778,0.10000000149011612,3189,3200,0,-61.373294830322266
0.008433605544269085,50.0,47.57558110294117,68,0.00022414000000000003,10382,0.10000000149011612,3389,3400,0,-65.18736267089844
0.007548204623162746,50.0,47.581542902777784,72,0.00019614,10988,0.10000000149011612,3589,3600,0,-68.91959381103516
0.008756598457694054,50.0,47.593395578947366,76,0.00016813999999999997,11593,0.10000000149011612,3789,3800,0,-72.6947021484375
0.009879286400973797,50.0,47.590388787500004,80,0.00014014000000000002,12196,0.10000000149011612,3989,4000,0,-76.39440155029297
0.008510792627930641,50.0,47.58801538095238,84,0.00011214000000000001,12801,0.10000000149011612,4189,4200,0,-80.10820770263672
0.010981358587741852,50.0,47.58891860227273,88,8.413999999999998e-05,13405,0.10000000149011612,4389,4400,0,-83.84848022460938
0.018438834697008133,50.0,47.58655061956521,92,5.6140000000000035e-05,14013,0.10000000149011612,4589,4600,0,-87.49790954589844
0.02376011572778225,50.0,47.59156363541666,96,2.814000000000001e-05,14619,0.10000000149011612,4789,4800,0,-91.13972473144531
