train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,train/critic_loss,time/total_timesteps,train/n_updates,train/learning_rate,rollout/ep_len_mean
0.10000000149011612,-3.435823917388916,43.65396875,651,4,0,0.023361902683973312,200,189,0.00268856,50.0
0.10000000149011612,-6.93050479888916,43.596462125,1319,8,0,0.032735150307416916,400,389,0.00257656,50.0
0.10000000149011612,-10.557811737060547,43.51633916666666,1981,12,0,0.009593970142304897,600,589,0.0024645599999999998,50.0
0.10000000149011612,-13.913959503173828,43.5047598125,2643,16,0,0.006656148005276918,800,789,0.00235256,50.0
0.10000000149011612,-17.630306243896484,43.44521139999999,3310,20,0,0.20688267052173615,1000,989,0.00224056,50.0
0.10000000149011612,-21.114145278930664,43.47313729166666,3973,24,0,0.01389918103814125,1200,1189,0.00212856,50.0
0.10000000149011612,-24.75958251953125,43.47281839285714,4639,28,0,0.024870777502655983,1400,1389,0.0020165599999999997,50.0
0.10000000149011612,-28.27010154724121,43.4981485,5305,32,0,0.12620267271995544,1600,1589,0.00190456,50.0
0.10000000149011612,-31.620697021484375,43.52689083333334,5965,36,0,0.08433529734611511,1800,1789,0.00179256,50.0
0.10000000149011612,-35.17554473876953,43.494071175,6631,40,0,0.10440386086702347,2000,1989,0.0016805600000000002,50.0
0.10000000149011612,-38.889808654785156,43.521424113636364,7295,44,0,0.03570898249745369,2200,2189,0.00156856,50.0
0.10000000149011612,-42.29600143432617,43.49578820833333,7964,48,0,0.058641187846660614,2400,2389,0.00145656,50.0
0.10000000149011612,-45.801856994628906,43.48520888461538,8626,52,0,0.04617292433977127,2600,2589,0.0013445599999999999,50.0
0.10000000149011612,-49.39295959472656,43.49432914285713,9293,56,0,0.009947113692760468,2800,2789,0.0012325600000000002,50.0
0.10000000149011612,-52.864784240722656,43.50624891666667,9958,60,0,0.02642742730677128,3000,2989,0.00112056,50.0
0.10000000149011612,-56.33725357055664,43.505967328124996,10619,64,0,0.009418750181794167,3200,3189,0.00100856,50.0
0.10000000149011612,-59.84566116333008,43.508704470588235,11284,68,0,0.028547409921884537,3400,3389,0.0008965600000000001,50.0
0.10000000149011612,-63.210540771484375,43.51452734722222,11952,72,0,0.015739699825644493,3600,3589,0.00078456,50.0
0.10000000149011612,-66.64805603027344,43.51712021052631,12626,76,0,0.013920930214226246,3800,3789,0.0006725599999999999,50.0
0.10000000149011612,-70.09156799316406,43.5254033375,13299,80,0,0.019011497497558594,4000,3989,0.0005605600000000001,50.0
0.10000000149011612,-73.45939636230469,43.517293321428575,13965,84,0,0.00922897458076477,4200,4189,0.00044856000000000003,50.0
0.10000000149011612,-76.90780639648438,43.51380444318182,14643,88,0,0.0068922461941838264,4400,4389,0.0003365599999999999,50.0
0.10000000149011612,-80.2540512084961,43.51180726086957,15312,92,0,0.00667195301502943,4600,4589,0.00022456000000000014,50.0
0.10000000149011612,-83.5653076171875,43.52648132291667,15974,96,0,0.012142786756157875,4800,4789,0.00011256000000000003,50.0
