step,weightUpdates,episode,action,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/gradientRtt,state/interarrivalJitter,state/lossRate,state/rttMean,state/rttStd,state/rxRate,state/txRate,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
21,3,1,-0.36439562,0.0,0.0,0.0,0.004180908,0.039154053,0.0013122559,0.025366666,0.0,0.03931972,0.0026560994,4.688608,4.6673546,0.8297963511127429,0.08597820306222186,0.19885330200195314,0.2,0.15041505604856786,0.044549790000000006,0.075,0.075
22,3,1,-0.5622915,0.0,0.0,0.0,0.0021209717,0.037094116,-0.0020599365,0.027044445,0.0,0.039218556,0.0026361153,3.594709,3.5918908,0.8167487331739834,0.06897048258082654,0.2,0.2,0.14777825059315694,0.05,0.075,0.075
23,3,1,0.4852066,0.0,0.0,0.0,0.002319336,0.03729248,0.00019836426,0.02308889,0.0,0.03913481,0.0026079207,12.316941,12.526472,0.9011658829847703,0.17600266578938503,0.2,0.2,0.1542373271953853,0.020925890000000003,0.075,0.075
24,3,1,-0.48308486,0.0,0.0,0.0,0.0028381348,0.03781128,0.0005187988,0.02301111,0.0,0.039079666,0.0025666736,4.758656,4.7190604,0.8161842716751316,0.08701955721079077,0.19998550415039062,0.2,0.15437349698061686,0.024805713333333337,0.075,0.075
25,3,1,0.23120368,0.0,0.0,0.0,0.0063323975,0.041305542,0.0034942627,0.026788888,0.0,0.0391687,0.0025523626,8.707659,8.77921,0.8683696654727445,0.13837734737245977,0.19498443603515625,0.2,0.14817122206512853,0.03683666,0.075,0.075
26,3,1,-0.22696698,0.0,0.0,0.0,0.00970459,0.044677734,0.0033721924,0.028555555,0.0,0.039380588,0.0027177907,6.553814,6.497898,0.8436855924770498,0.1120092305167722,0.19334335327148439,0.2,0.1455124886887932,0.04282052,0.075,0.075
27,3,1,0.94794273,0.0,0.0,0.0,0.011077881,0.046051025,0.001373291,0.027211111,0.0,0.03962764,0.0029495312,10.817686,10.269382,0.8894857752715682,0.1612227391045218,0.19495239257812502,0.2,0.1475235502555882,0.03578709333333333,0.075,0.075
28,3,1,0.092707515,0.0,0.02171767,0.0,0.016952515,0.05192566,0.005874634,0.028655555,0.0,0.040066857,0.0036874914,8.837039,8.776022,0.8338749051162224,0.1398558252129916,0.18783187866210938,0.2,0.14536586333720566,0.04339784333333334,0.075,0.04242349457058243
29,3,1,-0.16020042,0.0,0.024930747,0.0,0.011352539,0.046325684,-0.0055999756,0.031266667,0.0,0.040282678,0.0037990687,5.4643497,5.4029803,0.7902480077248801,0.09721880721980963,0.2,0.2,0.14166761905539374,0.03875770333333333,0.075,0.03760387811634349
30,4,1,-0.44745588,0.0,0.0,0.0,0.0024871826,0.037460327,-0.008865356,0.028477779,0.0,0.0401886,0.003769416,4.231894,4.1961107,0.8246791079223592,0.07905230393330238,0.2,0.2,0.14562680398905684,0.05,0.075,0.075
31,4,1,0.48926878,0.0,0.0,0.006932409,0.005722046,0.04069519,0.0032348633,0.035744444,0.0,0.04020494,0.0037092005,6.650732,6.617628,0.0,0.1132734987878757,0.1973724365234375,0.2,0.13581969841835337,0.04193720666666667,0.0,0.075
32,4,1,-0.1487279,0.0,0.0,0.0,0.003753662,0.038726807,-0.0019683838,0.030955555,0.0,0.04015875,0.003659832,4.4785566,4.428703,0.8176778969281077,0.08282261559639693,0.2,0.2,0.1420958646650441,0.042759416666666675,0.075,0.075
33,4,1,-0.7293267,0.0,0.0,0.0,0.003768921,0.038742065,1.5258789e-05,0.027433334,0.0,0.04011582,0.0036121262,3.7495089,3.707962,0.8186527954160128,0.07146693493691507,0.2,0.2,0.1471858604790977,0.05,0.075,0.075
34,4,1,-0.22297728,0.0,0.0,0.0,0.0069885254,0.04196167,0.0032196045,0.03172222,0.0,0.040170107,0.00357225,3.8217468,3.867537,0.8106531187715752,0.07262133513602981,0.19698562622070315,0.2,0.14104615741484228,0.05,0.075,0.075
35,4,1,0.657814,0.0,0.0,0.0,0.0033569336,0.038330078,-0.0036315918,0.0231,0.0,0.040117536,0.0035341678,9.229519,9.252952,0.8804670966452809,0.14427509588098597,0.2,0.2,0.15421790743096164,0.031974093333333335,0.075,0.075
36,4,1,0.78954005,0.0,0.0,0.0,0.0032196045,0.03819275,-0.0001373291,0.0274,0.0,0.04006407,0.0034990627,9.744258,9.746933,0.897163185034841,0.14992680886793266,0.2,0.2,0.14723637616690832,0.05,0.075,0.075
37,4,1,0.6736493,0.0,0.0,0.0,0.0012359619,0.036209106,-0.0019836426,0.028377777,0.0,0.03995988,0.0035076092,5.553046,5.4598503,0.8302681143147197,0.09846468606848702,0.2,0.2,0.14577413491289934,0.03602929333333334,0.075,0.075
38,4,1,-0.91622263,0.0,0.0,0.0,0.0048675537,0.0398407,0.0036315918,0.031966668,0.0,0.039956745,0.0034612014,0.333696,0.334547,0.727696685863416,0.007502617518951593,0.19687652587890625,0.2,0.14071537579889146,0.03260216666666667,0.075,0.075
39,4,1,0.31091118,0.0,0.0,0.0,0.0028839111,0.037857056,-0.0019836426,0.031066667,0.0,0.039902907,0.0034326203,6.70808,6.8528113,0.8347124516416753,0.11401784112721475,0.2,0.2,0.14194255718112736,0.028752053333333333,0.075,0.075
