step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
11,2,1,0.6317072,"[6.943482208251953, 9.52755527496338]",[0.         0.02099738 0.         0.06555091 0.        ],[0.00137363 0.         0.00097182 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0311279296875, 0.0468597412109375, 0.0468597412109375, 0.0288238525390625, 0.0201873779296875]","[0.0348052978515625, 0.050537109375, 0.050537109375, 0.032501220703125, 0.02386474609375]","[0.03233333304524422, 0.030177777633070946, 0.030177777633070946, 0.028370371088385582, 0.023244444280862808]",[0.03042963 0.03012903 0.02933185 0.02970308 0.02957745],0.035354406,0.0169558,"[8.044423866271972, 8.826391792297363, 10.0, 8.351483726501465, 10.0]","[8.085062980651855, 8.65344181060791, 9.783481788635253, 8.682505226135254, 9.810202598571777]",0.9298825794531803,0.2337537759578947,0.2,0.22836292952920634,0.07011131763805348,0.1,0.05,0.04765455632802572,
12,2,1,-0.994523,"[9.613732147216798, 10.0]",[0. 0. 0. 0. 0.],[0.02631579 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0200958251953125, 0.029815673828125, 0.037811279296875, 0.045806884765625, 0.045806884765625]","[0.023773193359375, 0.0334930419921875, 0.0414886474609375, 0.0494842529296875, 0.0494842529296875]","[0.023488888517022133, 0.02424444444477558, 0.02652222290635109, 0.02879999950528145, 0.02879999950528145]",[0.02911919 0.02909498 0.02906169 0.0290435  0.02903085],0.035442997,0.016680976,"[1.2188329935073852, 0.5434924960136414, 0.4508725017309189, 0.6973940014839173, 0.4690290004014969]","[1.2090789794921875, 0.5342065006494522, 0.44988150149583817, 0.7130289912223816, 0.43192499950528146]",0.6179944769041231,0.01205155445059321,0.196853578245485,0.25,0.07257738159839582,0.012827752083333322,0.05,0.023684210526315794,
13,2,1,0.71480846,"[10.0, 10.0]",[0.        0.        0.        0.        0.0097561],[0.00240385 0.00202429 0.         0.0047619  0.        ],[0. 0. 0. 0. 0.],"[0.02130126953125, 0.02130126953125, 0.02130126953125, 0.02130126953125, 0.0176544189453125]","[0.0249786376953125, 0.0249786376953125, 0.0249786376953125, 0.0249786376953125, 0.021331787109375]","[0.02491111122071743, 0.02491111122071743, 0.02491111122071743, 0.02491111122071743, 0.02347777783870697]",[0.02879992 0.02851409 0.02823518 0.02800598 0.02790831],0.034903727,0.016437273,"[5.536792182922364, 7.79218692779541, 8.456359672546387, 10.0, 10.0]","[5.194663047790527, 7.403223991394043, 8.503805160522461, 10.0, 9.781975746154785]",0.8553139736210063,0.221377163995329,0.2,0.2475609756097561,0.07557778788798107,0.01998808854166667,0.05,0.04080995758627338,
14,2,1,-0.93282884,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0176544189453125, 0.0309295654296875, 0.0309295654296875, 0.0309295654296875, 0.0309295654296875]","[0.021331787109375, 0.03460693359375, 0.03460693359375, 0.03460693359375, 0.03460693359375]","[0.02347777783870697, 0.03146666660904884, 0.03146666660904884, 0.03146666660904884, 0.03146666660904884]",[0.02768104 0.02764703 0.02761382 0.02759422 0.02757287],0.034733582,0.016112437,"[1.1204424858093263, 0.9666839957237243, 0.6814350008964538, 0.8043720126152039, 0.7181379914283752]","[1.076044487953186, 0.9309414863586426, 0.6692139983177186, 0.776104998588562, 0.7737009882926942]",0.6559783270489072,0.01970619602905813,0.1936882019042969,0.25,0.07069698536555212,0.02188694375,0.05,0.05,
15,3,1,0.4593109,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02301025390625, 0.0118865966796875, 0.0118865966796875, 0.0118865966796875, 0.0118865966796875]","[0.0266876220703125, 0.01556396484375, 0.01556396484375, 0.01556396484375, 0.01556396484375]","[0.023333333432674408, 0.02356666699051857, 0.02356666699051857, 0.02356666699051857, 0.02356666699051857]",[0.02730287 0.02703612 0.02678281 0.02664042 0.02649384],0.03399701,0.016140457,"[6.957182502746583, 8.425358772277832, 8.902998542785644, 9.44021224975586, 5.6661481857299805]","[7.469553375244141, 8.306740760803223, 8.848309516906738, 9.345539855957032, 5.655465126037598]",0.8659595501755255,0.2123814831634002,0.2,0.25,0.07670479305379181,0.026873273958333346,0.05,0.05,
16,3,1,-0.64868873,"[8.741934967041015, 10.0]",[0.03507194 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.006610870361328125, 0.0077616372145712376, 0.012725830078125, 0.0109100341796875, 0.0072784423828125]","[0.010288238525390625, 0.011439005844295025, 0.0164031982421875, 0.01458740234375, 0.010955810546875]","[0.030941667035222054, 0.029007406905293465, 0.021933333948254585, 0.022203704342246056, 0.022744445130228996]",[0.02622173 0.02603356 0.02578467 0.02566463 0.02555295],0.03223081,0.016570829,"[9.159964752197265, 8.110323524475097, 5.383634757995606, 2.4796910285949707, 2.596382999420166]","[9.209695625305176, 8.019741821289061, 5.3091480255126955, 2.3760603427886964, 2.6481363296508786]",0.8512145656101587,0.16322065345237158,0.2,0.2412320143884892,0.07105752832485333,0.07570436944444446,0.05,0.05,
17,3,1,0.7263578,"[9.328358268737793, 10.0]",[0.         0.         0.         0.00913423 0.        ],[0.         0.         0.         0.00240481 0.        ],[0. 0. 0. 0. 0.],"[0.0093841552734375, 0.0093841552734375, 0.0093841552734375, 0.01220703125, 0.01220703125]","[0.0130615234375, 0.0130615234375, 0.0130615234375, 0.0158843994140625, 0.0158843994140625]","[0.018211111426353455, 0.018211111426353455, 0.018211111426353455, 0.02517777867615223, 0.02517777867615223]",[0.02547829 0.0254502  0.02529854 0.02441973 0.02425009],0.03177754,0.0166046,"[2.877441883087158, 2.391307020187378, 4.258320903778076, 10.0, 8.527920150756836]","[3.1504718780517575, 2.490100002288818, 4.0387788772583, 10.0, 8.734547805786132]",0.8854020861396816,0.1647300789553549,0.2,0.2477164416203336,0.07536037518323158,0.1,0.05,0.04759519038076152,
18,3,1,0.08292246,"[8.018866920471192, 8.018866920471192]",[0. 0. 0. 0. 0.],[0.0046729 0.        0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.0178070068359375, 0.0178070068359375, 0.017120361328125, 0.017120361328125, 0.017120361328125]","[0.021484375, 0.021484375, 0.0207977294921875, 0.0207977294921875, 0.0207977294921875]","[0.030011111870408058, 0.030011111870408058, 0.028599999845027924, 0.028599999845027924, 0.028599999845027924]",[0.02425717 0.02407198 0.02396596 0.02390165 0.02380213],0.031417772,0.016432509,"[8.09650993347168, 6.731463241577148, 7.283149147033692, 7.083502960205078, 6.1402082443237305]","[7.591222953796387, 6.220432472229004, 7.216629219055176, 6.8989870071411135, 6.201399230957032]",0.8965119953450593,0.19635238147578066,0.19829097858910422,0.25,0.07170787310143607,0.084833659375,0.05,0.04532710280373832,
19,3,1,-0.40057623,"[8.419810104370118, 10.0]",[0.         0.07191781 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017120361328125, 0.0115814208984375, 0.0115814208984375, 0.0115814208984375, 0.052490234375]","[0.0207977294921875, 0.0152587890625, 0.0152587890625, 0.0152587890625, 0.0561676025390625]","[0.028599999845027924, 0.02248888835310936, 0.02248888835310936, 0.02248888835310936, 0.02437777817249298]",[0.02361259 0.02394157 0.02383043 0.02375104 0.02372503],0.031056628,0.016426189,"[5.35750675201416, 4.160663032531739, 3.455249500274658, 4.4324390411376955, 4.253322982788086]","[5.335009384155273, 4.0022985458374025, 3.4867124557495117, 4.436921119689941, 4.251198959350586]",0.8092394004390504,0.13320796719902653,0.19977819139712327,0.2320205479452055,0.0727236366060283,0.07150905729166666,0.05,0.05,
20,4,1,-0.15462554,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.052490234375, 0.059967041015625, 0.059967041015625, 0.0386962890625, 0.0386962890625]","[0.0561676025390625, 0.0636444091796875, 0.0636444091796875, 0.0423736572265625, 0.0423736572265625]","[0.02437777817249298, 0.018266666680574417, 0.018266666680574417, 0.02451111190021038, 0.02451111190021038]",[0.02351596 0.02340002 0.02328431 0.02319266 0.02314128],0.031971976,0.016888684,"[5.360017585754394, 4.797338485717773, 4.766951560974121, 5.146780967712402, 6.264665031433106]","[5.339715766906738, 5.017577457427978, 4.856099605560303, 4.6679261207580565, 5.846338272094727]",0.8426204400393666,0.15663964825929788,0.1600732064461923,0.25,0.07590758533387647,0.1,0.05,0.05,
