time/fps,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/ent_coef,time/time_elapsed
0,-3.189774751663208,0.01839149370789528,50.0,4,0.0003,44.0450055,200,189,0.004999999888241291,642
0,-6.535869598388672,0.007499697618186474,50.0,8,0.0003,44.691913375,400,389,0.004999999888241291,1271
0,-9.875386238098145,0.006673112977296114,50.0,12,0.0003,44.837669166666664,600,589,0.004999999888241291,1899
0,-13.266815185546875,0.009862910956144333,50.0,16,0.0003,44.897153062499996,800,789,0.004999999888241291,2536
0,-16.664188385009766,0.009582530707120895,50.0,20,0.0003,44.97961024999999,1000,989,0.004999999888241291,3178
0,-20.166948318481445,0.011708645150065422,50.0,24,0.0003,45.00062383333333,1200,1189,0.004999999888241291,3813
0,-23.506694793701172,0.012942619621753693,50.0,28,0.0003,45.03786474999999,1400,1389,0.004999999888241291,4447
0,-26.853084564208984,0.01296829991042614,50.0,32,0.0003,45.03942365625,1600,1589,0.004999999888241291,5079
0,-30.266300201416016,0.012901869602501392,50.0,36,0.0003,45.04198875,1800,1789,0.004999999888241291,5713
0,-33.59635925292969,0.013847723603248596,50.0,40,0.0003,45.067250375,2000,1989,0.004999999888241291,6346
0,-36.995819091796875,0.01171567291021347,50.0,44,0.0003,45.09996345454545,2200,2189,0.004999999888241291,6980
0,-40.3480339050293,0.02464660257101059,50.0,48,0.0003,45.116217125,2400,2389,0.004999999888241291,7610
0,-43.75065612792969,0.02864815667271614,50.0,52,0.0003,45.141387538461544,2600,2589,0.004999999888241291,8247
0,-47.043678283691406,0.019328992813825607,50.0,56,0.0003,45.149345374999996,2800,2789,0.004999999888241291,8875
0,-50.407135009765625,0.019493933767080307,50.0,60,0.0003,45.15341166666666,3000,2989,0.004999999888241291,9508
0,-53.64496994018555,0.036031242460012436,50.0,64,0.0003,45.164387812499996,3200,3189,0.004999999888241291,10142
0,-56.925086975097656,0.01656520366668701,50.0,68,0.0003,45.18193151470587,3400,3389,0.004999999888241291,10769
0,-60.16537094116211,0.01600923016667366,50.0,72,0.0003,45.186816444444446,3600,3589,0.004999999888241291,11397
0,-63.35984802246094,0.024466004222631454,50.0,76,0.0003,45.18426652631579,3800,3789,0.004999999888241291,12022
0,-66.68546295166016,0.013787096366286278,50.0,80,0.0003,45.179407825,4000,3989,0.004999999888241291,12659
0,-69.91661071777344,0.01683058962225914,50.0,84,0.0003,45.17370523809523,4200,4189,0.004999999888241291,13289
0,-73.08201599121094,0.04914987087249756,50.0,88,0.0003,45.17747346590909,4400,4389,0.004999999888241291,13930
0,-76.2546157836914,0.04781194031238556,50.0,92,0.0003,45.18347911956521,4600,4589,0.004999999888241291,14559
0,-79.53462219238281,0.025868767872452736,50.0,96,0.0003,45.18606359375,4800,4789,0.004999999888241291,15190
