train/critic_loss,train/ent_coef,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,time/time_elapsed
0.05589023232460022,0.09869233518838882,0,-3.889442205429077,42.966885999999995,4,200,189,7e-05,-1.144124984741211,50.0,530
0.040747396647930145,0.0975237712264061,0,-2.5976412296295166,44.321388625,8,400,389,7e-05,-1.7946698665618896,50.0,1059
0.01639932207763195,0.09657427668571472,0,-2.2438805103302,45.19324858333332,12,600,589,7e-05,-2.5743682384490967,50.0,1585
0.03651902824640274,0.09555666893720627,0,-2.1326048374176025,45.510592312499995,16,800,789,7e-05,-3.3243751525878906,50.0,2122
0.01656552404165268,0.09435031563043594,0,-2.6514220237731934,45.54923914999999,20,1000,989,7e-05,-4.157556056976318,50.0,2650
0.0034774639643728733,0.09298648685216904,0,-3.0319149494171143,45.56295254166667,24,1200,1189,7e-05,-5.001624584197998,50.0,3178
0.007183946203440428,0.09162222594022751,0,-3.309699296951294,45.500812607142855,28,1400,1389,7e-05,-5.810270309448242,50.0,3703
0.005857287906110287,0.09028394520282745,0,-3.182664632797241,45.54393668749999,32,1600,1589,7e-05,-6.643622398376465,50.0,4365
0.0036844101268798113,0.08897615224123001,0,-3.1275603771209717,45.5762855,36,1800,1789,7e-05,-7.463043212890625,50.0,4892
0.003780477913096547,0.08770938962697983,0,-2.8959128856658936,45.614333725,40,2000,1989,7e-05,-8.297531127929688,50.0,5470
0.0015079438453540206,0.08646304905414581,0,-3.0367538928985596,45.614205340909095,44,2200,2189,7e-05,-9.108074188232422,50.0,5997
0.0023214928805828094,0.0852341577410698,0,-3.2794809341430664,45.63755354166667,48,2400,2389,7e-05,-9.930388450622559,50.0,6525
0.0023364173248410225,0.0840248391032219,0,-3.0302720069885254,45.64366996153846,52,2600,2589,7e-05,-10.724777221679688,50.0,7051
0.003042791271582246,0.08284475654363632,0,-3.160881757736206,45.67027055357143,56,2800,2789,7e-05,-11.541154861450195,50.0,7575
0.0016495529562234879,0.0816856399178505,0,-3.270550012588501,45.7016083,60,3000,2989,7e-05,-12.323305130004883,50.0,8102
0.002262971829622984,0.08054891973733902,0,-3.089602470397949,45.695672296875,64,3200,3189,7e-05,-13.121172904968262,50.0,8632
0.002102794125676155,0.07943731546401978,0,-3.1955387592315674,45.70711230882353,68,3400,3389,7e-05,-13.889754295349121,50.0,9166
0.0014445862034335732,0.07834220677614212,0,-3.076659917831421,45.72492895833333,72,3600,3589,7e-05,-14.676085472106934,50.0,9695
0.002174604684114456,0.07726549357175827,0,-3.357900857925415,45.7440969868421,76,3800,3789,7e-05,-15.458070755004883,50.0,10223
0.00270276446826756,0.07620450854301453,0,-3.184959650039673,45.7649962375,80,4000,3989,7e-05,-16.207565307617188,50.0,10749
0.0014524745056405663,0.07516422122716904,0,-2.9651544094085693,45.78489955952381,84,4200,4189,7e-05,-16.960289001464844,50.0,11272
0.0013699678238481283,0.07413159310817719,0,-3.2202954292297363,45.793010159090905,88,4400,4389,7e-05,-17.70046043395996,50.0,11825
0.0018622224451974034,0.07311653345823288,0,-2.9694876670837402,45.803721217391306,92,4600,4589,7e-05,-18.444049835205078,50.0,12352
0.0015028715133666992,0.07211766391992569,0,-2.9872074127197266,45.81524864583334,96,4800,4789,7e-05,-19.17803192138672,50.0,12875
