rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/episodes,train/ent_coef_loss,time/fps,time/time_elapsed,train/critic_loss,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/actor_loss
42.764814,0.0003,189,4,-3.4845657348632812,0,606,0.0072268215008080006,0.09471800923347473,200,50.0,-1.3405704498291016
43.164098125,0.0003,389,8,-3.5655503273010254,0,1220,0.0024693640880286694,0.08949840813875198,400,50.0,-1.965186357498169
43.36235941666667,0.0003,589,12,-3.7306735515594482,0,1834,0.0026245948392897844,0.08428699523210526,600,50.0,-2.6681673526763916
43.3633575,0.0003,789,16,-3.7930214405059814,0,2447,0.002156247850507498,0.07932540029287338,800,50.0,-3.4065487384796143
43.3425192,0.0003,989,20,-3.7645905017852783,0,3057,0.0020143247675150633,0.07471686601638794,1000,50.0,-4.208507061004639
43.40498633333334,0.0003,1189,24,-4.0167365074157715,0,3676,0.0027862933930009604,0.070419080555439,1200,50.0,-5.040944576263428
43.424389357142864,0.0003,1389,28,-4.175568103790283,0,4290,0.0023032519966363907,0.0664355605840683,1400,50.0,-5.88467264175415
43.50691734375,0.0003,1589,32,-4.120429039001465,0,4904,0.002838725922629237,0.062737375497818,1600,50.0,-6.717472076416016
43.55977883333333,0.0003,1789,36,-3.9508650302886963,0,5513,0.003362302202731371,0.059260398149490356,1800,50.0,-7.581070423126221
43.602223625,0.0003,1989,40,-3.7052698135375977,0,6130,0.002750885672867298,0.05601789429783821,2000,50.0,-8.440913200378418
43.65628347727273,0.0003,2189,44,-3.7089691162109375,0,6741,0.002832378726452589,0.05296251177787781,2200,50.0,-9.296795845031738
43.723150374999996,0.0003,2389,48,-4.061000823974609,0,7349,0.0036537419073283672,0.05009961500763893,2400,50.0,-10.149641036987305
43.78087901923077,0.0003,2589,52,-3.5291309356689453,0,7960,0.002873781369999051,0.047405119985342026,2600,50.0,-11.031930923461914
43.83416667857143,0.0003,2789,56,-3.9141316413879395,0,8574,0.005496715661138296,0.04487403482198715,2800,50.0,-11.854192733764648
43.8813807,0.0003,2989,60,-4.131773471832275,0,9185,0.0020284559577703476,0.04244932159781456,3000,50.0,-12.727108001708984
43.89873453125,0.0003,3189,64,-3.797849178314209,0,9792,0.0026022358797490597,0.04013577476143837,3200,50.0,-13.569597244262695
43.9384206617647,0.0003,3389,68,-3.9263229370117188,0,10401,0.00789346732199192,0.03795767202973366,3400,50.0,-14.455293655395508
43.962592722222226,0.0003,3589,72,-3.703386068344116,0,11010,0.0019712462089955807,0.03592700511217117,3600,50.0,-15.301654815673828
43.98551472368421,0.0003,3789,76,-4.086839199066162,0,11619,0.0022139179054647684,0.03403571620583534,3800,50.0,-16.16057586669922
44.0083836,0.0003,3989,80,-3.7819664478302,0,12235,0.0030078995041549206,0.03225451335310936,4000,50.0,-16.995391845703125
44.03547271428571,0.0003,4189,84,-3.446908473968506,0,12843,0.002881560940295458,0.030568962916731834,4200,50.0,-17.90252685546875
44.05033440909091,0.0003,4389,88,-3.805880308151245,0,13456,0.002484665485098958,0.028958436101675034,4400,50.0,-18.74100112915039
44.06628931521739,0.0003,4589,92,-3.242671489715576,0,14073,0.011001449078321457,0.02745625749230385,4600,50.0,-19.580827713012695
44.08804729166667,0.0003,4789,96,-2.9412312507629395,0,14682,0.0028244818095117807,0.02605070173740387,4800,50.0,-20.453670501708984
