rollout/ep_len_mean,time/time_elapsed,train/critic_loss,time/total_timesteps,time/fps,train/learning_rate,train/ent_coef,train/n_updates,rollout/ep_rew_mean,time/episodes,train/actor_loss
50.0,627,0.0033918973058462143,200,0,0.00067214,0.10000000149011612,189,39.194869249999996,4,-3.067268133163452
50.0,1260,0.004340863786637783,400,0,0.00064414,0.10000000149011612,389,39.27109675,8,-6.153391361236572
50.0,1945,0.006343265064060688,600,0,0.0006161399999999999,0.10000000149011612,589,39.19242333333333,12,-9.311675071716309
50.0,2580,0.00553126260638237,800,0,0.00058814,0.10000000149011612,789,39.24794025,16,-12.530652046203613
50.0,3216,0.006855867803096771,1000,0,0.00056014,0.10000000149011612,989,39.18615164999999,20,-15.716530799865723
50.0,3843,0.007734630256891251,1200,0,0.00053214,0.10000000149011612,1189,39.16664508333333,24,-19.06867027282715
50.0,4473,0.007967119105160236,1400,0,0.0005041399999999999,0.10000000149011612,1389,39.15337539285714,28,-22.295316696166992
50.0,5112,0.00742666982114315,1600,0,0.00047614,0.10000000149011612,1589,39.169829718749995,32,-25.510894775390625
50.0,5748,0.004160820506513119,1800,0,0.00044814,0.10000000149011612,1789,39.13774263888889,36,-28.767276763916016
50.0,6380,0.006232658866792917,2000,0,0.00042014000000000005,0.10000000149011612,1989,39.12784954999999,40,-31.973896026611328
50.0,7019,0.004927581641823053,2200,0,0.00039214,0.10000000149011612,2189,39.12715379545454,44,-35.16633605957031
50.0,7652,0.01315075159072876,2400,0,0.00036414,0.10000000149011612,2389,39.127865625,48,-38.418479919433594
50.0,8283,0.00878085382282734,2600,0,0.00033613999999999996,0.10000000149011612,2589,39.137218826923075,52,-41.55281066894531
50.0,8907,0.01718834601342678,2800,0,0.00030814000000000004,0.10000000149011612,2789,39.16179041071428,56,-44.807701110839844
50.0,9540,0.007922949269413948,3000,0,0.00028014,0.10000000149011612,2989,39.1705598,60,-47.92829132080078
50.0,10181,0.007094789296388626,3200,0,0.00025214,0.10000000149011612,3189,39.159783859375004,64,-51.09566116333008
50.0,10815,0.01141674630343914,3400,0,0.00022414000000000003,0.10000000149011612,3389,39.14364410294118,68,-54.23795700073242
50.0,11454,0.006026602350175381,3600,0,0.00019614,0.10000000149011612,3589,39.141046375,72,-57.32240295410156
50.0,12101,0.005663901101797819,3800,0,0.00016813999999999997,0.10000000149011612,3789,39.1581140131579,76,-60.495697021484375
50.0,12736,0.0067252349108457565,4000,0,0.00014014000000000002,0.10000000149011612,3989,39.154064725,80,-63.5738639831543
50.0,13374,0.015659000724554062,4200,0,0.00011214000000000001,0.10000000149011612,4189,39.133915797619046,84,-66.68344116210938
50.0,14007,0.009270787239074707,4400,0,8.413999999999998e-05,0.10000000149011612,4389,39.13342948863636,88,-69.78311920166016
50.0,14655,0.005711632780730724,4600,0,5.6140000000000035e-05,0.10000000149011612,4589,39.13199627173912,92,-72.82745361328125
50.0,15296,0.010633029043674469,4800,0,2.814000000000001e-05,0.10000000149011612,4789,39.111308802083336,96,-75.87220001220703
