rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/total_timesteps,train/std,train/learning_rate,train/ent_coef,train/n_updates,time/episodes,time/fps,train/actor_loss,time/time_elapsed
50.0,33.939804,0.09561704099178314,-0.09792447090148926,200,0.3679027855396271,0.0007,0.9408727288246155,99,4,0,-1.8765677213668823,554
50.0,35.23838375,0.10443364083766937,-0.30110567808151245,400,0.3679141700267792,0.0007,0.8140503168106079,299,8,0,-5.526152610778809,1181
50.0,33.084210166666665,0.3963221609592438,-0.5935487151145935,600,0.3679569959640503,0.0007,0.7064864635467529,499,12,0,-9.111532211303711,1816
