rollout/ep_len_mean,train/critic_loss,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,time/fps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates
50.0,0.0016777452547103167,4,200,44.9565805,-3.4001963138580322,0,597,0.10000000149011612,0.00067214,189
50.0,0.0024462600704282522,8,400,44.9813365,-6.759586811065674,0,1194,0.10000000149011612,0.00064414,389
50.0,0.012716051191091537,12,600,44.96065725,-10.285236358642578,0,1791,0.10000000149011612,0.0006161399999999999,589
50.0,0.0036732640583068132,16,800,44.96223225,-13.8138427734375,0,2384,0.10000000149011612,0.00058814,789
50.0,0.02178151160478592,20,1000,45.0340106,-17.387420654296875,0,3063,0.10000000149011612,0.00056014,989
50.0,0.007819226011633873,24,1200,45.06187366666668,-21.057884216308594,0,3655,0.10000000149011612,0.00053214,1189
50.0,0.017246518284082413,28,1400,45.11531632142858,-24.704797744750977,0,4252,0.10000000149011612,0.0005041399999999999,1389
50.0,0.010176608338952065,32,1600,45.172242499999996,-28.29840850830078,0,4850,0.10000000149011612,0.00047614,1589
50.0,0.011747539043426514,36,1800,45.191197277777775,-31.944944381713867,0,5447,0.10000000149011612,0.00044814,1789
50.0,0.006709306500852108,40,2000,45.18992985,-35.557193756103516,0,6076,0.10000000149011612,0.00042014000000000005,1989
50.0,0.01279488392174244,44,2200,45.22416856818182,-39.010047912597656,0,6669,0.10000000149011612,0.00039214,2189
50.0,0.013514924794435501,48,2400,45.22364910416667,-42.721832275390625,0,7305,0.10000000149011612,0.00036414,2389
50.0,0.007810750510543585,52,2600,45.217237538461546,-46.27764892578125,0,8004,0.10000000149011612,0.00033613999999999996,2589
50.0,0.018880566582083702,56,2800,45.239454249999994,-49.80278778076172,0,8600,0.10000000149011612,0.00030814000000000004,2789
50.0,0.01320560835301876,60,3000,45.24796208333333,-53.40880584716797,0,9199,0.10000000149011612,0.00028014,2989
50.0,0.008559134788811207,64,3200,45.257909671875,-56.9398193359375,0,9794,0.10000000149011612,0.00025214,3189
50.0,0.010169541463255882,68,3400,45.26415649999999,-60.44135665893555,0,10390,0.10000000149011612,0.00022414000000000003,3389
50.0,0.009788084775209427,72,3600,45.258293875,-63.93709945678711,0,10984,0.10000000149011612,0.00019614,3589
50.0,0.013250942341983318,76,3800,45.28637147368421,-67.47977447509766,0,11583,0.10000000149011612,0.00016813999999999997,3789
50.0,0.010080190375447273,80,4000,45.29931475,-70.93431854248047,0,12181,0.10000000149011612,0.00014014000000000002,3989
50.0,0.008705709129571915,84,4200,45.30063214285715,-74.36994934082031,0,12776,0.10000000149011612,0.00011214000000000001,4189
50.0,0.011484621092677116,88,4400,45.29930922727272,-77.83487701416016,0,13372,0.10000000149011612,8.413999999999998e-05,4389
50.0,0.015300706960260868,92,4600,45.31321376086957,-81.2585220336914,0,13971,0.10000000149011612,5.6140000000000035e-05,4589
50.0,0.020077547058463097,96,4800,45.32811668750001,-84.68521881103516,0,14570,0.10000000149011612,2.814000000000001e-05,4789
