rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,time/total_timesteps,time/time_elapsed,time/fps
46.25959325,0.00067214,50.0,189,4,-3.3710150718688965,0.004025954287499189,0.004999999888241291,200,599,0
47.06534225,0.00064414,50.0,389,8,-6.8340678215026855,0.004611263982951641,0.004999999888241291,400,1169,0
47.351714166666675,0.0006161399999999999,50.0,589,12,-10.521567344665527,0.0077215759083628654,0.004999999888241291,600,1734,0
47.4997941875,0.00058814,50.0,789,16,-14.174385070800781,0.013546271249651909,0.004999999888241291,800,2304,0
47.579164950000006,0.00056014,50.0,989,20,-17.799358367919922,0.02577824890613556,0.004999999888241291,1000,2872,0
47.631255083333336,0.00053214,50.0,1189,24,-21.538259506225586,0.013311438262462616,0.004999999888241291,1200,3440,0
47.67459485714285,0.0005041399999999999,50.0,1389,28,-25.106801986694336,0.010155009105801582,0.004999999888241291,1400,4008,0
47.713119593749994,0.00047614,50.0,1589,32,-28.71966552734375,0.019938409328460693,0.004999999888241291,1600,4576,0
47.74317016666666,0.00044814,50.0,1789,36,-32.41539764404297,0.010723672807216644,0.004999999888241291,1800,5156,0
47.7566238,0.00042014000000000005,50.0,1989,40,-36.03353500366211,0.013003924861550331,0.004999999888241291,2000,5729,0
47.77157636363636,0.00039214,50.0,2189,44,-39.61126708984375,0.027812551707029343,0.004999999888241291,2200,6300,0
47.792744937500004,0.00036414,50.0,2389,48,-43.2438850402832,0.018531830981373787,0.004999999888241291,2400,6866,0
47.80614511538462,0.00033613999999999996,50.0,2589,52,-46.76471710205078,0.021150050684809685,0.004999999888241291,2600,7434,0
47.81641051785714,0.00030814000000000004,50.0,2789,56,-50.359954833984375,0.019932866096496582,0.004999999888241291,2800,8003,0
47.824462733333334,0.00028014,50.0,2989,60,-53.97419738769531,0.023109491914510727,0.004999999888241291,3000,8575,0
47.8288590625,0.00025214,50.0,3189,64,-57.514854431152344,0.014734901487827301,0.004999999888241291,3200,9145,0
47.833229661764705,0.00022414000000000003,50.0,3389,68,-61.06667709350586,0.014109982177615166,0.004999999888241291,3400,9715,0
47.83905001388889,0.00019614,50.0,3589,72,-64.51825714111328,0.009900163859128952,0.004999999888241291,3600,10282,0
47.84185892105263,0.00016813999999999997,50.0,3789,76,-68.01231384277344,0.019136838614940643,0.004999999888241291,3800,10851,0
47.8441969125,0.00014014000000000002,50.0,3989,80,-71.54618835449219,0.012290017679333687,0.004999999888241291,4000,11422,0
47.848272440476194,0.00011214000000000001,50.0,4189,84,-74.99705505371094,0.015541575849056244,0.004999999888241291,4200,11991,0
47.85570203409091,8.413999999999998e-05,50.0,4389,88,-78.44491577148438,0.01903265342116356,0.004999999888241291,4400,12561,0
47.86031746739131,5.6140000000000035e-05,50.0,4589,92,-81.85038757324219,0.01448381319642067,0.004999999888241291,4600,13132,0
47.86480159375,2.814000000000001e-05,50.0,4789,96,-85.26016998291016,0.02210026979446411,0.004999999888241291,4800,13701,0
