train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/episodes,time/fps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed
0.00067214,200,189,0.10000000149011612,4,0,50.0,-3.441160202026367,45.74653925,0.004395505413413048,612
0.00064414,400,389,0.10000000149011612,8,0,50.0,-6.90687894821167,45.99065975,0.0045102182775735855,1223
0.0006161399999999999,600,589,0.10000000149011612,12,0,50.0,-10.569092750549316,46.082062,0.006635401397943497,1843
0.00058814,800,789,0.10000000149011612,16,0,50.0,-14.195985794067383,46.095939812500006,0.02840898558497429,2457
0.00056014,1000,989,0.10000000149011612,20,0,50.0,-17.94866371154785,46.14296435000001,0.009518053382635117,3069
0.00053214,1200,1189,0.10000000149011612,24,0,50.0,-21.60334014892578,46.15940379166667,0.014405346475541592,3684
0.0005041399999999999,1400,1389,0.10000000149011612,28,0,50.0,-25.279953002929688,46.18747067857144,0.023800641298294067,4296
0.00047614,1600,1589,0.10000000149011612,32,0,50.0,-28.920833587646484,46.2378615,0.010152885690331459,4904
0.00044814,1800,1789,0.10000000149011612,36,0,50.0,-32.6762809753418,46.25517769444444,0.029247846454381943,5515
0.00042014000000000005,2000,1989,0.10000000149011612,40,0,50.0,-36.2775764465332,46.244565025,0.009178509004414082,6128
0.00039214,2200,2189,0.10000000149011612,44,0,50.0,-39.92893600463867,46.26548188636364,0.006949517875909805,6741
0.00036414,2400,2389,0.10000000149011612,48,0,50.0,-43.5834846496582,46.254286270833326,0.008624441921710968,7360
0.00033613999999999996,2600,2589,0.10000000149011612,52,0,50.0,-47.23225784301758,46.24548503846154,0.0071275243535637856,7976
0.00030814000000000004,2800,2789,0.10000000149011612,56,0,50.0,-50.86524200439453,46.276789446428566,0.014872079715132713,8593
0.00028014,3000,2989,0.10000000149011612,60,0,50.0,-54.510475158691406,46.29047355,0.015842627733945847,9272
0.00025214,3200,3189,0.10000000149011612,64,0,50.0,-58.13068389892578,46.301104171875004,0.0139358751475811,9886
0.00022414000000000003,3400,3389,0.10000000149011612,68,0,50.0,-61.76036834716797,46.302850720588246,0.00720047764480114,10503
0.00019614,3600,3589,0.10000000149011612,72,0,50.0,-65.35734558105469,46.293402902777785,0.006148255430161953,11122
0.00016813999999999997,3800,3789,0.10000000149011612,76,0,50.0,-68.93678283691406,46.308113973684215,0.008061172440648079,11736
0.00014014000000000002,4000,3989,0.10000000149011612,80,0,50.0,-72.50152587890625,46.316552675000004,0.007865110412240028,12357
0.00011214000000000001,4200,4189,0.10000000149011612,84,0,50.0,-76.04676818847656,46.30894795238096,0.00657295249402523,12971
8.413999999999998e-05,4400,4389,0.10000000149011612,88,0,50.0,-79.59838104248047,46.29468831818182,0.009011680260300636,13588
5.6140000000000035e-05,4600,4589,0.10000000149011612,92,0,50.0,-83.06486511230469,46.29729609782608,0.010373635217547417,14201
2.814000000000001e-05,4800,4789,0.10000000149011612,96,0,50.0,-86.57231140136719,46.314587468750005,0.013403795659542084,14815
