train/actor_loss,time/total_timesteps,train/critic_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef
-1.9309585094451904,200,0.013012081384658813,4,0,43.99905425,549,0.0003,189,-2.866804599761963,50.0,0.09498947858810425
-3.3743574619293213,400,0.005914418492466211,8,0,44.127699875000005,1158,0.0003,389,-3.2795093059539795,50.0,0.08988796919584274
-4.942201137542725,600,0.004642321728169918,12,0,44.19165325,1760,0.0003,589,-3.5971662998199463,50.0,0.08454852551221848
-6.570021629333496,800,0.00514291413128376,16,0,44.1420565625,2362,0.0003,789,-3.3822097778320312,50.0,0.07956971228122711
-8.104400634765625,1000,0.004734157584607601,20,0,44.088938150000004,2969,0.0003,989,-3.333041191101074,50.0,0.0750124603509903
-9.708593368530273,1200,0.004322572611272335,24,0,44.124387291666665,3575,0.0003,1189,-3.652930736541748,50.0,0.07068321853876114
-11.3395357131958,1400,0.0030957134440541267,28,0,44.10357953571429,4185,0.0003,1389,-3.9293253421783447,50.0,0.06670555472373962
-12.831827163696289,1600,0.0028998039197176695,32,0,44.148999968750005,4793,0.0003,1589,-3.788516044616699,50.0,0.06295254081487656
-14.295267105102539,1800,0.0033069101627916098,36,0,44.20076100000001,5400,0.0003,1789,-3.7098135948181152,50.0,0.05944328010082245
-15.801371574401855,2000,0.003418689826503396,40,0,44.22556995,6005,0.0003,1989,-3.366942882537842,50.0,0.05617596581578255
-17.21934700012207,2200,0.002687710803002119,44,0,44.2592539090909,6610,0.0003,2189,-3.4159412384033203,50.0,0.05310887470841408
-18.67888832092285,2400,0.005779369734227657,48,0,44.288565041666665,7216,0.0003,2389,-3.810608386993408,50.0,0.05020977929234505
-20.075843811035156,2600,0.004137526266276836,52,0,44.31948296153847,7823,0.0003,2589,-3.345643997192383,50.0,0.04743310064077377
-21.427452087402344,2800,0.0021276716142892838,56,0,44.34054142857143,8428,0.0003,2789,-3.5626277923583984,50.0,0.044858045876026154
-22.774179458618164,3000,0.004653359297662973,60,0,44.36513045,9058,0.0003,2989,-3.785214900970459,50.0,0.04243031144142151
-24.072683334350586,3200,0.0026793177239596844,64,0,44.374994578125,9663,0.0003,3189,-3.4687743186950684,50.0,0.04015069454908371
-25.341106414794922,3400,0.003927737474441528,68,0,44.393896632352934,10265,0.0003,3389,-3.302886962890625,50.0,0.03799157962203026
-26.65534782409668,3600,0.005352542735636234,72,0,44.41477536111111,10870,0.0003,3589,-3.503889322280884,50.0,0.0359850749373436
-27.875896453857422,3800,0.008058496750891209,76,0,44.448282618421054,11469,0.0003,3789,-3.6154332160949707,50.0,0.034099988639354706
-29.099363327026367,4000,0.0020141308195888996,80,0,44.468129937499995,12078,0.0003,3989,-3.1717529296875,50.0,0.032354168593883514
-30.28744125366211,4200,0.005109909921884537,84,0,44.4835515,12687,0.0003,4189,-3.221038341522217,50.0,0.030699100345373154
-31.433929443359375,4400,0.0044549801386892796,88,0,44.45621221590909,13309,0.0003,4389,-3.383697032928467,50.0,0.02914452739059925
-32.6533317565918,4600,0.002621449064463377,92,0,44.47378411956521,13915,0.0003,4589,-2.8438446521759033,50.0,0.027678394690155983
-33.705726623535156,4800,0.00434760982170701,96,0,44.50850294791667,14511,0.0003,4789,-3.1890056133270264,50.0,0.02627226524055004
