train/critic_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
0.003112482838332653,0,50.0,200,4,599,41.785841,-3.2152202129364014,189,0.00067214,0.10000000149011612
0.002355372067540884,0,50.0,400,8,1206,41.76671675,-6.4581074714660645,389,0.00064414,0.10000000149011612
0.003266863990575075,0,50.0,600,12,1811,41.73938225,-9.808402061462402,589,0.0006161399999999999,0.10000000149011612
0.00373638654127717,0,50.0,800,16,2414,41.7768789375,-13.285345077514648,789,0.00058814,0.10000000149011612
0.004194202832877636,0,50.0,1000,20,3024,41.78506875,-16.71892738342285,989,0.00056014,0.10000000149011612
0.0040334854274988174,0,50.0,1200,24,3630,41.796341500000004,-20.219188690185547,1189,0.00053214,0.10000000149011612
0.014195743948221207,0,50.0,1400,28,4231,41.817781785714295,-23.58110237121582,1389,0.0005041399999999999,0.10000000149011612
0.008683995343744755,0,50.0,1600,32,4863,41.821497843749995,-27.04703712463379,1589,0.00047614,0.10000000149011612
0.00656008580699563,0,50.0,1800,36,5469,41.80709758333333,-30.571043014526367,1789,0.00044814,0.10000000149011612
0.02448463812470436,0,50.0,2000,40,6076,41.801359725,-33.958011627197266,1989,0.00042014000000000005,0.10000000149011612
0.019582031294703484,0,50.0,2200,44,6679,41.78335711363636,-37.447654724121094,2189,0.00039214,0.10000000149011612
0.014486106112599373,0,50.0,2400,48,7297,41.7794258125,-40.87852478027344,2389,0.00036414,0.10000000149011612
0.011954164132475853,0,50.0,2600,52,7905,41.77315305769231,-44.270103454589844,2589,0.00033613999999999996,0.10000000149011612
0.006666361354291439,0,50.0,2800,56,8519,41.75775694642857,-47.67693328857422,2789,0.00030814000000000004,0.10000000149011612
0.007727454416453838,0,50.0,3000,60,9127,41.76512078333334,-51.03130340576172,2989,0.00028014,0.10000000149011612
0.006734352558851242,0,50.0,3200,64,9728,41.781239875000004,-54.44281005859375,3189,0.00025214,0.10000000149011612
0.004583513364195824,0,50.0,3400,68,10333,41.78781720588236,-57.804019927978516,3389,0.00022414000000000003,0.10000000149011612
0.008270400576293468,0,50.0,3600,72,10935,41.78866405555556,-61.14441680908203,3589,0.00019614,0.10000000149011612
0.005687570199370384,0,50.0,3800,76,11541,41.80466342105263,-64.49630737304688,3789,0.00016813999999999997,0.10000000149011612
0.004870022647082806,0,50.0,4000,80,12146,41.8063921625,-67.8123779296875,3989,0.00014014000000000002,0.10000000149011612
0.004704784601926804,0,50.0,4200,84,12747,41.79934428571429,-71.13772583007812,4189,0.00011214000000000001,0.10000000149011612
0.007050895132124424,0,50.0,4400,88,13358,41.79124910227273,-74.45272827148438,4389,8.413999999999998e-05,0.10000000149011612
0.008718863129615784,0,50.0,4600,92,13965,41.78844345652173,-77.73368835449219,4589,5.6140000000000035e-05,0.10000000149011612
0.008363907225430012,0,50.0,4800,96,14567,41.792599,-80.98955535888672,4789,2.814000000000001e-05,0.10000000149011612
