time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,time/total_timesteps,train/critic_loss
0,50.0,643,189,-3.2703747749328613,4,44.16393225,0.0012,0.004999999888241291,200,0.004523706156760454
0,50.0,1282,389,-6.48267936706543,8,44.634108625,0.0012,0.004999999888241291,400,0.004103845916688442
0,50.0,1914,589,-9.791744232177734,12,44.73095175,0.0012,0.004999999888241291,600,0.03554229810833931
0,50.0,2552,789,-13.193188667297363,16,44.812370937500006,0.0012,0.004999999888241291,800,0.014371375553309917
0,50.0,3188,989,-16.744749069213867,20,44.867767300000004,0.0012,0.004999999888241291,1000,0.015328941866755486
0,50.0,3827,1189,-20.098669052124023,24,44.90612441666667,0.0012,0.004999999888241291,1200,0.03991110995411873
0,50.0,4463,1389,-23.4833984375,28,44.92274189285714,0.0012,0.004999999888241291,1400,0.03028210625052452
0,50.0,5098,1589,-26.812780380249023,32,44.92951434375,0.0012,0.004999999888241291,1600,0.037751585245132446
0,50.0,5735,1789,-30.34109115600586,36,44.94824291666667,0.0012,0.004999999888241291,1800,0.020470451563596725
0,50.0,6392,1989,-33.6171760559082,40,44.950989299999996,0.0012,0.004999999888241291,2000,0.015518317930400372
0,50.0,7031,2189,-36.82608413696289,44,44.95718106818181,0.0012,0.004999999888241291,2200,0.061501070857048035
0,50.0,7665,2389,-40.20845031738281,48,44.96874597916667,0.0012,0.004999999888241291,2400,0.1264299750328064
0,50.0,8299,2589,-43.65678024291992,52,44.98290557692308,0.0012,0.004999999888241291,2600,0.08677266538143158
0,50.0,8941,2789,-46.887855529785156,56,44.98745446428571,0.0012,0.004999999888241291,2800,0.07479061186313629
0,50.0,9585,2989,-50.215633392333984,60,44.98764201666667,0.0012,0.004999999888241291,3000,0.024697255343198776
0,50.0,10228,3189,-53.574745178222656,64,45.008512140625,0.0012,0.004999999888241291,3200,0.027105528861284256
0,50.0,10867,3389,-56.4888916015625,68,44.999859029411766,0.0012,0.004999999888241291,3400,0.37693899869918823
0,50.0,11501,3589,-59.78477096557617,72,45.009989861111116,0.0012,0.004999999888241291,3600,0.02815137803554535
0,50.0,12137,3789,-63.06688690185547,76,44.998227881578956,0.0012,0.004999999888241291,3800,0.029421048238873482
0,50.0,12774,3989,-66.57518768310547,80,45.005416975,0.0012,0.004999999888241291,4000,0.04174899309873581
0,50.0,13417,4189,-69.49671173095703,84,45.002625916666666,0.0012,0.004999999888241291,4200,0.13244383037090302
0,50.0,14048,4389,-72.65702819824219,88,45.010384375,0.0012,0.004999999888241291,4400,0.0683055892586708
0,50.0,14679,4589,-75.79707336425781,92,45.01230793478261,0.0012,0.004999999888241291,4600,0.05973567068576813
0,50.0,15315,4789,-79.03984069824219,96,44.98588513541667,0.0012,0.004999999888241291,4800,0.24392648041248322
