train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes,train/critic_loss,time/fps,rollout/ep_len_mean,train/ent_coef,train/n_updates
-1.3804094791412354,200,43.9478715,538,0.0003,4,0.007784395944327116,0,50.0,0.10000000149011612,189
-1.9820958375930786,400,43.798597125,1148,0.0003,8,0.0028242922853678465,0,50.0,0.10000000149011612,389
-2.682826519012451,600,43.827408416666664,1756,0.0003,12,0.0028354651294648647,0,50.0,0.10000000149011612,589
-3.4090731143951416,800,43.7633776875,2363,0.0003,16,0.002178647555410862,0,50.0,0.10000000149011612,789
-4.185285568237305,1000,43.627824499999996,2969,0.0003,20,0.004136483184993267,0,50.0,0.10000000149011612,989
-5.000053405761719,1200,43.57960033333333,3578,0.0003,24,0.002602169755846262,0,50.0,0.10000000149011612,1189
-5.823784828186035,1400,43.52416949999999,4188,0.0003,28,0.0029235584661364555,0,50.0,0.10000000149011612,1389
-6.6301350593566895,1600,43.56120809375,4795,0.0003,32,0.0049110520631074905,0,50.0,0.10000000149011612,1589
-7.406815528869629,1800,43.585216611111115,5404,0.0003,36,0.005189481656998396,0,50.0,0.10000000149011612,1789
-8.234046936035156,2000,43.609030175,6012,0.0003,40,0.0029822182841598988,0,50.0,0.10000000149011612,1989
-8.990374565124512,2200,43.60743231818182,6619,0.0003,44,0.0021323454566299915,0,50.0,0.10000000149011612,2189
-9.809300422668457,2400,43.629438791666665,7218,0.0003,48,0.0017148153856396675,0,50.0,0.10000000149011612,2389
-10.591730117797852,2600,43.68076032692307,7796,0.0003,52,0.001656041480600834,0,50.0,0.10000000149011612,2589
-11.373589515686035,2800,43.76152701785715,8364,0.0003,56,0.0020661833696067333,0,50.0,0.10000000149011612,2789
-12.158251762390137,3000,43.86961455,8890,0.0003,60,0.002772729843854904,0,50.0,0.10000000149011612,2989
-12.896280288696289,3200,43.936419765625004,9415,0.0003,64,0.0022875559516251087,0,50.0,0.10000000149011612,3189
-13.709850311279297,3400,44.0049693382353,9941,0.0003,68,0.002012676792219281,0,50.0,0.10000000149011612,3389
-14.488033294677734,3600,44.06276731944445,10466,0.0003,72,0.0027289208956062794,0,50.0,0.10000000149011612,3589
-15.206698417663574,3800,44.127791171052635,10990,0.0003,76,0.002985565457493067,0,50.0,0.10000000149011612,3789
-16.00956916809082,4000,44.200872875,11514,0.0003,80,0.0033283804077655077,0,50.0,0.10000000149011612,3989
-16.754779815673828,4200,44.266939630952386,12041,0.0003,84,0.002835337072610855,0,50.0,0.10000000149011612,4189
-17.490371704101562,4400,44.316250363636364,12563,0.0003,88,0.005213617812842131,0,50.0,0.10000000149011612,4389
-18.261991500854492,4600,44.36230236956523,13092,0.0003,92,0.005903915967792273,0,50.0,0.10000000149011612,4589
-18.9714412689209,4800,44.394715562500004,13619,0.0003,96,0.0032419150229543447,0,50.0,0.10000000149011612,4789
