rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,time/episodes,train/learning_rate,train/ent_coef,rollout/ep_len_mean,train/critic_loss
40.7964885,189,588,0,200,-3.156100273132324,4,0.00067214,0.10000000149011612,50.0,0.002559282351285219
40.751889000000006,389,1178,0,400,-6.214226722717285,8,0.00064414,0.10000000149011612,50.0,0.004436117131263018
40.67417291666667,589,1764,0,600,-9.48367977142334,12,0.0006161399999999999,0.10000000149011612,50.0,0.00208282726816833
40.7038365625,789,2366,0,800,-12.772741317749023,16,0.00058814,0.10000000149011612,50.0,0.00757481437176466
40.73302915,989,2957,0,1000,-16.164337158203125,20,0.00056014,0.10000000149011612,50.0,0.003637007437646389
40.737028208333335,1189,3550,0,1200,-19.492958068847656,24,0.00053214,0.10000000149011612,50.0,0.005395095329731703
40.75617546428572,1389,4136,0,1400,-22.766826629638672,28,0.0005041399999999999,0.10000000149011612,50.0,0.02202507108449936
40.796647093749996,1589,4723,0,1600,-26.09667205810547,32,0.00047614,0.10000000149011612,50.0,0.005488296039402485
40.80818711111111,1789,5312,0,1800,-29.36642074584961,36,0.00044814,0.10000000149011612,50.0,0.01024283841252327
40.79928675,1989,5907,0,2000,-32.70054626464844,40,0.00042014000000000005,0.10000000149011612,50.0,0.009747901000082493
40.80882497727272,2189,6497,0,2200,-36.006290435791016,44,0.00039214,0.10000000149011612,50.0,0.008525212295353413
40.80908572916667,2389,7083,0,2400,-39.308929443359375,48,0.00036414,0.10000000149011612,50.0,0.00834693480283022
40.803564769230775,2589,7677,0,2600,-42.56513214111328,52,0.00033613999999999996,0.10000000149011612,50.0,0.008346837013959885
40.819671500000005,2789,8267,0,2800,-45.76211929321289,56,0.00030814000000000004,0.10000000149011612,50.0,0.01916290819644928
40.82543736666667,2989,8861,0,3000,-49.012210845947266,60,0.00028014,0.10000000149011612,50.0,0.011382060125470161
40.822994515625,3189,9463,0,3200,-52.239742279052734,64,0.00025214,0.10000000149011612,50.0,0.00829316210001707
40.80576811764706,3389,10070,0,3400,-55.4410514831543,68,0.00022414000000000003,0.10000000149011612,50.0,0.007085442543029785
40.79674145833334,3589,10666,0,3600,-58.65705490112305,72,0.00019614,0.10000000149011612,50.0,0.00661710649728775
40.81393157894736,3789,11258,0,3800,-61.8655891418457,76,0.00016813999999999997,0.10000000149011612,50.0,0.005184974987059832
40.815882912499994,3989,11858,0,4000,-65.07514190673828,80,0.00014014000000000002,0.10000000149011612,50.0,0.005655021406710148
40.80623971428571,4189,12462,0,4200,-68.28948974609375,84,0.00011214000000000001,0.10000000149011612,50.0,0.0054287659004330635
40.79648144318182,4389,13057,0,4400,-71.44898986816406,88,8.413999999999998e-05,0.10000000149011612,50.0,0.006081702187657356
40.80029829347826,4589,13651,0,4600,-74.60135650634766,92,5.6140000000000035e-05,0.10000000149011612,50.0,0.006069717928767204
40.80689285416667,4789,14246,0,4800,-77.74923706054688,96,2.814000000000001e-05,0.10000000149011612,50.0,0.009631883352994919
