train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps
0.10000000149011612,0.0006907133333333333,50.0,4,189,-3.3900489807128906,0.0021985149942338467,0,679,38.8499915,200
0.10000000149011612,0.00068138,50.0,8,389,-6.413796424865723,0.002041073050349951,0,1365,38.680896875,400
0.10000000149011612,0.0006720466666666667,50.0,12,589,-9.549370765686035,0.002413305453956127,0,2054,38.685688666666664,600
0.10000000149011612,0.0006627133333333333,50.0,16,789,-12.762805938720703,0.004620080813765526,0,2736,38.6946668125,800
0.10000000149011612,0.00065338,50.0,20,989,-15.866710662841797,0.005871283821761608,0,3422,38.69008655,1000
0.10000000149011612,0.0006440466666666666,50.0,24,1189,-19.167221069335938,0.004010926932096481,0,4111,38.690703750000004,1200
0.10000000149011612,0.0006347133333333333,50.0,28,1389,-22.245630264282227,0.008024847134947777,0,4796,38.705304000000005,1400
0.10000000149011612,0.0006253799999999999,50.0,32,1589,-25.455699920654297,0.004367152228951454,0,5480,38.7270215,1600
0.10000000149011612,0.0006160466666666666,50.0,36,1789,-28.60940933227539,0.00593087961897254,0,6171,38.74646283333333,1800
0.10000000149011612,0.0006067133333333333,50.0,40,1989,-31.85909080505371,0.006750340573489666,0,6862,38.74822405,2000
0.10000000149011612,0.00059738,50.0,44,2189,-34.98225402832031,0.007044726517051458,0,7571,38.7452301590909,2200
0.10000000149011612,0.0005880466666666666,50.0,48,2389,-38.04951477050781,0.008420595899224281,0,8288,38.732016520833334,2400
0.10000000149011612,0.0005787133333333333,50.0,52,2589,-41.20820999145508,0.008021906018257141,0,8995,38.727033038461535,2600
0.10000000149011612,0.00056938,50.0,56,2789,-44.377647399902344,0.007320670410990715,0,9686,38.72745483928572,2800
0.10000000149011612,0.0005600466666666667,50.0,60,2989,-47.42351531982422,0.006700702011585236,0,10394,38.726145900000006,3000
0.10000000149011612,0.0005507133333333333,50.0,64,3189,-50.44719696044922,0.00824018381536007,0,11094,38.72229115625,3200
0.10000000149011612,0.0005413799999999999,50.0,68,3389,-53.42056655883789,0.02101583033800125,0,11789,38.72022460294117,3400
0.10000000149011612,0.0005320466666666666,50.0,72,3589,-56.5642204284668,0.007492306642234325,0,12474,38.72167904166666,3600
0.10000000149011612,0.0005227133333333333,50.0,76,3789,-59.54820251464844,0.01219091471284628,0,13154,38.73377218421052,3800
0.10000000149011612,0.00051338,50.0,80,3989,-62.55068588256836,0.016239814460277557,0,13844,38.738614762500006,4000
0.10000000149011612,0.0005040466666666666,50.0,84,4189,-65.60176849365234,0.011143388226628304,0,14524,38.72842690476191,4200
0.10000000149011612,0.0004947133333333333,50.0,88,4389,-68.53229522705078,0.023984640836715698,0,15217,38.71876530681818,4400
0.10000000149011612,0.00048538,50.0,92,4589,-71.67860412597656,0.018662825226783752,0,15904,38.71915280434783,4600
0.10000000149011612,0.00047604666666666663,50.0,96,4789,-74.53468322753906,0.012539629824459553,0,16587,38.72469113541666,4800
0.10000000149011612,0.0004667133333333334,50.0,100,4989,-77.54381561279297,0.013626798056066036,0,17274,38.734455579999995,5000
0.10000000149011612,0.00045737999999999996,50.0,104,5189,-80.44507598876953,0.01742715761065483,0,17952,38.73596,5200
0.10000000149011612,0.00044804666666666665,50.0,108,5389,-83.41728973388672,0.015529627911746502,0,18637,38.74899469,5400
0.10000000149011612,0.00043871333333333335,50.0,112,5589,-86.29694366455078,0.022717788815498352,0,19326,38.753976599999994,5600
0.10000000149011612,0.00042937999999999993,50.0,116,5789,-89.13831329345703,0.018286481499671936,0,20009,38.76259767,5800
0.10000000149011612,0.00042004666666666673,50.0,120,5989,-92.02946472167969,0.0132725415751338,0,20691,38.76161443,6000
0.10000000149011612,0.0004107133333333333,50.0,124,6189,-94.93817138671875,0.013141119852662086,0,21378,38.76053105,6200
0.10000000149011612,0.00040138,50.0,128,6389,-97.6816635131836,0.025893932208418846,0,22057,38.75910974,6400
0.10000000149011612,0.0003920466666666667,50.0,132,6589,-100.53581237792969,0.022621355950832367,0,22735,38.75654444,6600
0.10000000149011612,0.0003827133333333333,50.0,136,6789,-103.38336181640625,0.014570401981472969,0,23418,38.74395689,6800
0.10000000149011612,0.00037338,50.0,140,6989,-106.232421875,0.012755039148032665,0,24097,38.74808272,7000
0.10000000149011612,0.00036404666666666667,50.0,144,7189,-109.07787322998047,0.014074108563363552,0,24779,38.754215450000004,7200
0.10000000149011612,0.00035471333333333326,50.0,148,7389,-111.90000915527344,0.0188751257956028,0,25461,38.761248609999996,7400
0.10000000149011612,0.00034537999999999995,50.0,152,7589,-114.70528411865234,0.017917942255735397,0,26144,38.76703399,7600
0.10000000149011612,0.00033604666666666664,50.0,156,7789,-117.3846664428711,0.015018682926893234,0,26822,38.77192102000001,7800
0.10000000149011612,0.00032671333333333333,50.0,160,7989,-120.19697570800781,0.015960194170475006,0,27514,38.775603229999994,8000
0.10000000149011612,0.00031738000000000003,50.0,164,8189,-122.92729949951172,0.013879340142011642,0,28196,38.78234544,8200
0.10000000149011612,0.0003080466666666667,50.0,168,8389,-125.70970153808594,0.01537468284368515,0,28875,38.7992183,8400
0.10000000149011612,0.0002987133333333333,50.0,172,8589,-128.38160705566406,0.014057123102247715,0,29557,38.82053214,8600
0.10000000149011612,0.00028938,50.0,176,8789,-131.0800323486328,0.016305193305015564,0,30250,38.82717433,8800
0.10000000149011612,0.0002800466666666667,50.0,180,8989,-133.80224609375,0.020964309573173523,0,30948,38.85102327,9000
