step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
11,2,1,0.50150466,"[4.3378218650817875, 5.7202198028564455]",[0.13878328 0.         0.         0.         0.01937984],[0.00401445 0.         0.00147929 0.00137741 0.        ],[0.         0.         0.00063939 0.         0.        ],"[0.13599014282226562, 0.0301361083984375, 0.0294647216796875, 0.0440521240234375, 0.0461578369140625]","[0.14400100708007812, 0.03814697265625, 0.0374755859375, 0.05206298828125, 0.054168701171875]","[0.04265277832746506, 0.04128333181142807, 0.04082222282886505, 0.038911111652851105, 0.03845185041427612]",[0.02693279 0.03010767 0.02923573 0.02842478 0.02820693],0.05177691,0.03089565,"[8.048794364929199, 6.28892707824707, 9.344893836975098, 8.606543922424317, 9.270226860046387]","[8.303700637817382, 6.138975143432617, 9.193668174743653, 8.946281242370606, 8.978584480285644]",0.8439404131977523,0.2205416296045128,0.1696571456653446,0.21045922126919564,0.06385984074314129,0.08719066770833334,0.043606138107416884,0.04862577009980778
12,2,1,-0.6091508,"[5.793766975402832, 7.125851821899414]",[0. 0. 0. 0. 0.],[0.         0.00462963 0.         0.         0.00396825],[0.         0.         0.         0.         0.00746269],"[0.116607666015625, 0.116607666015625, 0.028533935546875, 0.028533935546875, 0.028533935546875]","[0.1246185302734375, 0.1246185302734375, 0.0365447998046875, 0.0365447998046875, 0.0365447998046875]","[0.047377776354551315, 0.047377776354551315, 0.03233333304524422, 0.03233333304524422, 0.03233333304524422]",[0.02760909 0.02714691 0.02696999 0.02685277 0.02671967],0.053586632,0.032638337,"[7.974423789978028, 6.928569412231446, 3.2831844329833983, 2.8623960494995115, 3.0554143905639646]","[8.348396682739258, 6.728289222717286, 3.211280059814453, 2.7751249790191648, 3.116262054443359]",0.7532822610866495,0.1457309880928606,0.1843029281855878,0.25,0.06133333333333333,0.06363458819444444,0.0,0.048280423280423285
13,2,1,0.6446898,"[7.185880088806153, 1.7336990356445314]",[0.         0.         0.02986279 0.20134228 0.        ],[0.         0.         0.00249584 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0423583984375, 0.0423583984375, 0.1168975830078125, 0.0209197998046875, 0.0209197998046875]","[0.0503692626953125, 0.0503692626953125, 0.124908447265625, 0.0289306640625, 0.0289306640625]","[0.027566665783524513, 0.027566665783524513, 0.043877776712179184, 0.032733332365751266, 0.032733332365751266]",[0.02659181 0.02656476 0.02668606 0.02745515 0.02731068],0.053666096,0.032716077,"[2.9665610313415525, 2.4689330101013183, 2.916172122955322, 3.5718710899353026, 6.790253257751465]","[3.2600831031799316, 2.27526593208313, 3.0012128829956053, 3.583193016052246, 6.597804260253906]",0.7608952512686342,0.11723710164252883,0.2,0.1921987313865371,0.06318816615392393,0.08877042013888889,0.05,0.04950083194675541
14,2,1,0.6711278,"[1.7652030467987059, 2.036310005187988]",[0.         0.         0.         0.07419354 0.        ],[0.        0.0010352 0.0068254 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0209197998046875, 0.0117950439453125, 0.0117950439453125, 0.0312957763671875, 0.0312957763671875]","[0.0289306640625, 0.019805908203125, 0.019805908203125, 0.039306640625, 0.039306640625]","[0.032733332365751266, 0.037522222846746445, 0.037522222846746445, 0.032766666263341904, 0.032766666263341904]",[0.02695937 0.02640604 0.02609437 0.02694901 0.02662529],0.052219246,0.032355033,"[5.760144233703613, 8.588017082214355, 7.673748016357422, 10.0, 9.151955604553223]","[5.402373886108399, 8.79897403717041, 7.989352035522461, 10.0, 8.727281379699708]",0.8690175848096908,0.21910955957458542,0.2,0.2314516129032258,0.06682035429832187,0.053208176736111105,0.05,0.04842788129744652
15,3,1,-0.40353155,"[2.0612219333648683, 2.4877699851989745]",[0.00292398 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02289327047765255, 0.0186920166015625, 0.0790252685546875, 0.0790252685546875, 0.0510711669921875]","[0.03090413473546505, 0.026702880859375, 0.0870361328125, 0.0870361328125, 0.05908203125]","[0.03141111135482788, 0.03073333390057087, 0.035599999129772186, 0.035599999129772186, 0.031155556440353394]",[0.02604889 0.02582815 0.02564922 0.02549759 0.02533225],0.05239283,0.032085214,"[8.629882431030273, 6.901175689697266, 4.511513996124267, 4.540974521636963, 5.103411865234375]","[8.10811309814453, 5.893774604797364, 4.663169097900391, 4.465927028656006, 4.371829414367676]",0.8339120699837073,0.17217494607782013,0.16839917326626713,0.24926900584795322,0.06799999999999999,0.07606894479166666,0.05,0.05
16,3,1,-0.6953637,"[2.514332008361816, 3.645213985443115]",[0. 0. 0. 0. 0.],[0.         0.         0.00260417 0.         0.        ],[0. 0. 0. 0. 0.],"[0.06015624850988388, 0.0658416748046875, 0.060153961181640625, 0.054607391357421875, 0.021427154541015625]","[0.06816711276769638, 0.0738525390625, 0.06816482543945312, 0.06261825561523438, 0.029438018798828125]","[0.03681333363056183, 0.04243333265185356, 0.0375249981880188, 0.029155556112527847, 0.024361111223697662]",[0.02500152 0.02472472 0.02437201 0.02417293 0.02399708],0.053129833,0.031188913,"[3.4848459243774412, 4.490151882171631, 5.266204071044922, 2.5370197772979735, 2.644884490966797]","[3.228483390808105, 3.981720638275146, 5.029612064361572, 2.6048334598541256, 2.607415962219238]",0.7996434074284554,0.11560416184940646,0.19404495239257813,0.25,0.0639814862420264,0.07653364027777779,0.05,0.04947916666666667
17,3,1,-0.2484529,"[3.680450057983398, 4.447908020019532]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.013132731430232525, 0.017852783203125, 0.017852783203125, 0.017852783203125, 0.029266357421875]","[0.02114359475672245, 0.0258636474609375, 0.0258636474609375, 0.0258636474609375, 0.0372772216796875]","[0.02324814721941948, 0.02272222191095352, 0.02272222191095352, 0.02272222191095352, 0.024022221565246582]",[0.02382968 0.02365885 0.02349722 0.02338499 0.02324755],0.051969428,0.0309985,"[1.963779354095459, 4.912359046936035, 5.797213363647461, 4.513532447814941, 5.710563278198243]","[1.9733373165130614, 4.853656578063965, 5.757567024230958, 4.599642372131348, 4.964248561859131]",0.8659460151978382,0.13962910808894696,0.2,0.25,0.07631690710889119,0.1,0.05,0.05
18,3,1,0.4598186,"[4.4929780006408695, 4.611759090423584]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02999369241297245, 0.0406646728515625, 0.04120635986328125, 0.041748046875, 0.041748046875]","[0.0380045585334301, 0.048675537109375, 0.04921722412109375, 0.0497589111328125, 0.0497589111328125]","[0.02298888936638832, 0.024522222578525543, 0.02791111171245575, 0.031300000846385956, 0.031300000846385956]",[0.02301595 0.02279147 0.02258548 0.0223935  0.02221899],0.05171801,0.03033368,"[3.822266387939453, 6.0742902755737305, 6.703914451599121, 7.470150756835937, 6.052496719360351]","[3.8483786582946777, 6.132322692871094, 6.321252059936524, 7.288006019592285, 5.858682441711426]",0.862321976560146,0.17412768084569516,0.18243681565588118,0.25,0.07081096096134716,0.08494651909722223,0.05,0.05
19,3,1,-0.5554779,"[4.616082096099854, 5.600152969360352]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00364964],[0. 0. 0. 0. 0.],"[0.078948974609375, 0.0802459716796875, 0.069671630859375, 0.069671630859375, 0.07530975341796875]","[0.0869598388671875, 0.0882568359375, 0.0776824951171875, 0.0776824951171875, 0.08332061767578125]","[0.030255556106567383, 0.042988888919353485, 0.029999999329447746, 0.029999999329447746, 0.02759999968111515]",[0.02199491 0.02177816 0.02164549 0.02156329 0.02148462],0.053108577,0.030388504,"[5.783404350280762, 5.92059383392334, 4.451716613769531, 3.252554607391357, 3.1312744140624997]","[5.859785079956055, 5.498190116882324, 4.51542444229126, 3.3811141014099118, 2.9885740280151367]",0.7844019500945371,0.13779004796100128,0.14946663134025806,0.25,0.0636743127311326,0.08420088506944445,0.05,0.04927007299270073
20,4,1,0.17028594,"[5.64732780456543, 6.75906925201416]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0809478759765625, 0.0738372802734375, 0.0667266845703125, 0.07672119140625, 0.0867156982421875]","[0.088958740234375, 0.08184814453125, 0.074737548828125, 0.0847320556640625, 0.0947265625]","[0.025200000032782555, 0.027677778154611588, 0.03015555627644062, 0.031300000846385956, 0.03244444355368614]",[0.02134588 0.02119747 0.02105772 0.0208891  0.02068617],0.054227594,0.030465284,"[3.432448577880859, 6.084787368774414, 6.567507743835449, 7.777860069274903, 9.230246925354004]","[3.241196060180664, 5.740353393554687, 6.341537284851074, 7.883740234375, 9.102717399597168]",0.867477146654602,0.1870328045894549,0.1823933383874726,0.25,0.07003705992767437,0.07801394375000002,0.05,0.05
21,4,1,0.24521339,"[6.8438659667968755, 9.554899787902832]",[0.         0.         0.03048781 0.         0.        ],[0.         0.00215517 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0983428955078125, 0.0209197998046875, 0.019504547119140625, 0.0152587890625, 0.015869140625]","[0.106353759765625, 0.0289306640625, 0.027515411376953125, 0.0232696533203125, 0.0238800048828125]","[0.03042222186923027, 0.03354444354772568, 0.03474722057580948, 0.03835555538535118, 0.03539999946951866]",[0.02037331 0.02014221 0.02016848 0.02070173 0.0204634 ],0.05352231,0.03074034,"[3.967216396331787, 5.995054244995117, 6.3911634445190435, 7.116980934143067, 7.0606691360473635]","[3.91220006942749, 6.522870635986329, 6.1337841033935545, 6.84084529876709, 6.487281799316406]",0.8842092792082243,0.1759404807513354,0.2,0.2423780487804878,0.06632178415915978,0.1,0.05,0.04956896551724138
22,4,1,-0.8396342,"[9.629459762573243, 10.0]",[0.         0.03921569 0.         0.         0.        ],[0.         0.00549451 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.016876220703125, 0.0084381103515625, 0.0, 0.0, 0.0]","[0.0241851806640625, 0.0157470703125, 0.0073089599609375, 0.0073089599609375, 0.0073089599609375]","[0.0339222215116024, 0.03546111285686493, 0.03700000047683716, 0.03700000047683716, 0.03700000047683716]",[0.02022504 0.02018525 0.02019356 0.02014859 0.02012041],0.052211788,0.031128604,"[7.109740829467774, 2.8173818588256836, 1.7858705043792726, 1.8810169696807861, 1.5046609878540038]","[7.450676345825196, 2.7624895572662354, 1.5841090202331545, 1.88519606590271, 1.5310874700546266]",0.7702114530422026,0.09612848801420777,0.2,0.24019607843137256,0.06713664654969004,0.06784914114583333,0.05,0.0489010989010989
23,4,1,0.20863044,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0080108642578125, 0.0080108642578125, 0.0080108642578125, 0.0080108642578125, 0.0470733642578125]","[0.01531982421875, 0.01531982421875, 0.01531982421875, 0.01531982421875, 0.05438232421875]","[0.03297777846455574, 0.03297777846455574, 0.03297777846455574, 0.03297777846455574, 0.02751111052930355]",[0.02006469 0.0200383  0.02001816 0.01994801 0.01988331],0.05164213,0.031173347,"[1.4285044908523559, 1.7594579696655273, 1.9308419704437254, 3.2268119812011715, 7.378786277770996]","[1.3692700147628782, 1.628778028488159, 1.96395001411438, 3.288806056976318, 7.485935020446777]",0.8195951804031539,0.09991202573889271,0.2,0.25,0.06968315466426114,0.1,0.05,0.05
24,4,1,-0.48691332,"[10.0, 10.0]",[0.10047847 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0382537841796875, 0.05267333984375, 0.05267333984375, 0.05267333984375, 0.05267333984375]","[0.045562744140625, 0.0599822998046875, 0.0599822998046875, 0.0599822998046875, 0.0599822998046875]","[0.028122222051024437, 0.028477778658270836, 0.028477778658270836, 0.028477778658270836, 0.028477778658270836]",[0.02021876 0.02052256 0.02049262 0.02046278 0.02041817],0.051707167,0.03092319,"[7.054323959350586, 5.459269905090332, 4.361522006988525, 3.39809513092041, 3.072290992736816]","[7.459803581237793, 4.884377098083497, 4.485018062591553, 3.325987911224365, 3.0786190032958984]",0.7870673079251569,0.14191248842043877,0.16333832536006998,0.22488038277511962,0.07281340199452842,0.084122709375,0.05,0.05
25,5,1,-0.29891157,"[10.0, 3.6372468948364256]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0340576171875, 0.04001617431640625, 0.033294677734375, 0.0206146240234375, 0.02407073974609375]","[0.0413665771484375, 0.04732513427734375, 0.0406036376953125, 0.027923583984375, 0.03137969970703125]","[0.031922221183776855, 0.03139444440603256, 0.02607777714729309, 0.021288888528943062, 0.02135000005364418]",[0.0203533  0.02028297 0.0202044  0.02013328 0.02005622],0.051290877,0.030596754,"[2.8840465545654297, 4.825640869140625, 3.968167972564697, 4.3471911430358885, 4.167877101898194]","[2.915287494659424, 4.632997608184815, 3.7425411224365233, 4.343648052215576, 4.032331562042236]",0.8457726318825252,0.12538494163520875,0.2,0.25,0.07038769024731627,0.1,0.05,0.05
26,5,1,-0.93408716,"[3.671557998657226, 4.87865104675293]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.07244873046875, 0.0710906982421875, 0.072357177734375, 0.066680908203125, 0.049652099609375]","[0.0797576904296875, 0.078399658203125, 0.0796661376953125, 0.0739898681640625, 0.0569610595703125]","[0.02491111122071743, 0.03166666626930237, 0.03629999980330467, 0.03499722108244896, 0.03108888864517212]",[0.01983609 0.01970646 0.01958561 0.01952364 0.01949404],0.05254048,0.030300912,"[3.9110187530517577, 3.6351414680480953, 3.3846374511718746, 1.1158107757568358, 0.8343656539916993]","[4.094209480285644, 3.544370365142822, 3.416339588165283, 1.113466739654541, 0.8420726776123046]",0.7379280328300346,0.08223816728319328,0.15335764280507264,0.25,0.06756545051954631,0.08476677222222223,0.05,0.05
27,5,1,0.7959074,"[4.9246728897094725, 5.881009864807129]",[0.       0.       0.       0.       0.003125],[0.         0.         0.         0.00198413 0.        ],[0. 0. 0. 0. 0.],"[0.049652099609375, 0.049652099609375, 0.049652099609375, 0.049652099609375, 0.0472564697265625]","[0.0569610595703125, 0.0569610595703125, 0.0569610595703125, 0.0569610595703125, 0.0545654296875]","[0.026799999177455902, 0.026799999177455902, 0.026799999177455902, 0.026799999177455902, 0.023622222244739532]",[0.01946556 0.01940192 0.01928626 0.01913313 0.01899893],0.052648466,0.029890293,"[0.7865054965019227, 4.200349140167236, 8.143082237243652, 9.376739883422852, 9.413078880310058]","[0.7997350096702576, 4.199847030639648, 7.9960943222045895, 9.14083423614502, 9.445981216430663]",0.8652491983154911,0.1820143642837255,0.2,0.24921875,0.07407703720636856,0.06033587222222223,0.05,0.04960317460317461
28,5,1,0.70662713,"[5.960292816162109, 6.816194152832032]",[0.         0.01142857 0.         0.         0.        ],[0.         0.00138313 0.         0.         0.00218341],[0. 0. 0. 0. 0.],"[0.0569000244140625, 0.0520477294921875, 0.047210693359375, 0.0779876708984375, 0.0779876708984375]","[0.064208984375, 0.059356689453125, 0.0545196533203125, 0.085296630859375, 0.085296630859375]","[0.02594074048101902, 0.030655555427074432, 0.03243333473801613, 0.02841111086308956, 0.02841111086308956]",[0.01872162 0.01858021 0.01844233 0.01829716 0.01815292],0.053150166,0.029634975,"[10.0, 8.685341072082519, 8.597023582458496, 9.550897216796875, 8.633670997619628]","[10.0, 8.853785514831543, 8.630914688110352, 9.473730278015136, 9.050107192993163]",0.9013159655298351,0.23461178414494505,0.17845344037529012,0.24714285714285714,0.0700444774151187,0.0717767128472222,0.05,0.04928669360440185
29,5,1,-0.33469772,"[6.894805908203125, 8.187600898742675]",[0.         0.         0.         0.         0.25555557],[0.00361011 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0298919677734375, 0.0298919677734375, 0.0298919677734375, 0.0298919677734375, 0.0291900634765625]","[0.037200927734375, 0.037200927734375, 0.037200927734375, 0.037200927734375, 0.0364990234375]","[0.030344445258378983, 0.030344445258378983, 0.030344445258378983, 0.030344445258378983, 0.024522222578525543]",[0.01846294 0.01837151 0.01830479 0.01824066 0.01925615],0.052734416,0.029360807,"[9.943061637878419, 7.75040340423584, 5.1081774711608885, 4.357016468048096, 3.6285940170288082]","[9.910338973999023, 8.013441276550292, 5.218869018554687, 4.265594482421875, 4.043208885192871]",0.8033517228185697,0.17707209125633228,0.2,0.18611111111111112,0.07147320947288711,0.06941733263888887,0.05,0.04927797833935019
30,6,1,-0.5581601,"[8.290958213806151, 9.926186752319335]",[0. 0. 0. 0. 0.],[0.         0.         0.00943396 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0291900634765625, 0.0635528564453125, 0.02093505859375, 0.02093505859375, 0.048919677734375]","[0.0364990234375, 0.07086181640625, 0.0282440185546875, 0.0282440185546875, 0.0562286376953125]","[0.024522222578525543, 0.022022223100066185, 0.029100000858306885, 0.029100000858306885, 0.028833333402872086]",[0.01912905 0.01906632 0.01901766 0.01897026 0.01891932],0.052474555,0.02911857,"[4.225264358520508, 3.9096380233764645, 3.5325769424438476, 2.9080611228942868, 2.832324123382568]","[4.281279468536377, 3.942873954772949, 3.264731121063232, 2.970631408691406, 2.7480104923248287]",0.7996893014865325,0.10981580083964736,0.1972745694107746,0.25,0.0723594500778295,0.07212627361111112,0.05,0.048113207547169815
31,6,1,0.18722904,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.10046996921300888, 0.0738372802734375, 0.1027679443359375, 0.0753021240234375, 0.0790557861328125]","[0.10777892917394638, 0.081146240234375, 0.110076904296875, 0.082611083984375, 0.08636474609375]","[0.030273333191871643, 0.028960000723600388, 0.02962888963520527, 0.031238889321684837, 0.02712777815759182]",[0.018767   0.01865027 0.01853931 0.01839149 0.0182154 ],0.054764338,0.030252548,"[2.7677169322967528, 3.316286182403564, 2.953430938720703, 6.608879852294922, 6.834578514099121]","[2.752182865142822, 3.175759887695312, 2.9312803268432615, 6.783435440063477, 6.827302932739258]",0.7787757357270179,0.1374873805743672,0.13100430015147158,0.25,0.07085286368173443,0.08943119131944444,0.05,0.05
