time/episodes,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean
4,612,50.0,-1.3957829475402832,0,200,-3.7842066287994385,0.08831135928630829,0.003701154375448823,189,0.00067214,42.90057475
8,1217,50.0,-1.965402364730835,0,400,-3.7823336124420166,0.07772088795900345,0.0022764760069549084,389,0.00064414,43.4203895
12,1825,50.0,-2.689080238342285,0,600,-4.023504734039307,0.06867056339979172,0.002699723467230797,589,0.0006161399999999999,43.66728258333333
16,2433,50.0,-3.4092886447906494,0,800,-3.8629722595214844,0.0610429011285305,0.0019605953712016344,789,0.00058814,43.713818
20,3038,50.0,-4.154550075531006,0,1000,-3.865898609161377,0.05473162978887558,0.0018396970117464662,989,0.00056014,43.74135095000001
24,3650,50.0,-5.013288974761963,0,1200,-4.057242393493652,0.04944257065653801,0.0023053993936628103,1189,0.00053214,43.83577629166667
28,4257,50.0,-5.7488861083984375,0,1400,-4.14548921585083,0.04499473050236702,0.0032938560470938683,1389,0.0005041399999999999,43.899504714285705
32,4864,50.0,-6.5452880859375,0,1600,-4.376981258392334,0.04118246212601662,0.0025470703840255737,1589,0.00047614,43.9864840625
36,5469,50.0,-7.338836669921875,0,1800,-3.895311117172241,0.0379062220454216,0.0016187266446650028,1789,0.00044814,44.08559633333333
40,6075,50.0,-8.140253067016602,0,2000,-3.5084829330444336,0.03508484363555908,0.0023659616708755493,1989,0.00042014000000000005,44.152700374999995
44,6689,50.0,-8.913427352905273,0,2200,-3.222634792327881,0.03267540782690048,0.0031873842235654593,2189,0.00039214,44.19536195454544
48,7294,50.0,-9.690214157104492,0,2400,-3.774286985397339,0.03060954064130783,0.0023434553295373917,2389,0.00036414,44.23781245833334
52,7901,50.0,-10.503451347351074,0,2600,-3.1302642822265625,0.028826948255300522,0.0016617524670436978,2589,0.00033613999999999996,44.289152442307696
56,8509,50.0,-11.239569664001465,0,2800,-3.5983307361602783,0.027253160253167152,0.002140854485332966,2789,0.00030814000000000004,44.33233210714286
60,9117,50.0,-11.976106643676758,0,3000,-3.748886823654175,0.02586032636463642,0.0019115747418254614,2989,0.00028014,44.38224233333333
64,9730,50.0,-12.716392517089844,0,3200,-3.20808744430542,0.02467317320406437,0.002118125092238188,3189,0.00025214,44.409994109375006
68,10333,50.0,-13.478682518005371,0,3400,-3.6508240699768066,0.023673225194215775,0.002412227913737297,3389,0.00022414000000000003,44.44478452941177
72,10945,50.0,-14.225940704345703,0,3600,-3.5529708862304688,0.02281740866601467,0.001424942398443818,3589,0.00019614,44.467987416666666
76,11548,50.0,-14.963980674743652,0,3800,-3.7620723247528076,0.022087253630161285,0.0018154557328671217,3789,0.00016813999999999997,44.50702409210527
80,12157,50.0,-15.706332206726074,0,4000,-3.4460129737854004,0.02149583213031292,0.0018900800496339798,3989,0.00014014000000000002,44.5206006375
84,12764,50.0,-16.406700134277344,0,4200,-2.966686248779297,0.021035047248005867,0.0020395333413034678,4189,0.00011214000000000001,44.54780408333333
88,13371,50.0,-17.142745971679688,0,4400,-3.1593565940856934,0.020686401054263115,0.0016390387900173664,4389,8.413999999999998e-05,44.56708892045455
92,13983,50.0,-17.846271514892578,0,4600,-2.8510916233062744,0.020440543070435524,0.0023317402228713036,4589,5.6140000000000035e-05,44.57282408695652
96,14587,50.0,-18.55862045288086,0,4800,-2.619506597518921,0.02029331959784031,0.0023753507994115353,4789,2.814000000000001e-05,44.583634197916666
