train/actor_loss,train/ent_coef,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean
-1.2097077369689941,0.09464570879936218,0,0.008741391822695732,200,39.95186725000001,673,-3.709524631500244,0.0003,4,189,50.0
-1.755150556564331,0.0892936959862709,0,0.005661298055201769,400,40.075433125,1331,-3.8133633136749268,0.0003,8,389,50.0
-2.416466474533081,0.08402347564697266,0,0.005826384294778109,600,40.126901833333335,1997,-3.9981491565704346,0.0003,12,589,50.0
-3.088754177093506,0.07904135435819626,0,0.004587826319038868,800,40.15965475,2668,-4.103011131286621,0.0003,16,789,50.0
-3.828380823135376,0.07439073175191879,0,0.004949011839926243,1000,40.2183214,3339,-4.134327411651611,0.0003,20,989,50.0
-4.579215049743652,0.07005863636732101,0,0.005365950055420399,1200,40.261937208333336,4000,-4.303016185760498,0.0003,24,1189,50.0
-5.360298156738281,0.06602025777101517,0,0.004500921815633774,1400,40.27280214285714,4663,-4.4231133460998535,0.0003,28,1389,50.0
-6.079619407653809,0.06224029138684273,0,0.006145134102553129,1600,40.340433812499995,5324,-4.4264726638793945,0.0003,32,1589,50.0
-6.803333759307861,0.058698493987321854,0,0.0055037373676896095,1800,40.35532108333332,5981,-4.416184425354004,0.0003,36,1789,50.0
-7.561615943908691,0.05539229139685631,0,0.005673077888786793,2000,40.420407725000004,6639,-4.165469169616699,0.0003,40,1989,50.0
-8.296279907226562,0.05227600038051605,0,0.006566171534359455,2200,40.45930088636364,7299,-4.134582996368408,0.0003,44,2189,50.0
-8.99375057220459,0.04935053363442421,0,0.003868971485644579,2400,40.49636195833333,7950,-4.65780782699585,0.0003,48,2389,50.0
-9.717281341552734,0.04658446088433266,0,0.0034855124540627003,2600,40.530288923076924,8602,-4.334425926208496,0.0003,52,2589,50.0
-10.441363334655762,0.043988291174173355,0,0.004072915762662888,2800,40.57920308928571,9260,-4.323868751525879,0.0003,56,2789,50.0
-11.08173942565918,0.041543297469615936,0,0.0038723289035260677,3000,40.6117406,9908,-4.724236965179443,0.0003,60,2989,50.0
-11.848676681518555,0.0392446331679821,0,0.003668410237878561,3200,40.63692403125,10568,-4.444129467010498,0.0003,64,3189,50.0
-12.467833518981934,0.03706980124115944,0,0.00464982632547617,3400,40.679370838235286,11213,-4.647568225860596,0.0003,68,3389,50.0
-13.207488059997559,0.03501869738101959,0,0.003763850312680006,3600,40.711087569444445,11858,-4.768770694732666,0.0003,72,3589,50.0
-13.851662635803223,0.033080726861953735,0,0.0049825068563222885,3800,40.73263222368422,12507,-4.737415313720703,0.0003,76,3789,50.0
-14.524680137634277,0.03125845640897751,0,0.00469809677451849,4000,40.74127525,13168,-4.892277717590332,0.0003,80,3989,50.0
-15.242243766784668,0.029528850689530373,0,0.005784333683550358,4200,40.738466833333334,13822,-4.529248237609863,0.0003,84,4189,50.0
-15.883021354675293,0.02790636196732521,0,0.004134761169552803,4400,40.764157136363636,14468,-4.715728282928467,0.0003,88,4389,50.0
-16.526386260986328,0.026373984292149544,0,0.0054671019315719604,4600,40.774747869565225,15107,-4.317639350891113,0.0003,92,4589,50.0
-17.22964096069336,0.02493223175406456,0,0.004520264454185963,4800,40.797331500000006,15758,-4.403242588043213,0.0003,96,4789,50.0
