rollout/ep_len_mean,train/actor_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/total_timesteps,train/n_updates
50.0,-2.9077277183532715,4,0,671,0.10000000149011612,36.8196235,0.0042044622823596,0.00067214,200,189
50.0,-5.838531017303467,8,0,1336,0.10000000149011612,36.990257875,0.004376662895083427,0.00064414,400,389
50.0,-8.913873672485352,12,0,1995,0.10000000149011612,37.09195258333333,0.0037734410725533962,0.0006161399999999999,600,589
50.0,-11.972478866577148,16,0,2651,0.10000000149011612,37.20113725,0.014352475292980671,0.00058814,800,789
50.0,-15.084784507751465,20,0,3322,0.10000000149011612,37.19727465,0.0041844905354082584,0.00056014,1000,989
50.0,-18.17782211303711,24,0,3984,0.10000000149011612,37.24369358333333,0.003840083722025156,0.00053214,1200,1189
50.0,-21.287851333618164,28,0,4668,0.10000000149011612,37.25113853571429,0.004637470934540033,0.0005041399999999999,1400,1389
50.0,-24.390384674072266,32,0,5329,0.10000000149011612,37.29632978125,0.003663291223347187,0.00047614,1600,1589
50.0,-27.48210334777832,36,0,5986,0.10000000149011612,37.32182477777778,0.01226060464978218,0.00044814,1800,1789
50.0,-30.51486587524414,40,0,6658,0.10000000149011612,37.30660305,0.005306730046868324,0.00042014000000000005,2000,1989
50.0,-33.57103729248047,44,0,7322,0.10000000149011612,37.322036340909094,0.0046334294602274895,0.00039214,2200,2189
50.0,-36.649051666259766,48,0,7983,0.10000000149011612,37.3546278125,0.007642786949872971,0.00036414,2400,2389
50.0,-39.66284942626953,52,0,8647,0.10000000149011612,37.34794746153846,0.006235937587916851,0.00033613999999999996,2600,2589
50.0,-42.74641418457031,56,0,9305,0.10000000149011612,37.36395953571428,0.005571257323026657,0.00030814000000000004,2800,2789
50.0,-45.726837158203125,60,0,9967,0.10000000149011612,37.36823073333332,0.008178179152309895,0.00028014,3000,2989
50.0,-48.753936767578125,64,0,10623,0.10000000149011612,37.3804514375,0.006786745972931385,0.00025214,3200,3189
50.0,-51.78139114379883,68,0,11283,0.10000000149011612,37.3961841617647,0.006382162217050791,0.00022414000000000003,3400,3389
50.0,-54.763946533203125,72,0,11948,0.10000000149011612,37.39015708333333,0.007000855170190334,0.00019614,3600,3589
50.0,-57.74937057495117,76,0,12611,0.10000000149011612,37.40328768421053,0.005174707155674696,0.00016813999999999997,3800,3789
50.0,-60.73215866088867,80,0,13276,0.10000000149011612,37.407200950000004,0.004924366716295481,0.00014014000000000002,4000,3989
50.0,-63.72014617919922,84,0,13937,0.10000000149011612,37.40634016666667,0.007258565165102482,0.00011214000000000001,4200,4189
50.0,-66.68749237060547,88,0,14628,0.10000000149011612,37.40561702272728,0.007043415680527687,8.413999999999998e-05,4400,4389
50.0,-69.5826187133789,92,0,15280,0.10000000149011612,37.40838989130435,0.006210884544998407,5.6140000000000035e-05,4600,4589
50.0,-72.49703979492188,96,0,15938,0.10000000149011612,37.41504589583334,0.010723890736699104,2.814000000000001e-05,4800,4789
