time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/std,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
104,50.0,11050,0.3475741744041443,41.65725508999999,0,220,,,,,,
845,50.0,11250,0.3467414975166321,41.67957821,0,224,0.11069195199524984,-40.302778005599976,0.0007,1.6543088697362691,0.01753246787120588,11072
1695,50.0,11450,0.3466426730155945,41.285689819999995,0,228,0.3076644834363833,-41.20552670955658,0.0007,2.966754533466883,0.019856545724906027,11328
2392,50.0,11650,0.3464607894420624,41.178073420000004,0,232,0.27909185946919024,-41.07874250411987,0.0007,2.3054669436533004,0.021080534119391814,11520
3105,50.0,11850,0.34622055292129517,41.08857894,0,236,0.2827130772639066,-40.80342036485672,0.0007,3.2782335534284357,0.022823138046078384,11712
3817,50.0,12050,0.34634172916412354,40.86622997,0,240,0.3280716328881681,-40.366224467754364,0.0007,2.348929241299629,0.024084996053716168,11904
4543,50.0,12250,0.3461194336414337,40.63763345,0,244,0.403267873916775,-39.76367151737213,0.0007,1.554033485474065,0.024901633092667907,12096
5301,50.0,12450,0.3458976745605469,40.38188598,0,248,0.36022053146734834,-39.23464775085449,0.0007,0.824727363884449,0.025985834567109123,12288
6068,50.0,12650,0.346008837223053,40.20232929,0,252,0.36963747860863805,-38.80182594060898,0.0007,1.2769789129961282,0.026975254440912977,12480
6803,50.0,12850,0.34588849544525146,40.34470652,0,256,0.35950025636702776,-38.53615963459015,0.0007,0.3001481522805989,0.027329948876285926,12672
7633,50.0,13050,0.3451117277145386,40.22249325999999,0,260,0.252081501763314,-38.83993548154831,0.0007,-0.5432081217877567,0.02691423211945221,12928
8360,50.0,13250,0.34466540813446045,40.41736583,0,264,0.16431468178052455,-38.99387568235397,0.0007,-0.38736819033510983,0.026564685365883633,13120
9221,50.0,13450,0.3444174528121948,40.54255164,0,268,0.1721689059631899,-39.06098002195358,0.0007,-0.880914933164604,0.026065223588375375,13312
9952,50.0,13650,0.3443138897418976,40.36988845,0,272,0.17953677917830646,-39.07884615659714,0.0007,-0.4167271095793694,0.025749029795406386,13504
10695,50.0,13850,0.34406447410583496,40.33723577,0,276,0.20561342197470367,-39.14475607872009,0.0007,-0.6887643537193071,0.025277419976191595,13696
11448,50.0,14050,0.3439677357673645,40.2572875,0,280,0.2349231120897457,-39.20642817020416,0.0007,-0.5516480213264003,0.024826875393046066,13888
12147,50.0,14250,0.3437117040157318,40.22283724,0,284,0.23984024208039045,-39.14067155122757,0.0007,-0.6343670299393125,0.024238980346126482,14080
12881,50.0,14450,0.34360450506210327,40.17745387,0,288,0.23080523835960776,-39.14361506700516,0.0007,-0.39529255518573336,0.02381115371827036,14272
13724,50.0,14650,0.34340745210647583,40.29083779,0,292,0.23582357203122228,-39.16433537006378,0.0007,-1.0952404561685398,0.02310592934372835,14528
14470,50.0,14850,0.34330856800079346,40.242498090000005,0,296,0.29720806842669845,-39.194164633750916,0.0007,-0.6198928455414716,0.022480244108010083,14720
