train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/std,rollout/ep_rew_mean,time/episodes,train/n_updates
-0.10801767202792689,50.0,0.9346792828291655,0.1556445032474585,-3.2431185264140368,0,0.0007,656,200,0.36760205030441284,35.74471375,4,128
-0.3327727762516588,50.0,0.8165149036794901,0.17422555852681398,-7.1396729201078415,0,0.0007,1376,400,0.36762872338294983,36.371416124999996,8,320
-0.5580159230157733,50.0,0.7130034482106566,0.211265865014866,-10.790820568799973,0,0.0007,2102,600,0.3674410879611969,36.523028833333335,12,512
-0.7926330219779629,50.0,0.6230857064947486,0.37964440789073706,-14.065207675099373,0,0.0007,2862,800,0.36720988154411316,35.9612788125,16,704
-1.0015282714739442,50.0,0.544327987357974,0.2939619105309248,-16.818478852510452,0,0.0007,3696,1000,0.36725616455078125,35.414328749999996,20,896
-1.2338803966995329,50.0,0.47516791243106127,0.3382716034539044,-19.288572877645493,0,0.0007,4516,1200,0.3670898675918579,35.37828470833333,24,1088
-1.4472547266632318,50.0,0.41674634348601103,0.2505985526368022,-21.323279201984406,0,0.0007,5303,1400,0.3668152093887329,35.79051657142857,28,1280
-1.634009175002575,50.0,0.365228904876858,0.29866060917265713,-22.965242385864258,0,0.0007,6086,1600,0.36668580770492554,35.868248593749996,32,1472
-1.968425253406167,50.0,0.30668207071721554,0.28490532003343105,-24.868934631347656,0,0.0007,6995,1800,0.3666173219680786,35.69567280555555,36,1728
-2.0938293006038293,50.0,0.2692812057211995,0.3553203451447189,-26.0302072763443,0,0.0007,7766,2000,0.366210013628006,35.91505325,40,1920
-2.3277636086568236,50.0,0.23681443184614182,0.6613389598205686,-26.865664660930634,0,0.0007,8515,2200,0.366000771522522,35.780809795454545,44,2112
-2.359709119424224,50.0,0.20852114795707166,0.2771166586317122,-27.565313518047333,0,0.0007,9307,2400,0.36579185724258423,35.43256552083333,48,2304
-2.3841685354709625,50.0,0.1843639111611992,0.29346540733240545,-28.174137353897095,0,0.0007,10084,2600,0.3653651475906372,35.45511619230769,52,2496
-2.455680303275585,50.0,0.16377053409814835,0.22841223748400807,-28.74017259478569,0,0.0007,10868,2800,0.3649525046348572,35.64789585714285,56,2688
-2.4878677166998386,50.0,0.14611562131904066,0.20777044026181102,-29.283435493707657,0,0.0007,11635,3000,0.3648149073123932,35.52555958333333,60,2880
-2.4445985443890095,50.0,0.13075413834303617,0.23505523870699108,-29.680799037218094,0,0.0007,12417,3200,0.36435961723327637,35.591216468750005,64,3072
-2.5696404688060284,50.0,0.11292301083449274,0.22266564646270126,-30.202537298202515,0,0.0007,13309,3400,0.3639823794364929,35.90935461764706,68,3328
-2.4774848241358995,50.0,0.10151978803332895,0.2681232909671962,-30.486622512340546,0,0.0007,14076,3600,0.3635508120059967,35.889598847222224,72,3520
-2.4873318020254374,50.0,0.0916274368064478,0.24269323435146362,-30.777663230895996,0,0.0007,14865,3800,0.36277416348457336,35.957811710526315,76,3712
-2.1789990458637476,50.0,0.08343070198316127,0.26641757343895733,-31.02664229273796,0,0.0007,15642,4000,0.36231082677841187,36.2181376875,80,3904
-2.124671198427677,50.0,0.0765059138648212,0.25804470595903695,-31.307185411453247,0,0.0007,16412,4200,0.3618588447570801,36.28216822619047,84,4096
-1.7808033768087626,50.0,0.07029477739706635,0.19061012368183583,-31.696220189332962,0,0.0007,17180,4400,0.3613159954547882,36.50254785227273,88,4288
-1.9554552366025746,50.0,0.0648497014772147,0.23206549044698477,-31.981104612350464,0,0.0007,17955,4600,0.3608914315700531,36.38403541304348,92,4480
-1.8947097547352314,50.0,0.06020986975636333,0.2949286348884925,-32.290442913770676,0,0.0007,18728,4800,0.3605197072029114,36.501213437500006,96,4672
