step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
11,2,1,0.6317072,"[6.583988952636719, 0.446017998456955]",[0.         0.         0.39772728 0.         0.        ],[0.02       0.04845855 0.09848809 0.07437337 0.12096774],[0.         0.         0.         0.         0.00806452],"[0.11383056640625, 0.11383056640625, 0.1432647705078125, 0.1432647705078125, 0.1432647705078125]","[0.1170806884765625, 0.1170806884765625, 0.146514892578125, 0.146514892578125, 0.146514892578125]","[0.03468888998031616, 0.03468888998031616, 0.03696666657924652, 0.03696666657924652, 0.03696666657924652]",[0.01059372 0.01038383 0.03204387 0.03174517 0.03154049],0.040667944,0.03363215,"[8.565961456298828, 7.361300277709961, 7.721131706237793, 7.428107452392578, 7.354533958435058]","[10.0, 10.0, 10.0, 10.0, 10.0]",0.5517218897065251,0.20867702412416916,0.04445811680385048,0.15056818181818182,0.06715693883532373,0.08086162812500002,0.0,0.0,
12,2,1,-0.994523,"[0.4, 0.4505839988589287]",[0.        0.        0.4814815 0.        0.       ],[0.09821428 0.2204301  0.         0.         0.        ],[0.         0.00537634 0.         0.         0.        ],"[0.1143646240234375, 0.1143646240234375, 0.0107421875, 0.01177978515625, 0.0128173828125]","[0.11761474609375, 0.11761474609375, 0.0139923095703125, 0.0150299072265625, 0.0160675048828125]","[0.025744443759322166, 0.025744443759322166, 0.031922221183776855, 0.030061110854148865, 0.028200000524520874]",[0.06222007 0.061974   0.07522466 0.07516316 0.07508925],0.04186633,0.03525282,"[7.524325370788574, 7.4618017196655275, 2.8464964866638183, 0.48572100400924684, 0.5253340035676957]","[10.0, 10.0, 5.246249008178711, 0.49706049859523777, 0.5311619967222214]",0.5771736576873607,0.11796332947708153,0.2,0.12962962962962962,0.07038769024731627,0.05919300833333333,0.0,0.0,
13,2,1,0.71480846,"[0.4565879985690117, 0.5265679985284806]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01617431640625, 0.0165557861328125, 0.0165557861328125, 0.02178955078125, 0.02178955078125]","[0.0194244384765625, 0.019805908203125, 0.019805908203125, 0.0250396728515625, 0.0250396728515625]","[0.021872222423553467, 0.02037777751684189, 0.02037777751684189, 0.0213666670024395, 0.0213666670024395]",[0.07449251 0.07363398 0.07274164 0.0718608  0.07176521],0.040804043,0.034651566,"[5.977033233642579, 8.737696075439453, 9.012116241455079, 9.478969955444336, 9.045557022094727]","[5.898203468322754, 8.498843574523926, 8.835056114196778, 9.334012222290038, 8.816877746582032]",0.9025337372340689,0.22309171190564367,0.2,0.25,0.0782080544950918,0.05123397083333334,0.05,0.05,
14,2,1,-0.93282884,"[0.5308809995651245, 0.615696007013321]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01998138427734375, 0.0181732177734375, 0.0181732177734375, 0.0181732177734375, 0.0181732177734375]","[0.02323150634765625, 0.02142333984375, 0.02142333984375, 0.02142333984375, 0.02142333984375]","[0.020144443958997726, 0.018922222778201103, 0.018922222778201103, 0.018922222778201103, 0.018922222778201103]",[0.07109915 0.07099847 0.0708991  0.07083333 0.07077678],0.03988629,0.034045745,"[0.8572369933128356, 0.8781224966049195, 0.9554760098457337, 0.6989730000495911, 0.7503159880638123]","[0.8446744918823242, 0.8646505117416382, 0.986209511756897, 0.7163870096206666, 0.7559880018234253]",0.668912218890898,0.018454579838882032,0.2,0.25,0.07985607342701584,0.020601565625,0.05,0.05,
15,3,1,0.4593109,"[0.6210729956626893, 0.7165930032730103]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0383453369140625, 0.0272979736328125, 0.0272979736328125, 0.0272979736328125, 0.0272979736328125]","[0.041595458984375, 0.030548095703125, 0.030548095703125, 0.030548095703125, 0.030548095703125]","[0.022111110389232635, 0.0210111103951931, 0.0210111103951931, 0.0210111103951931, 0.0210111103951931]",[0.07007066 0.06928742 0.0687973  0.06847652 0.06822617],0.039634705,0.033383306,"[6.043836975097657, 9.607443046569824, 7.263373756408692, 8.390140151977539, 9.453221893310547]","[5.57716236114502, 9.637060356140136, 7.57337589263916, 8.100354003906249, 8.4430908203125]",0.8617241785353309,0.2175555782855657,0.19246597290039064,0.25,0.07798990130770778,0.023712726041666667,0.05,0.05,
16,3,1,-0.64868873,"[0.7256939888000489, 0.8992889881134033]",[0. 0. 0. 0. 0.],[0.00190476 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0277099609375, 0.0313720703125, 0.0313720703125, 0.02988433837890625, 0.0283966064453125]","[0.0309600830078125, 0.0346221923828125, 0.0346221923828125, 0.03313446044921875, 0.031646728515625]","[0.022051852196455002, 0.020911110565066338, 0.020911110565066338, 0.02207222208380699, 0.023233333602547646]",[0.06630501 0.06595017 0.06571621 0.0654968  0.06521886],0.039224595,0.032414414,"[7.990430641174316, 2.8679544448852536, 2.7438525676727292, 2.1334975242614744, 2.683629035949707]","[7.888637733459473, 2.812757873535156, 2.776162528991699, 2.374718952178955, 2.6193760395050045]",0.7941322069973421,0.11558307212386507,0.2,0.25,0.07699275476435014,0.0534611420138889,0.05,0.0480952380952381,
17,3,1,0.7263578,"[0.9098700165748597, 1.0536139965057374]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0360565185546875, 0.04004669189453125, 0.044036865234375, 0.044036865234375, 0.044036865234375]","[0.039306640625, 0.04329681396484375, 0.0472869873046875, 0.0472869873046875, 0.0472869873046875]","[0.025100000202655792, 0.024227777495980263, 0.023355554789304733, 0.023355554789304733, 0.023355554789304733]",[0.06449383 0.06387233 0.06321283 0.06253622 0.06219772],0.03943694,0.03175441,"[6.511669731140137, 9.112314414978027, 10.0, 9.136266899108886, 9.498903274536133]","[6.557641220092774, 9.223201942443847, 10.0, 9.082306861877441, 9.641739845275879]",0.887313768159578,0.23034679999618982,0.1853762761460549,0.25,0.075423588545111,0.04616710347222224,0.05,0.05,
18,3,1,0.08292246,"[1.0666679859161377, 1.2180989980697632]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.053253173828125, 0.053253173828125, 0.053253173828125, 0.029754638671875, 0.029754638671875]","[0.0565032958984375, 0.0565032958984375, 0.0565032958984375, 0.0330047607421875, 0.0330047607421875]","[0.029200000688433647, 0.029200000688433647, 0.029200000688433647, 0.029177777469158173, 0.029177777469158173]",[0.06119136 0.06067607 0.06031152 0.06005904 0.05985916],0.039802935,0.03131027,"[7.049124336242676, 7.023026084899903, 5.597131156921387, 6.136619949340821, 6.4856470108032225]","[6.709749794006348, 7.102124786376954, 5.7178857803344725, 6.384680938720703, 6.469511985778809]",0.8751090100347866,0.1836158066127698,0.1941385288431187,0.25,0.07228718707889796,0.0750674875,0.05,0.05,
19,3,1,-0.40057623,"[1.232146978378296, 1.3402719736099242]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.029754638671875, 0.029754638671875, 0.029754638671875, 0.0121917724609375, 0.0121917724609375]","[0.0330047607421875, 0.0330047607421875, 0.0330047607421875, 0.01544189453125, 0.01544189453125]","[0.029177777469158173, 0.029177777469158173, 0.029177777469158173, 0.03118888847529888, 0.03118888847529888]",[0.05946619 0.05930138 0.05912621 0.05893947 0.05882214],0.039462462,0.031025812,"[6.9334560394287115, 5.064267921447754, 4.623303031921387, 3.927259922027588, 3.2820179939270018]","[7.0563209533691404, 5.005285930633545, 4.782817077636719, 3.8205929756164547, 3.3289459228515623]",0.8476194833717,0.14435988141123066,0.2,0.25,0.07088719258546927,0.08237240937500001,0.05,0.05,
20,4,1,-0.15462554,"[1.3523939847946167, 1.6746260643005373]",[0. 0. 0. 0. 0.],[0.        0.        0.0070922 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0399627685546875, 0.0399627685546875, 0.01959228515625, 0.01959228515625, 0.01959228515625]","[0.043212890625, 0.043212890625, 0.0228424072265625, 0.0228424072265625, 0.0228424072265625]","[0.03144444525241852, 0.03144444525241852, 0.03135555610060692, 0.03135555610060692, 0.03135555610060692]",[0.05753094 0.05728782 0.05710214 0.05699601 0.05680311],0.03927773,0.030644728,"[5.143407535552979, 5.751692771911621, 3.4578281402587887, 4.958380889892578, 4.818215084075928]","[4.6866809844970705, 5.557801246643066, 3.6275231361389157, 5.017289066314698, 4.756909942626954]",0.8586110731000899,0.14585853720046354,0.19913257799650494,0.25,0.07071215648468161,0.1,0.05,0.04290780141843972,
