train/actor_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/time_elapsed,train/n_updates,time/fps,train/learning_rate,rollout/ep_rew_mean
-3.0538341999053955,4,0.10000000149011612,50.0,0.0038958401419222355,200,627,189,0,0.00067214,39.199335
-6.1104021072387695,8,0.10000000149011612,50.0,0.002597214188426733,400,1250,389,0,0.00064414,39.250759125
-9.312950134277344,12,0.10000000149011612,50.0,0.005297879688441753,600,1882,589,0,0.0006161399999999999,39.14907283333334
-12.596616744995117,16,0.10000000149011612,50.0,0.003882148303091526,800,2510,789,0,0.00058814,39.1462645
-15.783089637756348,20,0.10000000149011612,50.0,0.008144711144268513,1000,3140,989,0,0.00056014,39.17129345000001
-19.06389617919922,24,0.10000000149011612,50.0,0.009840627200901508,1200,3773,1189,0,0.00053214,39.15806775000001
-22.23055076599121,28,0.10000000149011612,50.0,0.010502017103135586,1400,4407,1389,0,0.0005041399999999999,39.20017157142858
-25.484262466430664,32,0.10000000149011612,50.0,0.004261852242052555,1600,5038,1589,0,0.00047614,39.250178125
-28.720773696899414,36,0.10000000149011612,50.0,0.00577226746827364,1800,5669,1789,0,0.00044814,39.25000213888889
-31.952184677124023,40,0.10000000149011612,50.0,0.005894853267818689,2000,6302,1989,0,0.00042014000000000005,39.225118574999996
-35.15819549560547,44,0.10000000149011612,50.0,0.006962347310036421,2200,6936,2189,0,0.00039214,39.231030636363634
-38.40788269042969,48,0.10000000149011612,50.0,0.01706484891474247,2400,7568,2389,0,0.00036414,39.23185939583333
-41.5644416809082,52,0.10000000149011612,50.0,0.010446962900459766,2600,8197,2589,0,0.00033613999999999996,39.23350461538462
-44.80574035644531,56,0.10000000149011612,50.0,0.008287627249956131,2800,8826,2789,0,0.00030814000000000004,39.24573355357143
-47.970603942871094,60,0.10000000149011612,50.0,0.008477097377181053,3000,9453,2989,0,0.00028014,39.25426984999999
-51.165435791015625,64,0.10000000149011612,50.0,0.006642343010753393,3200,10088,3189,0,0.00025214,39.2636233125
-54.27888870239258,68,0.10000000149011612,50.0,0.01471175067126751,3400,10715,3389,0,0.00022414000000000003,39.26806720588235
-57.406497955322266,72,0.10000000149011612,50.0,0.006034110672771931,3600,11343,3589,0,0.00019614,39.27115590277778
-60.5623664855957,76,0.10000000149011612,50.0,0.008867735043168068,3800,11966,3789,0,0.00016813999999999997,39.27606350000001
-63.662437438964844,80,0.10000000149011612,50.0,0.00633437093347311,4000,12588,3989,0,0.00014014000000000002,39.2797158125
-66.76858520507812,84,0.10000000149011612,50.0,0.01598486304283142,4200,13207,4189,0,0.00011214000000000001,39.27584903571429
-69.88554382324219,88,0.10000000149011612,50.0,0.006955977529287338,4400,13836,4389,0,8.413999999999998e-05,39.270967409090915
-72.94802856445312,92,0.10000000149011612,50.0,0.005049582105129957,4600,14458,4589,0,5.6140000000000035e-05,39.26337135869566
-76.01052856445312,96,0.10000000149011612,50.0,0.0067938873544335365,4800,15082,4789,0,2.814000000000001e-05,39.26094097916667
