train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/fps,train/n_updates,time/episodes,train/actor_loss,train/ent_coef
0.00129989767447114,200,563,50.0,0.00067214,32.4798625,0,189,4,-2.6076912879943848,0.10000000149011612
0.0011942342389374971,400,1128,50.0,0.00064414,32.469079875,0,389,8,-5.167618274688721,0.10000000149011612
0.004207894671708345,600,1694,50.0,0.0006161399999999999,32.48211075,0,589,12,-7.847384452819824,0.10000000149011612
0.002053068485110998,800,2259,50.0,0.00058814,32.51975525,0,789,16,-10.635733604431152,0.10000000149011612
0.002436923561617732,1000,2826,50.0,0.00056014,32.53450155,0,989,20,-13.389013290405273,0.10000000149011612
0.007558252662420273,1200,3395,50.0,0.00053214,32.54571041666667,0,1189,24,-16.14351463317871,0.10000000149011612
0.002251982456073165,1400,3963,50.0,0.0005041399999999999,32.551327892857145,0,1389,28,-18.96939468383789,0.10000000149011612
0.011494610458612442,1600,4530,50.0,0.00047614,32.558836562500005,0,1589,32,-21.610443115234375,0.10000000149011612
0.003719820873811841,1800,5093,50.0,0.00044814,32.555046277777784,0,1789,36,-24.469545364379883,0.10000000149011612
0.012091683223843575,2000,5663,50.0,0.00042014000000000005,32.559143675,0,1989,40,-27.239286422729492,0.10000000149011612
0.003173340577632189,2200,6232,50.0,0.00039214,32.55738900000001,0,2189,44,-29.965492248535156,0.10000000149011612
0.00388255063444376,2400,6800,50.0,0.00036414,32.56076191666667,0,2389,48,-32.666526794433594,0.10000000149011612
0.004462347365915775,2600,7368,50.0,0.00033613999999999996,32.5602024423077,0,2589,52,-35.415184020996094,0.10000000149011612
0.003477686084806919,2800,7932,50.0,0.00030814000000000004,32.56019655357143,0,2789,56,-38.104820251464844,0.10000000149011612
0.007310280576348305,3000,8551,50.0,0.00028014,32.561574916666665,0,2989,60,-40.81681823730469,0.10000000149011612
0.005198126658797264,3200,9118,50.0,0.00025214,32.557049171875,0,3189,64,-43.48468780517578,0.10000000149011612
0.003761002793908119,3400,9685,50.0,0.00022414000000000003,32.56081802941177,0,3389,68,-46.18964767456055,0.10000000149011612
0.0038424846716225147,3600,10249,50.0,0.00019614,32.560848972222225,0,3589,72,-48.86566162109375,0.10000000149011612
0.003718635533004999,3800,10816,50.0,0.00016813999999999997,32.56790673684211,0,3789,76,-51.51945114135742,0.10000000149011612
0.002475528512150049,4000,11385,50.0,0.00014014000000000002,32.5686475625,0,3989,80,-54.169517517089844,0.10000000149011612
0.0036898506805300713,4200,11978,50.0,0.00011214000000000001,32.56251569047619,0,4189,84,-56.793426513671875,0.10000000149011612
0.0033071343787014484,4400,12543,50.0,8.413999999999998e-05,32.55633985227273,0,4389,88,-59.41374588012695,0.10000000149011612
0.003535857191309333,4600,13110,50.0,5.6140000000000035e-05,32.552796739130436,0,4589,92,-62.03340148925781,0.10000000149011612
0.006014826707541943,4800,13690,50.0,2.814000000000001e-05,32.55155670833333,0,4789,96,-64.61187744140625,0.10000000149011612
