train/ent_coef_loss,train/actor_loss,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/total_timesteps,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_len_mean,train/n_updates
-3.3919405937194824,-1.3803907632827759,0,44.32267950000001,0.09478244185447693,0.0003,200,527,0.00732545368373394,4,50.0,189
-3.316699504852295,-2.015141248703003,0,45.024775375000004,0.08971290290355682,0.0003,400,1055,0.001698132837191224,8,50.0,389
-3.5271730422973633,-2.7167651653289795,0,45.24446458333333,0.08464685082435608,0.0003,600,1580,0.0008554762462154031,12,50.0,589
-3.445817470550537,-3.4707071781158447,0,45.317302812499996,0.07980212569236755,0.0003,800,2145,0.0010627459269016981,16,50.0,789
-3.3874564170837402,-4.268472194671631,0,45.295001899999995,0.07523317635059357,0.0003,1000,2749,0.0007714144885540009,20,50.0,989
-3.604281425476074,-5.071852684020996,0,45.387447875,0.07097405940294266,0.0003,1200,3275,0.0017390166176483035,24,50.0,1189
-3.8273329734802246,-5.873783588409424,0,45.41779950000001,0.0670541524887085,0.0003,1400,3801,0.001377820037305355,28,50.0,1389
-3.607865810394287,-6.682089805603027,0,45.53442375,0.06345992535352707,0.0003,1600,4322,0.0013174194609746337,32,50.0,1589
-3.446898937225342,-7.465334892272949,0,45.62371672222223,0.06005111709237099,0.0003,1800,4845,0.002413899637758732,36,50.0,1789
-3.0144283771514893,-8.30579948425293,0,45.699567575,0.056855566799640656,0.0003,2000,5382,0.0018572413828223944,40,50.0,1989
-2.8909060955047607,-9.114470481872559,0,45.75665231818182,0.05388326197862625,0.0003,2200,5907,0.0013705864548683167,44,50.0,2189
-3.325767993927002,-9.962013244628906,0,45.85052970833333,0.051128219813108444,0.0003,2400,6432,0.003493094351142645,48,50.0,2389
-2.561513662338257,-10.738492965698242,0,45.90656276923077,0.04853472486138344,0.0003,2600,6964,0.0014390894211828709,52,50.0,2589
-2.9531092643737793,-11.534750938415527,0,45.97959994642857,0.04605616256594658,0.0003,2800,7495,0.003604304511100054,56,50.0,2789
-3.153369426727295,-12.313969612121582,0,46.03335181666667,0.04367648437619209,0.0003,3000,8024,0.0011178236454725266,60,50.0,2989
-2.8462440967559814,-13.093425750732422,0,46.06280753125,0.04144930839538574,0.0003,3200,8551,0.0026030526496469975,64,50.0,3189
-3.2438833713531494,-13.870805740356445,0,46.118067749999994,0.03937647491693497,0.0003,3400,9148,0.002223778050392866,68,50.0,3389
-2.885213613510132,-14.655611991882324,0,46.163374097222224,0.03744124993681908,0.0003,3600,9675,0.0013846128713339567,72,50.0,3589
-3.3050918579101562,-15.402556419372559,0,46.21629017105263,0.03560657054185867,0.0003,3800,10207,0.00158647820353508,76,50.0,3789
-3.0879218578338623,-16.180885314941406,0,46.269816475,0.03385266289114952,0.0003,4000,10733,0.0016171734314411879,80,50.0,3989
-2.5494120121002197,-16.913875579833984,0,46.3093300595238,0.03218965232372284,0.0003,4200,11265,0.003971915692090988,84,50.0,4189
-2.8934645652770996,-17.69025421142578,0,46.35120759090909,0.030642224475741386,0.0003,4400,11802,0.002515856409445405,88,50.0,4389
-2.1962242126464844,-18.424121856689453,0,46.38921740217392,0.029183514416217804,0.0003,4600,12325,0.0009244700195267797,92,50.0,4589
-2.1837644577026367,-19.133468627929688,0,46.42181191666666,0.027819883078336716,0.0003,4800,12851,0.0018351939506828785,96,50.0,4789
