time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/std,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed
72,0,3600,50.0,3520,-32.0004166662693,0.366092324256897,0.09270668751560152,0.0007,-3.2662502862513065,0.13586721679894254,42.504202625,11330
76,0,3800,50.0,3712,-32.57062017917633,0.36586272716522217,0.08242040534969419,0.0007,-3.1465306375175714,0.10245688052964397,42.55530605263157,11926
80,0,4000,50.0,3904,-33.0613449215889,0.3656405210494995,0.07379345037043095,0.0007,-3.2930954825133085,0.12818889270420186,42.39460505000001,12530
84,0,4200,50.0,4096,-33.56341552734375,0.36530259251594543,0.06600355240516365,0.0007,-3.413883350789547,0.10383780271513388,42.5797090952381,13133
88,0,4400,50.0,4288,-34.073062002658844,0.36504653096199036,0.059491951076779515,0.0007,-3.2588238921016455,0.11289152858080342,42.64227107954546,13741
92,0,4600,50.0,4480,-34.52534067630768,0.36470696330070496,0.05366381158819422,0.0007,-2.916152700781822,0.08772785047767684,42.63763148913044,14343
96,0,4800,50.0,4672,-34.92604058980942,0.36434465646743774,0.04866797861177474,0.0007,-2.804377268999815,0.08685837971279398,42.76353322916666,14947
100,0,5000,50.0,4928,-35.54470336437225,0.3639936149120331,0.04278119292575866,0.0007,-2.754095695912838,0.06539556142524816,42.92160221000001,15614
104,0,5200,50.0,5120,-35.930504739284515,0.3637452721595764,0.0389073375845328,0.0007,-3.088563183322549,0.06723611123743467,43.047526309999995,16219
108,0,5400,50.0,5312,-36.31346893310547,0.36338192224502563,0.03530741960275918,0.0007,-2.5626725209876895,0.08244944538455456,43.29659745999999,16824
112,0,5600,50.0,5504,-36.69683080911636,0.3630605936050415,0.0322917050216347,0.0007,-2.480013527907431,0.06281394822872244,43.34072923000001,17436
116,0,5800,50.0,5696,-37.013876140117645,0.3627268671989441,0.02978040193556808,0.0007,-2.5098824542947114,0.09638770879246294,43.42177396,18060
120,0,6000,50.0,5888,-37.39045524597168,0.3621208965778351,0.02715828552027233,0.0007,-2.9481438593938947,0.06302842489094473,43.50891151,18662
124,0,6200,50.0,6080,-37.718480587005615,0.36174309253692627,0.02498148416634649,0.0007,-2.2657151971943676,0.05900773103348911,43.60475339,19256
128,0,6400,50.0,6272,-37.963265776634216,0.36135581135749817,0.023121212667319924,0.0007,-1.8647117798682302,0.0778086560749216,43.774258999999994,19933
132,0,6600,50.0,6528,-38.33641242980957,0.36088427901268005,0.0209435781580396,0.0007,-2.073020603857003,0.10028781200526282,43.784027429999995,20593
136,0,6800,50.0,6720,-38.52487486600876,0.360592782497406,0.01958661913522519,0.0007,-1.7682270176592283,0.0861188559938455,44.04155089999999,21208
140,0,7000,50.0,6912,-38.77195280790329,0.3604854345321655,0.018353699677390978,0.0007,-1.4887547433609143,0.09096217033220455,44.13662714,21808
144,0,7200,50.0,7104,-38.99052906036377,0.36014845967292786,0.01728412398369983,0.0007,-1.5741454278177116,0.07639273058157414,43.982719509999995,22439
148,0,7400,50.0,7296,-39.182093501091,0.35983774065971375,0.016157882724655792,0.0007,-1.398523982061306,0.054515142473974265,44.00293874000001,23064
