rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/ent_coef_loss,train/std,time/episodes,train/ent_coef,time/fps,train/critic_loss
50.0,200,566,-2.154461592435837,36.439631500000004,128,0.0007,-0.09905417438130826,0.367640882730484,4,0.940851341933012,0,0.2885345281101763
50.0,400,1193,-5.619149222970009,36.409981125,320,0.0007,-0.3224366835784167,0.36758628487586975,8,0.8225197829306126,0,0.18081587023334578
50.0,600,1807,-9.276030361652374,36.212744333333326,512,0.0007,-0.5488551435410045,0.36755120754241943,12,0.7191403182223439,0,0.42742119601462036
50.0,800,2436,-12.911780595779419,37.2899298125,704,0.0007,-0.7602689859922975,0.36757218837738037,16,0.6297687292098999,0,0.3656846487428993
50.0,1000,3057,-15.896756947040558,37.858535950000004,896,0.0007,-0.9744835086166859,0.3675349950790405,20,0.5511852502822876,0,0.3357682123314589
50.0,1200,3693,-18.402253925800323,37.96791675,1088,0.0007,-1.2010473422706127,0.36754918098449707,24,0.48259549075737596,0,0.3150906024966389
50.0,1400,4403,-20.472096860408783,37.42978242857142,1280,0.0007,-1.4414988039061427,0.3675166964530945,28,0.4226513635367155,0,0.34418632730375975
50.0,1600,5024,-22.31189525127411,37.244290750000005,1472,0.0007,-1.617455616593361,0.367572158575058,32,0.36975031020119786,0,0.34233835875056684
50.0,1800,5715,-24.358347535133362,36.913502111111114,1728,0.0007,-1.9173012496903539,0.3675377368927002,36,0.30981617886573076,0,0.31090232776477933
50.0,2000,6363,-25.688905745744705,37.591569175,1920,0.0007,-2.10971275344491,0.36748164892196655,40,0.2717990302480757,0,0.2246513256104663
50.0,2200,6997,-26.811074435710907,38.05692625,2112,0.0007,-2.3898140834644437,0.36747512221336365,44,0.23820683360099792,0,0.2388959777308628
50.0,2400,7622,-27.77080664038658,38.23601031250001,2304,0.0007,-2.564346645027399,0.36742833256721497,48,0.20909440563991666,0,0.1948994864942506
50.0,2600,8259,-28.533622711896896,37.84889284615385,2496,0.0007,-2.7913283091038465,0.3673301637172699,52,0.18347815237939358,0,0.23022130224853754
50.0,2800,8882,-29.349599242210388,38.03843714285714,2688,0.0007,-2.9064351245760918,0.3672787547111511,56,0.16127269342541695,0,0.20560029160697013
50.0,3000,9501,-29.951584339141846,37.98983398333333,2880,0.0007,-3.166885701008141,0.3671729564666748,60,0.14130826154723763,0,0.18428212590515614
50.0,3200,10113,-30.504309713840485,37.718564,3072,0.0007,-3.234016250818968,0.3669300675392151,64,0.1244013358373195,0,0.19561877811793238
50.0,3400,10814,-31.102178186178207,37.62536882352941,3328,0.0007,-3.1669950163923204,0.36673933267593384,68,0.1049157539382577,0,0.1952223025728017
50.0,3600,11486,-31.483222484588623,37.581571486111116,3520,0.0007,-3.62349813291803,0.36656469106674194,72,0.09296526096295565,0,0.19853444315958768
50.0,3800,12157,-31.85123383998871,37.50307513157895,3712,0.0007,-3.5352845285087824,0.36646023392677307,76,0.08245720993727446,0,0.1976721698883921
50.0,4000,12799,-32.15374445915222,37.353275437499995,3904,0.0007,-3.548878674278967,0.3664199709892273,80,0.07334363088011742,0,0.18744959612376988
