rollout/ep_len_mean,train/learning_rate,time/episodes,time/total_timesteps,train/n_updates,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed
50.0,0.00067214,4,200,189,0,-2.9274260997772217,0.006801100447773933,37.3927325,0.10000000149011612,619
50.0,0.00064414,8,400,389,0,-5.843772888183594,0.010374803096055984,37.2003395,0.10000000149011612,1217
50.0,0.0006161399999999999,12,600,589,0,-8.854894638061523,0.017277896404266357,37.26476516666666,0.10000000149011612,1815
50.0,0.00058814,16,800,789,0,-11.90583610534668,0.010817758738994598,37.410192125,0.10000000149011612,2416
50.0,0.00056014,20,1000,989,0,-14.993820190429688,0.016852974891662598,37.504600550000006,0.10000000149011612,3028
50.0,0.00053214,24,1200,1189,0,-18.140155792236328,0.016459014266729355,37.437073958333336,0.10000000149011612,3632
50.0,0.0005041399999999999,28,1400,1389,0,-21.227569580078125,0.016222070902585983,37.41722235714286,0.10000000149011612,4234
50.0,0.00047614,32,1600,1589,0,-24.268543243408203,0.01642180047929287,37.497714375,0.10000000149011612,4836
50.0,0.00044814,36,1800,1789,0,-27.446578979492188,0.014382392168045044,37.45398272222222,0.10000000149011612,5439
50.0,0.00042014000000000005,40,2000,1989,0,-30.535863876342773,0.01872379332780838,37.4542805,0.10000000149011612,6042
50.0,0.00039214,44,2200,2189,0,-33.59912872314453,0.016490787267684937,37.44199054545455,0.10000000149011612,6649
50.0,0.00036414,48,2400,2389,0,-36.65193176269531,0.015295110642910004,37.489542729166665,0.10000000149011612,7250
50.0,0.00033613999999999996,52,2600,2589,0,-39.71687316894531,0.010653456673026085,37.462239576923075,0.10000000149011612,7846
50.0,0.00030814000000000004,56,2800,2789,0,-42.74288558959961,0.010918478481471539,37.50099998214286,0.10000000149011612,8447
50.0,0.00028014,60,3000,2989,0,-45.74686813354492,0.010868685320019722,37.473975700000004,0.10000000149011612,9113
50.0,0.00025214,64,3200,3189,0,-48.74803924560547,0.010733170434832573,37.484805609374995,0.10000000149011612,9717
50.0,0.00022414000000000003,68,3400,3389,0,-51.7476692199707,0.011448759585618973,37.46904239705882,0.10000000149011612,10318
50.0,0.00019614,72,3600,3589,0,-54.755592346191406,0.014602802693843842,37.47790818055555,0.10000000149011612,10922
50.0,0.00016813999999999997,76,3800,3789,0,-57.722843170166016,0.007548104040324688,37.49037285526316,0.10000000149011612,11518
50.0,0.00014014000000000002,80,4000,3989,0,-60.68855285644531,0.010076348669826984,37.50210775,0.10000000149011612,12118
50.0,0.00011214000000000001,84,4200,4189,0,-63.66027069091797,0.009988752193748951,37.49290573809523,0.10000000149011612,12719
50.0,8.413999999999998e-05,88,4400,4389,0,-66.57654571533203,0.013780945912003517,37.48403227272727,0.10000000149011612,13323
50.0,5.6140000000000035e-05,92,4600,4589,0,-69.47144317626953,0.013404225930571556,37.48405780434782,0.10000000149011612,13923
50.0,2.814000000000001e-05,96,4800,4789,0,-72.37467956542969,0.01351833250373602,37.497509625,0.10000000149011612,14523
