train/learning_rate,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/std,time/episodes
0.0007,0.30186350480653346,0.9433294823393226,128,-1.8262455842923373,-0.09286340384278446,50.0,0,731,31.82267325,200,0.3677240312099457,4
0.0007,0.42773818015120924,0.8254210082814097,320,-4.875904303044081,-0.31759462389163673,50.0,0,1497,32.945780125,400,0.36778897047042847,8
0.0007,0.4106184260454029,0.722797866910696,512,-7.926821760833263,-0.53832962323213,50.0,0,2242,32.25237083333334,600,0.36769938468933105,12
0.0007,0.3015326107852161,0.6334859533235431,704,-10.811989456415176,-0.7458340306766331,50.0,0,2989,32.5797395,800,0.36769622564315796,16
0.0007,0.3124131339136511,0.5549824647605419,896,-13.319002106785774,-0.9633357161656022,50.0,0,3757,33.569492350000004,1000,0.3676854968070984,20
0.0007,0.23993994225747883,0.486888884101063,1088,-15.381466522812843,-1.1548546245321631,50.0,0,4532,33.61537783333333,1200,0.3676357865333557,24
0.0007,0.22943110764026642,0.42606437858194113,1280,-17.247815519571304,-1.3778223590925336,50.0,0,5319,33.923978,1400,0.3675832152366638,28
0.0007,0.239590757410042,0.3737808857113123,1472,-18.824409514665604,-1.5794471502304077,50.0,0,6112,34.224155625,1600,0.3675893247127533,32
0.0007,0.27353699295781553,0.3137111635878682,1728,-20.573578715324402,-1.84800879471004,50.0,0,7002,34.38067991666667,1800,0.36759963631629944,36
0.0007,0.2155611072666943,0.27521710470318794,1920,-21.690443634986877,-2.073194334283471,50.0,0,7775,34.84371805,2000,0.367622435092926,40
0.0007,0.2124446250963956,0.2415068040136248,2112,-22.61293339729309,-2.233421152457595,50.0,0,8543,34.92027322727273,2200,0.3675394654273987,44
