rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
38.66141325,0,200,50.0,4,673,189,0.10000000149011612,0.002041982486844063,-3.3292922973632812,0.0006907133333333333
38.643066375000004,0,400,50.0,8,1365,389,0.10000000149011612,0.003444958943873644,-6.3961687088012695,0.00068138
38.6381225,0,600,50.0,12,2053,589,0.10000000149011612,0.003281018929556012,-9.507673263549805,0.0006720466666666667
38.66297525,0,800,50.0,16,2743,789,0.10000000149011612,0.0043159183114767075,-12.722811698913574,0.0006627133333333333
38.680135650000004,0,1000,50.0,20,3432,989,0.10000000149011612,0.0043938481248915195,-15.948019027709961,0.00065338
38.688707125,0,1200,50.0,24,4114,1189,0.10000000149011612,0.0053413668647408485,-19.069480895996094,0.0006440466666666666
38.71063175,0,1400,50.0,28,4785,1389,0.10000000149011612,0.010984067805111408,-22.413475036621094,0.0006347133333333333
38.7376458125,0,1600,50.0,32,5458,1589,0.10000000149011612,0.005072433035820723,-25.43568229675293,0.0006253799999999999
38.74810869444444,0,1800,50.0,36,6132,1789,0.10000000149011612,0.005736808758229017,-28.580852508544922,0.0006160466666666666
38.73665655,0,2000,50.0,40,6806,1989,0.10000000149011612,0.01030423492193222,-31.80326271057129,0.0006067133333333333
38.74820140909091,0,2200,50.0,44,7478,2189,0.10000000149011612,0.012645425274968147,-34.98516845703125,0.00059738
38.74171691666667,0,2400,50.0,48,8154,2389,0.10000000149011612,0.007033813279122114,-38.08955764770508,0.0005880466666666666
38.740328096153846,0,2600,50.0,52,8825,2589,0.10000000149011612,0.011649549007415771,-41.16624069213867,0.0005787133333333333
38.75142483928572,0,2800,50.0,56,9502,2789,0.10000000149011612,0.007045543286949396,-44.39701843261719,0.00056938
38.754448866666664,0,3000,50.0,60,10180,2989,0.10000000149011612,0.021189920604228973,-47.379425048828125,0.0005600466666666667
38.755019171875,0,3200,50.0,64,10865,3189,0.10000000149011612,0.015341445803642273,-50.61491394042969,0.0005507133333333333
38.754588308823536,0,3400,50.0,68,11543,3389,0.10000000149011612,0.023253848776221275,-53.426658630371094,0.0005413799999999999
38.75361631944444,0,3600,50.0,72,12215,3589,0.10000000149011612,0.011322316713631153,-56.58980941772461,0.0005320466666666666
38.77440742105263,0,3800,50.0,76,12886,3789,0.10000000149011612,0.019475702196359634,-59.58552169799805,0.0005227133333333333
38.7803014,0,4000,50.0,80,13555,3989,0.10000000149011612,0.015332238748669624,-62.68131637573242,0.00051338
38.77292996428571,0,4200,50.0,84,14225,4189,0.10000000149011612,0.008781533688306808,-65.74707794189453,0.0005040466666666666
38.76774586363637,0,4400,50.0,88,14895,4389,0.10000000149011612,0.01072054821997881,-68.79802703857422,0.0004947133333333333
38.77017134782609,0,4600,50.0,92,15568,4589,0.10000000149011612,0.010155700147151947,-71.7526626586914,0.00048538
38.77547154166667,0,4800,50.0,96,16242,4789,0.10000000149011612,0.015013481490314007,-74.70189666748047,0.00047604666666666663
38.78705196000001,0,5000,50.0,100,16919,4989,0.10000000149011612,0.010573838837444782,-77.71163177490234,0.0004667133333333334
38.80304121,0,5200,50.0,104,17591,5189,0.10000000149011612,0.008572759106755257,-80.61091613769531,0.00045737999999999996
38.81529328,0,5400,50.0,108,18261,5389,0.10000000149011612,0.008905068039894104,-83.57109832763672,0.00044804666666666665
38.82866042,0,5600,50.0,112,18933,5589,0.10000000149011612,0.012504151090979576,-86.45904541015625,0.00043871333333333335
38.83843249,0,5800,50.0,116,19608,5789,0.10000000149011612,0.015662401914596558,-89.40754699707031,0.00042937999999999993
38.83615531,0,6000,50.0,120,20281,5989,0.10000000149011612,0.019305827096104622,-92.17660522460938,0.00042004666666666673
38.83714889,0,6200,50.0,124,20952,6189,0.10000000149011612,0.018363308161497116,-95.2230224609375,0.0004107133333333333
38.84200996,0,6400,50.0,128,21627,6389,0.10000000149011612,0.025117337703704834,-97.9406509399414,0.00040138
38.84735619,0,6600,50.0,132,22303,6589,0.10000000149011612,0.0287852231413126,-101.08968353271484,0.0003920466666666667
38.84888394,0,6800,50.0,136,22981,6789,0.10000000149011612,0.012496278621256351,-103.70098876953125,0.0003827133333333333
38.86613878,0,7000,50.0,140,23658,6989,0.10000000149011612,0.01855868473649025,-106.71269226074219,0.00037338
38.87174163,0,7200,50.0,144,24336,7189,0.10000000149011612,0.015434461645781994,-109.3949966430664,0.00036404666666666667
38.88024641,0,7400,50.0,148,25014,7389,0.10000000149011612,0.014888066798448563,-112.30572509765625,0.00035471333333333326
38.890895730000004,0,7600,50.0,152,25692,7589,0.10000000149011612,0.0133362403139472,-115.06724548339844,0.00034537999999999995
38.89647651,0,7800,50.0,156,26371,7789,0.10000000149011612,0.010733937844634056,-117.9075927734375,0.00033604666666666664
38.90365432,0,8000,50.0,160,27050,7989,0.10000000149011612,0.018796633929014206,-120.71038818359375,0.00032671333333333333
38.9123129,0,8200,50.0,164,27723,8189,0.10000000149011612,0.011856911703944206,-123.47284698486328,0.00031738000000000003
38.92630662,0,8400,50.0,168,28395,8389,0.10000000149011612,0.010282309725880623,-126.25511169433594,0.0003080466666666667
38.93816856,0,8600,50.0,172,29073,8589,0.10000000149011612,0.012040381319820881,-129.07211303710938,0.0002987133333333333
38.93463309,0,8800,50.0,176,29748,8789,0.10000000149011612,0.012885337695479393,-131.75267028808594,0.00028938
38.9498492,0,9000,50.0,180,30424,8989,0.10000000149011612,0.014483550563454628,-134.52552795410156,0.0002800466666666667
