rollout/ep_rew_mean,time/fps,train/n_updates,train/ent_coef,time/episodes,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,time/total_timesteps,rollout/ep_len_mean
38.63870075,0,189,0.10000000149011612,4,599,0.0006814266666666667,0.0018846839666366577,-3.134169578552246,200,50.0
38.669764,0,389,0.10000000149011612,8,1203,0.00066276,0.002631355542689562,-6.148974895477295,400,50.0
38.6272595,0,589,0.10000000149011612,12,1809,0.0006440933333333334,0.013031643815338612,-9.181733131408691,600,50.0
38.59656456249999,0,789,0.10000000149011612,16,2413,0.0006254266666666666,0.010111174546182156,-12.295347213745117,800,50.0
38.56104834999999,0,989,0.10000000149011612,20,3018,0.00060676,0.004090686794370413,-15.548575401306152,1000,50.0
38.56246170833333,0,1189,0.10000000149011612,24,3650,0.0005880933333333334,0.004494485445320606,-18.76382064819336,1200,50.0
38.565243357142855,0,1389,0.10000000149011612,28,4247,0.0005694266666666667,0.016790997236967087,-21.872121810913086,1400,50.0
38.599299593750004,0,1589,0.10000000149011612,32,4849,0.00055076,0.006343421060591936,-25.032958984375,1600,50.0
38.61726252777778,0,1789,0.10000000149011612,36,5455,0.0005320933333333334,0.007544881664216518,-28.135955810546875,1800,50.0
38.597029825,0,1989,0.10000000149011612,40,6060,0.0005134266666666667,0.008890288881957531,-31.33721923828125,2000,50.0
38.59641972727272,0,2189,0.10000000149011612,44,6663,0.00049476,0.03582145273685455,-34.48794937133789,2200,50.0
38.590403125,0,2389,0.10000000149011612,48,7267,0.0004760933333333333,0.030114438384771347,-37.628700256347656,2400,50.0
38.58229640384615,0,2589,0.10000000149011612,52,7873,0.0004574266666666666,0.03974281623959541,-40.73407745361328,2600,50.0
38.58923276785715,0,2789,0.10000000149011612,56,8479,0.00043876,0.008180532604455948,-43.891822814941406,2800,50.0
38.5878755,0,2989,0.10000000149011612,60,9089,0.0004200933333333334,0.006178808398544788,-46.975868225097656,3000,50.0
38.58139128125,0,3189,0.10000000149011612,64,9691,0.00040142666666666667,0.005483744665980339,-50.099952697753906,3200,50.0
38.57650886764706,0,3389,0.10000000149011612,68,10298,0.00038275999999999995,0.0065467990934848785,-53.18711471557617,3400,50.0
38.57348877777778,0,3589,0.10000000149011612,72,10906,0.00036409333333333333,0.027722448110580444,-56.278472900390625,3600,50.0
38.59157528947369,0,3789,0.10000000149011612,76,11514,0.0003454266666666667,0.006105748005211353,-59.3204345703125,3800,50.0
38.5980211875,0,3989,0.10000000149011612,80,12118,0.00032676,0.0062989285215735435,-62.38736343383789,4000,50.0
38.597108642857144,0,4189,0.10000000149011612,84,12726,0.0003080933333333334,0.019999410957098007,-65.45208740234375,4200,50.0
38.594756136363635,0,4389,0.10000000149011612,88,13335,0.00028942666666666666,0.02072090283036232,-68.47317504882812,4400,50.0
38.601783369565226,0,4589,0.10000000149011612,92,13940,0.00027076000000000004,0.006138308439403772,-71.4596176147461,4600,50.0
38.609455114583334,0,4789,0.10000000149011612,96,14545,0.0002520933333333333,0.007412126287817955,-74.44661712646484,4800,50.0
38.625249999999994,0,4989,0.10000000149011612,100,15154,0.00023342666666666668,0.008480554446578026,-77.45565795898438,5000,50.0
38.63575542,0,5189,0.10000000149011612,104,15768,0.00021475999999999998,0.007209998555481434,-80.43323516845703,5200,50.0
38.63992211,0,5389,0.10000000149011612,108,16383,0.00019609333333333334,0.005404132418334484,-83.4574966430664,5400,50.0
38.650998380000004,0,5589,0.10000000149011612,112,16991,0.00017742666666666662,0.010579675436019897,-86.37841033935547,5600,50.0
38.662135420000006,0,5789,0.10000000149011612,116,17601,0.00015876,0.0075980545952916145,-89.3528823852539,5800,50.0
38.66734398,0,5989,0.10000000149011612,120,18211,0.00014009333333333336,0.007983209565281868,-92.28477478027344,6000,50.0
38.66857228000001,0,6189,0.10000000149011612,124,18822,0.00012142666666666665,0.008145952597260475,-95.16658782958984,6200,50.0
38.67510214000001,0,6389,0.10000000149011612,128,19432,0.00010276000000000003,0.006454366259276867,-98.0741958618164,6400,50.0
38.674034879999994,0,6589,0.10000000149011612,132,20044,8.409333333333332e-05,0.008758895099163055,-100.96768951416016,6600,50.0
38.67176916,0,6789,0.10000000149011612,136,20657,6.542666666666669e-05,0.007111345883458853,-103.88789367675781,6800,50.0
38.69337557,0,6989,0.10000000149011612,140,21269,4.675999999999998e-05,0.010484128259122372,-106.74864959716797,7000,50.0
38.70253996,0,7189,0.10000000149011612,144,21904,2.8093333333333348e-05,0.012454397045075893,-109.61328125,7200,50.0
38.71635222,0,7389,0.10000000149011612,148,22517,9.426666666666639e-06,0.012147283181548119,-112.4554214477539,7400,50.0
