step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
11,2,1,0.500829,"[4.123163032531738, 5.196587944030762]",[0.09580839 0.         0.06643356 0.         0.        ],[0.00635668 0.00280112 0.         0.         0.        ],[0.         0.00281294 0.         0.         0.        ],"[0.02899169921875, 0.0284423828125, 0.0349019356071949, 0.047821044921875, 0.0403035469353199]","[0.0384063720703125, 0.0378570556640625, 0.0443166084587574, 0.0572357177734375, 0.0497182197868824]","[0.03892963007092476, 0.040788888931274414, 0.042262963950634, 0.04521111026406288, 0.039092592895030975]",[0.0643519  0.06469495 0.06443011 0.06421623 0.06351049],0.037494633,0.012941935,"[9.28544807434082, 7.712030220031738, 8.729816246032716, 9.638275146484375, 7.820704460144043]","[10.0, 7.793089294433594, 8.559130477905274, 9.49118766784668, 8.050087547302246]",0.6497634973069244,0.045299234579067815,0.19171179444997904,0.20943951258322516,0.06247075214656648,0.1,0.0,0.040842203548085904,
12,2,1,-0.6029562,"[5.2435911178588865, 6.635974884033203]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02826944924890995, 0.022125244140625, 0.0273284912109375, 0.0522918701171875, 0.0522918701171875]","[0.0376841239631176, 0.0315399169921875, 0.0367431640625, 0.06170654296875, 0.06170654296875]","[0.0364999994635582, 0.03399629518389702, 0.032277777791023254, 0.02850000001490116, 0.02850000001490116]",[0.06227778 0.06172385 0.06151468 0.0613679  0.06121098],0.03797941,0.01317454,"[7.949200439453125, 5.049823474884033, 2.7858585357666015, 2.7903709411621094, 2.9784239768981933]","[8.046615982055664, 5.015589046478271, 2.6392594337463375, 2.8175681114196776, 2.9278004646301268]",0.6945874954528709,0.026530633230269104,0.19568241348424562,0.25,0.06744235880780058,0.05493208993055555,0.05,0.05,
13,2,1,-0.66715974,"[6.717159843444825, 8.024677085876464]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0403900146484375, 0.0367431640625, 0.0367431640625, 0.0367431640625, 0.0367431640625]","[0.0498046875, 0.0461578369140625, 0.0461578369140625, 0.0461578369140625, 0.0461578369140625]","[0.027811111882328987, 0.027533333748579025, 0.027533333748579025, 0.027533333748579025, 0.027533333748579025]",[0.06082723 0.06068954 0.0605753  0.06046464 0.06034753],0.03845529,0.0129827745,"[3.0052995681762695, 2.502331447601318, 1.7738364696502686, 2.0321274757385255, 2.3152249813079835]","[2.7741575241088867, 2.446164560317993, 1.7689275264739992, 2.167877435684204, 2.3398920059204102]",0.7122125543303877,0.014808102680885678,0.19477289237228096,0.25,0.07330834504110986,0.07932321423611113,0.05,0.05,
14,2,1,-0.09877896,"[8.092898750305176, 9.800809860229492]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0305938720703125, 0.0302581787109375, 0.0302581787109375, 0.036468505859375, 0.036468505859375]","[0.040008544921875, 0.0396728515625, 0.0396728515625, 0.0458831787109375, 0.0458831787109375]","[0.02879444509744644, 0.02773333340883255, 0.02773333340883255, 0.027188889682292938, 0.027188889682292938]",[0.06004744 0.05984339 0.05956763 0.05934131 0.05908838],0.03866467,0.012666162,"[2.0755260467529295, 3.9790175437927244, 5.450831031799317, 4.374773979187012, 5.723286819458008]","[2.000156545639038, 4.072409915924072, 5.399891090393067, 4.1684370040893555, 5.596693420410157]",0.7283839803589163,0.026582995614154545,0.2,0.25,0.07258143370309496,0.07921955104166667,0.05,0.05,
15,3,1,-0.8886161,"[9.932937049865723, 5.415962028503418]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0437164306640625, 0.02911376953125, 0.0258941650390625, 0.02077484130859375, 0.0188751220703125]","[0.053131103515625, 0.0385284423828125, 0.035308837890625, 0.03018951416015625, 0.028289794921875]","[0.027122221887111664, 0.026822222396731377, 0.024816665798425674, 0.02388888970017433, 0.024966666474938393]",[0.05841305 0.05828384 0.05822743 0.05814716 0.05808662],0.03865794,0.012514905,"[4.614402103424072, 1.592980980873108, 1.0829060077667236, 0.899391484260559, 1.2184765100479127]","[4.33662223815918, 1.568381977081299, 1.11672101020813, 0.9333719968795776, 1.2107189893722534]",0.7101840527958081,0.011761264905995428,0.2,0.25,0.07382961809814596,0.07459316979166666,0.05,0.05,
16,3,1,-0.5930581,"[5.458643913269043, 7.715370750427246]",[0. 0. 0. 0. 0.],[0.01086957 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.012481689453125, 0.011962890625, 0.011444091796875, 0.020355224609375, 0.01171875]","[0.0218963623046875, 0.0213775634765625, 0.0208587646484375, 0.0297698974609375, 0.0211334228515625]","[0.03414444625377655, 0.03216666728258133, 0.03018888831138611, 0.02271111123263836, 0.03233333304524422]",[0.05785517 0.05772772 0.05759723 0.05742739 0.05720322],0.03736562,0.012784392,"[1.1959282159805298, 1.066721773147583, 1.6242242813110352, 2.474836015701294, 2.6896486282348633]","[1.1956397533416747, 1.0981877326965332, 1.642301654815674, 2.4519670009613037, 2.5902893066406247]",0.7193074049743149,0.011253935580523938,0.2,0.25,0.06892303461118224,0.1,0.05,0.0391304347826087,
17,3,1,-0.87770236,"[7.809761047363281, 1.1984270334243774]",[0.         0.         0.         0.         0.01570681],[0.         0.         0.         0.         0.00177305],[0. 0. 0. 0. 0.],"[0.01983642578125, 0.01983642578125, 0.01983642578125, 0.063446044921875, 0.05633544921875]","[0.0292510986328125, 0.0292510986328125, 0.0292510986328125, 0.0728607177734375, 0.0657501220703125]","[0.032322220504283905, 0.032322220504283905, 0.032322220504283905, 0.030444445088505745, 0.03082222305238247]",[0.05707733 0.05702087 0.05696078 0.05690081 0.05651614],0.037551235,0.013045863,"[2.5403830528259275, 2.035756969451904, 2.7428300380706787, 2.4978270530700684, 0.7994539856910705]","[2.849631023406982, 1.9942499637603759, 2.5248780250549316, 2.3859200000762937, 0.8508689999580383]",0.7017343826474706,0.013441801306490104,0.1738735789984045,0.24607329842931938,0.0701187535586467,0.1,0.05,0.048226950354609936,
18,3,1,0.12161684,"[1.2105700016021728, 1.4877469778060912]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.05776214599609375, 0.0591888427734375, 0.0591888427734375, 0.03452301025390625, 0.009857177734375]","[0.06717681884765625, 0.068603515625, 0.068603515625, 0.04393768310546875, 0.0192718505859375]","[0.03181111067533493, 0.03280000016093254, 0.03280000016093254, 0.03340555727481842, 0.034011110663414]",[0.05635865 0.05612978 0.05590444 0.05563489 0.05541932],0.038267262,0.014001947,"[1.4729320287704466, 4.682555389404297, 5.333618927001953, 6.733412742614746, 5.251222610473633]","[1.4499720335006714, 4.612716102600098, 5.2352598190307615, 6.805265045166016, 4.623436641693115]",0.7048634080984542,0.028512440800965284,0.18412844397027398,0.25,0.06900896186888145,0.07321356145833334,0.05,0.05,
19,3,1,0.23115063,"[1.5000480175018311, 1.8194059848785402]",[0.  0.  0.1 0.  0. ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.009246826171875, 0.009246826171875, 0.0256500244140625, 0.0256500244140625, 0.0256500244140625]","[0.0186614990234375, 0.0186614990234375, 0.035064697265625, 0.035064697265625, 0.035064697265625]","[0.03471111133694649, 0.03471111133694649, 0.03462222218513489, 0.03462222218513489, 0.03462222218513489]",[0.05469871 0.05441217 0.05473126 0.05453366 0.05435388],0.03786021,0.013968953,"[7.67676010131836, 5.88118724822998, 7.370219802856446, 5.467629241943359, 7.1453102111816404]","[7.552150535583496, 5.70573787689209, 6.836965751647949, 4.944683456420899, 6.722386932373047]",0.7103716131613494,0.037784825529820196,0.2,0.225,0.06856046367319575,0.07902632395833335,0.05,0.05,
20,4,1,-0.001026094,"[1.8369929790496826, 2.2485860347747804]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0083770751953125, 0.00444793701171875, 0.000518798828125, 0.003936767578125, 0.0147857666015625]","[0.017791748046875, 0.01386260986328125, 0.0099334716796875, 0.0133514404296875, 0.024200439453125]","[0.0350777767598629, 0.0283555556088686, 0.02163333259522915, 0.029055556282401085, 0.028905555605888367]",[0.05372138 0.05349768 0.05330524 0.05304448 0.05278862],0.036949787,0.014435356,"[6.551716041564942, 6.755213737487793, 5.126296043395996, 7.321721458435059, 4.899981117248536]","[6.713215065002442, 6.3498937606811525, 5.160209465026855, 7.402983665466309, 5.105672073364258]",0.7536257098609425,0.03529763924819489,0.2,0.25,0.06832807061274747,0.1,0.05,0.05,
21,4,1,-0.51089454,"[2.267353057861328, 3.1303648948669434]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0171356201171875, 0.0262908935546875, 0.0082244873046875, 0.0082244873046875, 0.0312957763671875]","[0.02655029296875, 0.03570556640625, 0.01763916015625, 0.01763916015625, 0.04071044921875]","[0.03345555439591408, 0.031611111015081406, 0.033077776432037354, 0.033077776432037354, 0.02814444527029991]",[0.05191608 0.05150726 0.05122988 0.05105489 0.05087405],0.036366172,0.014312863,"[6.417768096923829, 5.957724761962891, 3.7323887825012205, 3.3586015701293945, 3.033472633361816]","[6.088837432861328, 5.569264221191406, 3.7276992797851562, 3.3084112167358395, 2.8978137969970703]",0.7224348584794464,0.027517159263829322,0.19253763913187744,0.25,0.06936958664623963,0.0830104734375,0.05,0.05,
22,4,1,0.22879672,"[3.1681738853454586, 3.919744873046875]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.029937744140625, 0.029937744140625, 0.029937744140625, 0.0114593505859375, 0.0114593505859375]","[0.0393524169921875, 0.0393524169921875, 0.0393524169921875, 0.0208740234375, 0.0208740234375]","[0.022644445300102234, 0.022644445300102234, 0.022644445300102234, 0.02451111190021038, 0.02451111190021038]",[0.05048328 0.05029534 0.05012993 0.04989888 0.04966258],0.036202412,0.014176864,"[2.7987135410308834, 5.258130836486816, 4.559228420257568, 7.171951484680176, 7.233433723449707]","[2.6901129722595214, 5.2542387008667, 4.2775884628295895, 7.022059631347656, 7.377760887145996]",0.7556957104019296,0.031979582142867204,0.19780854292518588,0.25,0.07590758533387647,0.1,0.05,0.05,
23,4,1,0.70925474,"[3.971975994110107, 4.728182125091553]",[0.         0.         0.         0.01190476 0.        ],[0.         0.         0.         0.00195312 0.        ],[0. 0. 0. 0. 0.],"[0.015106201171875, 0.014678955078125, 0.014678955078125, 0.02069854736328125, 0.0267181396484375]","[0.0245208740234375, 0.0240936279296875, 0.0240936279296875, 0.03011322021484375, 0.0361328125]","[0.024700000882148743, 0.03211111202836037, 0.03211111202836037, 0.03216111287474632, 0.03221110999584198]",[0.04899779 0.04873119 0.04839148 0.04814544 0.04788367],0.03586028,0.014037486,"[7.297046852111817, 7.496483612060547, 9.80001106262207, 9.631209564208984, 9.290090942382813]","[7.257094383239746, 7.388834762573242, 8.866074752807616, 8.138638496398926, 9.17723445892334]",0.7264390299936397,0.045536346650196506,0.2,0.24702380952380953,0.07019321479185579,0.06563878402777779,0.05,0.048046875,
24,4,1,-0.21190882,"[4.78124008178711, 5.847582244873047]",[0. 0. 0. 0. 0.],[0.         0.00420168 0.         0.         0.        ],[0.         0.         0.         0.00505051 0.        ],"[0.0180511474609375, 0.0189666748046875, 0.0177001953125, 0.0252685546875, 0.0328369140625]","[0.0274658203125, 0.02838134765625, 0.0271148681640625, 0.0346832275390625, 0.0422515869140625]","[0.032499998807907104, 0.03413333371281624, 0.03713333234190941, 0.0357888899743557, 0.03444444388151169]",[0.04721795 0.04701592 0.04685342 0.0467056  0.04654797],0.035726454,0.013868292,"[5.2505737304687505, 6.630733489990234, 5.3891393661499025, 4.684897136688233, 4.742359638214111]","[5.480200576782226, 6.717221069335937, 5.517935752868652, 4.387479496002197, 4.57811803817749]",0.6571761854622675,0.0316729633251352,0.1976850049249057,0.25,0.06705560239838444,0.0649642954861111,0.0,0.045798319327731096,
25,5,1,0.02281177,"[5.897749137878418, 7.200345993041992]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0317535400390625, 0.0355377197265625, 0.0393218994140625, 0.0393218994140625, 0.014892578125]","[0.041168212890625, 0.044952392578125, 0.048736572265625, 0.048736572265625, 0.0243072509765625]","[0.029044443741440773, 0.03181666508316994, 0.03458888828754425, 0.03458888828754425, 0.03099999949336052]",[0.04622342 0.04606848 0.04590695 0.04574791 0.04557295],0.03592158,0.013779222,"[5.251888656616211, 4.959495544433594, 5.558463859558105, 6.023294830322266, 6.990207862854004]","[4.862702560424805, 5.030421447753906, 5.414481163024902, 5.769224548339844, 7.596020889282227]",0.7398242117030376,0.03361604117735052,0.18756985982259117,0.25,0.06863831070309581,0.1,0.05,0.05,
26,5,1,-0.9310772,"[7.272186279296875, 6.929587936401368]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00877193 0.        ],[0. 0. 0. 0. 0.],"[0.02548980712890625, 0.01451873779296875, 0.011260986328125, 0.007476806640625, 0.009023030288517475]","[0.03490447998046875, 0.02393341064453125, 0.0206756591796875, 0.0168914794921875, 0.01843770407140255]","[0.03118888847529888, 0.03137222304940224, 0.027188889682292938, 0.02316666580736637, 0.024677777662873268]",[0.04488436 0.0445751  0.04432195 0.04425477 0.04420915],0.035221748,0.013786553,"[5.965854644775391, 6.2220947265625, 3.705320072174072, 0.9000983357429504, 0.8649306774139405]","[5.584812736511231, 5.672518539428711, 3.8040851593017577, 0.89234299659729, 0.8643896579742432]",0.7110636229375282,0.02225122848320742,0.2,0.25,0.07076151698721549,0.07682280729166667,0.05,0.0412280701754386,
27,5,1,0.077432156,"[6.992266082763672, 7.466692924499512]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.009796142578125, 0.009796142578125, 0.009796142578125, 0.009796142578125, 0.009796142578125]","[0.0192108154296875, 0.0192108154296875, 0.0192108154296875, 0.0192108154296875, 0.0192108154296875]","[0.025433333590626717, 0.025433333590626717, 0.025433333590626717, 0.025433333590626717, 0.025433333590626717]",[0.04418619 0.04416677 0.04415956 0.04411636 0.04405667],0.0349739,0.013821492,"[0.8530030012130737, 0.8915449857711792, 0.7692989826202392, 0.9645600080490112, 4.2920300483703615]","[0.84129798412323, 0.8328070044517517, 0.7675869822502137, 0.9879639983177185, 4.105226135253906]",0.7139430700211488,0.009388975017594246,0.2,0.25,0.07515380646188771,0.07940028854166668,0.05,0.05,
28,5,1,0.5250813,"[7.531911087036133, 9.121402168273926]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00628931 0.        ],[0. 0. 0. 0. 0.],"[0.021087646484375, 0.021087646484375, 0.021087646484375, 0.021087646484375, 0.021087646484375]","[0.0305023193359375, 0.0305023193359375, 0.0305023193359375, 0.0305023193359375, 0.0305023193359375]","[0.03217777609825134, 0.03217777609825134, 0.03217777609825134, 0.03217777609825134, 0.03217777609825134]",[0.04322837 0.04313854 0.04300528 0.0429226  0.04284697],0.034905735,0.013726679,"[6.773859024047852, 6.4821439743042, 5.088707065582276, 8.817960929870605, 10.0]","[6.707155990600586, 5.960411262512207, 4.961160945892334, 9.119622039794923, 10.0]",0.6843429564813478,0.040740291583589716,0.19091020444544352,0.25,0.07021558946174844,0.03876617916666667,0.05,0.043710691823899375,
