train/learning_rate,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/fps,time/time_elapsed,train/ent_coef,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps
0.00067214,-2.7201433181762695,50.0,0.006077492609620094,0,666,0.10000000149011612,189,34.3003515,4,200
0.00064414,-5.418404579162598,50.0,0.009685014374554157,0,1354,0.10000000149011612,389,34.197588124999996,8,400
0.0006161399999999999,-8.25880241394043,50.0,0.010394730605185032,0,2041,0.10000000149011612,589,34.23021716666667,12,600
0.00058814,-11.207582473754883,50.0,0.007509724237024784,0,2704,0.10000000149011612,789,34.60170637499999,16,800
0.00056014,-14.067363739013672,50.0,0.008728783577680588,0,3340,0.10000000149011612,989,34.862135599999995,20,1000
0.00053214,-17.074995040893555,50.0,0.006951912306249142,0,3958,0.10000000149011612,1189,35.072646375,24,1200
0.0005041399999999999,-20.03144645690918,50.0,0.01566506363451481,0,4576,0.10000000149011612,1389,35.230660107142846,28,1400
0.00047614,-22.95993995666504,50.0,0.008809062652289867,0,5189,0.10000000149011612,1589,35.377665281249996,32,1600
0.00044814,-25.9621639251709,50.0,0.00854749046266079,0,5806,0.10000000149011612,1789,35.46670233333333,36,1800
0.00042014000000000005,-28.864749908447266,50.0,0.016507470980286598,0,6429,0.10000000149011612,1989,35.52305665,40,2000
0.00039214,-31.81324577331543,50.0,0.008955413475632668,0,7042,0.10000000149011612,2189,35.58057227272727,44,2200
0.00036414,-34.75364685058594,50.0,0.007357143796980381,0,7656,0.10000000149011612,2389,35.61739970833333,48,2400
0.00033613999999999996,-37.658565521240234,50.0,0.006380228325724602,0,8270,0.10000000149011612,2589,35.64745542307692,52,2600
0.00030814000000000004,-40.5689697265625,50.0,0.009644675999879837,0,8889,0.10000000149011612,2789,35.68199982142857,56,2800
0.00028014,-43.48020553588867,50.0,0.011732351034879684,0,9503,0.10000000149011612,2989,35.704564433333324,60,3000
0.00025214,-46.386260986328125,50.0,0.007372586522251368,0,10122,0.10000000149011612,3189,35.711490703125,64,3200
0.00022414000000000003,-49.265708923339844,50.0,0.009202844463288784,0,10744,0.10000000149011612,3389,35.73866325,68,3400
0.00019614,-52.16129684448242,50.0,0.010650387965142727,0,11363,0.10000000149011612,3589,35.745880138888886,72,3600
0.00016813999999999997,-55.029788970947266,50.0,0.008617894724011421,0,12006,0.10000000149011612,3789,35.76652467105263,76,3800
0.00014014000000000002,-57.930259704589844,50.0,0.005970412865281105,0,12631,0.10000000149011612,3989,35.7692456,80,4000
0.00011214000000000001,-60.73100280761719,50.0,0.009466608986258507,0,13411,0.10000000149011612,4189,35.76844833333333,84,4200
8.413999999999998e-05,-63.57600784301758,50.0,0.008795002475380898,0,14029,0.10000000149011612,4389,35.78077660227273,88,4400
5.6140000000000035e-05,-66.4129867553711,50.0,0.009525716304779053,0,14698,0.10000000149011612,4589,35.79807569565217,92,4600
2.814000000000001e-05,-69.25078582763672,50.0,0.013674333691596985,0,15323,0.10000000149011612,4789,35.81138470833333,96,4800
