train/actor_loss,time/fps,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean
-3.358351469039917,0,599,0.10000000149011612,44.671307,0.00067214,200,189,0.002799294888973236,4,50.0
-6.642242908477783,0,1269,0.10000000149011612,44.844443749999996,0.00064414,400,389,0.009043747559189796,8,50.0
-10.247038841247559,0,1864,0.10000000149011612,44.85610133333333,0.0006161399999999999,600,589,0.00391825195401907,12,50.0
-13.748324394226074,0,2461,0.10000000149011612,44.9145830625,0.00058814,800,789,0.013046438805758953,16,50.0
-17.265483856201172,0,3061,0.10000000149011612,44.91874265,0.00056014,1000,989,0.008705150336027145,20,50.0
-20.8836669921875,0,3658,0.10000000149011612,44.965790125000005,0.00053214,1200,1189,0.008952047675848007,24,50.0
-24.523820877075195,0,4259,0.10000000149011612,45.007320035714294,0.0005041399999999999,1400,1389,0.012723846361041069,28,50.0
-28.12792205810547,0,4858,0.10000000149011612,45.08585603125,0.00047614,1600,1589,0.00667831115424633,32,50.0
-31.687335968017578,0,5456,0.10000000149011612,45.12368625,0.00044814,1800,1789,0.03040643036365509,36,50.0
-35.288700103759766,0,6055,0.10000000149011612,45.106243424999995,0.00042014000000000005,2000,1989,0.01072175893932581,40,50.0
-38.84806823730469,0,6650,0.10000000149011612,45.11635447727272,0.00039214,2200,2189,0.00971793569624424,44,50.0
-42.31928634643555,0,7246,0.10000000149011612,45.09127722916666,0.00036414,2400,2389,0.013497112318873405,48,50.0
-45.88274383544922,0,7847,0.10000000149011612,45.087466153846144,0.00033613999999999996,2600,2589,0.013311424292623997,52,50.0
-49.426048278808594,0,8444,0.10000000149011612,45.10776780357143,0.00030814000000000004,2800,2789,0.006546490825712681,56,50.0
-52.9648551940918,0,9046,0.10000000149011612,45.11578533333332,0.00028014,3000,2989,0.01667284220457077,60,50.0
-56.48976516723633,0,9663,0.10000000149011612,45.1239943125,0.00025214,3200,3189,0.014135499484837055,64,50.0
-59.98090362548828,0,10261,0.10000000149011612,45.129074867647056,0.00022414000000000003,3400,3389,0.010342637076973915,68,50.0
-63.436649322509766,0,10861,0.10000000149011612,45.13262791666667,0.00019614,3600,3589,0.008953752927482128,72,50.0
-66.90962982177734,0,11460,0.10000000149011612,45.162717302631584,0.00016813999999999997,3800,3789,0.012822689488530159,76,50.0
-70.33976745605469,0,12065,0.10000000149011612,45.162284837499996,0.00014014000000000002,4000,3989,0.007867209613323212,80,50.0
-73.76781463623047,0,12664,0.10000000149011612,45.15433438095238,0.00011214000000000001,4200,4189,0.009429076686501503,84,50.0
-77.1401596069336,0,13267,0.10000000149011612,45.15610110227273,8.413999999999998e-05,4400,4389,0.009915495291352272,88,50.0
-80.55028533935547,0,13863,0.10000000149011612,45.16904152173914,5.6140000000000035e-05,4600,4589,0.013096539303660393,92,50.0
-83.96668243408203,0,14466,0.10000000149011612,45.18332363541666,2.814000000000001e-05,4800,4789,0.01302259974181652,96,50.0
