train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/ent_coef_loss,time/episodes,time/fps
0.00836086180061102,44.652820000000006,450,0.0003,189,200,50.0,-1.3892983198165894,0.09482920169830322,-3.2801623344421387,4,0
0.0014562476426362991,45.66005775000001,897,0.0003,389,400,50.0,-2.019930362701416,0.08985572308301926,-3.220158815383911,8,0
0.000932806171476841,46.14484566666667,1344,0.0003,589,600,50.0,-2.7356953620910645,0.08480873703956604,-3.4686715602874756,12,0
0.0009821855928748846,46.3033525,1790,0.0003,789,800,50.0,-3.4960873126983643,0.0799940824508667,-3.3342180252075195,16,0
0.00072797283064574,46.40505435,2239,0.0003,989,1000,50.0,-4.334049224853516,0.07549974322319031,-3.146472215652466,20,0
0.0012519503943622112,46.56740929166667,2686,0.0003,1189,1200,50.0,-5.154115676879883,0.07131295651197433,-3.36661434173584,24,0
0.0006819454720243812,46.63725035714286,3134,0.0003,1389,1400,50.0,-5.964943885803223,0.06741555035114288,-3.628401041030884,28,0
0.0021454421803355217,46.782150468750004,3580,0.0003,1589,1600,50.0,-6.829135894775391,0.0637783631682396,-3.5414328575134277,32,0
0.0012912388192489743,46.915320722222226,4027,0.0003,1789,1800,50.0,-7.6180338859558105,0.06038156524300575,-3.1625466346740723,36,0
0.0014397322665899992,47.010186350000005,4475,0.0003,1989,2000,50.0,-8.463526725769043,0.05723138153553009,-2.614701747894287,40,0
0.002016695449128747,47.09458138636364,4923,0.0003,2189,2200,50.0,-9.309514045715332,0.054315000772476196,-2.752516269683838,44,0
0.0012545054778456688,47.186516020833345,5371,0.0003,2389,2400,50.0,-10.098752975463867,0.051519688218832016,-3.278444290161133,48,0
0.0010485111270099878,47.26036138461539,5818,0.0003,2589,2600,50.0,-10.944547653198242,0.04890698194503784,-2.644521474838257,52,0
0.001241657417267561,47.33811967857143,6265,0.0003,2789,2800,50.0,-11.781112670898438,0.04646749794483185,-2.8091773986816406,56,0
0.0010978823993355036,47.397134316666666,6712,0.0003,2989,3000,50.0,-12.593575477600098,0.04414356127381325,-3.0701048374176025,60,0
0.0006572739803232253,47.427681984375,7160,0.0003,3189,3200,50.0,-13.39059066772461,0.04194970056414604,-2.5180435180664062,64,0
0.0015495355473831296,47.47438594117647,7607,0.0003,3389,3400,50.0,-14.193161010742188,0.03989936038851738,-2.9045045375823975,68,0
0.0019818006549030542,47.51419990277778,8055,0.0003,3589,3600,50.0,-15.013988494873047,0.03797152265906334,-2.744586706161499,72,0
0.0010217978851869702,47.56220882894738,8503,0.0003,3789,3800,50.0,-15.795230865478516,0.03614988550543785,-2.888986825942993,76,0
0.0013767294585704803,47.611875350000005,8951,0.0003,3989,4000,50.0,-16.556310653686523,0.034440528601408005,-2.5107421875,80,0
0.002206875942647457,47.65578983333333,9399,0.0003,4189,4200,50.0,-17.30443572998047,0.03283810243010521,-2.000133514404297,84,0
0.000843993853777647,47.692553636363634,9845,0.0003,4389,4400,50.0,-18.100915908813477,0.03131401166319847,-2.4467976093292236,88,0
0.0011041216785088181,47.731136423913036,10292,0.0003,4589,4600,50.0,-18.867692947387695,0.02988724410533905,-1.3164305686950684,92,0
0.0008989288471639156,47.76688608333333,10740,0.0003,4789,4800,50.0,-19.642627716064453,0.028568660840392113,-1.3605425357818604,96,0
